name,visual_obs_date,name_epoch,vlass_obs_date,epoch,flux,rms,days_diff,type,redshift,detection_type,luminosity_cgs,model_luminosity_cgs,time_years
ZTF17aacldgo,59887.629,ZTF17aacldgo_VLASS3.1,60076.0,VLASS3.1,0.358,0.128,188.3709999999992,SN Ia,0.072,upper_limit,4.840749644623251e+28,7.689065270915781e+27,0.5160849315068472
ZTF17aadlxmv,58869.569,ZTF17aadlxmv_VLASS2.2,59552.0,VLASS2.2,0.35,0.111,682.4309999999969,SN Ia,0.062,upper_limit,3.4608536935411643e+28,5.799176188196206e+27,1.8696739726027312
ZTF18aaaonon,59693.649,ZTF18aaaonon_VLASS3.1,59973.0,VLASS3.1,0.288,0.149,279.3510000000024,SN Ia,0.07141,upper_limit,3.827556803342953e+28,8.152203321731485e+27,0.7653452054794586
ZTF18aaaqexr,58881.799,ZTF18aaaqexr_VLASS2.1,59133.0,VLASS2.1,0.35,0.135,251.20100000000093,SN Ia,0.0702,upper_limit,4.487737177969041e+28,8.214622456562907e+27,0.6882219178082217
ZTF18aaaqexr,58881.799,ZTF18aaaqexr_VLASS3.1,59961.0,VLASS3.1,0.409,0.138,1079.201000000001,SN Ia,0.0702,upper_limit,5.2442414451123925e+28,0.0,2.9567150684931534
ZTF18aabdgik,58417.879,ZTF18aabdgik_VLASS3.1,59969.0,VLASS3.1,0.37,0.158,1551.1209999999992,SN Ia,0.02169,upper_limit,4.22494235133805e+27,0.0,4.249646575342464
ZTF18aadlaxo,59256.529,ZTF18aadlaxo_VLASS2.2,59531.0,VLASS2.2,0.302,0.092,274.47099999999773,SN Ia,0.05295,upper_limit,2.150477497095485e+28,8.168842267487054e+27,0.7519753424657472
ZTF18aadxnul,59459.849,ZTF18aadxnul_VLASS2.2,59496.0,VLASS2.2,0.278,0.12,36.15099999999802,SN Ia,0.064,upper_limit,2.937312353527747e+28,0.0,0.09904383561643293
ZTF18aadzfso,58882.659,ZTF18aadzfso_VLASS2.2,59504.0,VLASS2.2,0.309,0.111,621.3410000000003,SN Ia,0.05,upper_limit,1.9537733680784676e+28,6.100019574724639e+27,1.702304109589042
ZTF18aaemivw,58413.919,ZTF18aaemivw_VLASS1.2v2,58606.0,VLASS1.2v,1.008,0.188,192.0809999999983,SN Ia,0.0654,detection,1.1143171666007966e+29,7.764179592886702e+27,0.5262493150684885
ZTF18aaemivw,58413.919,ZTF18aaemivw_VLASS2.2,59529.0,VLASS2.2,0.639,0.141,1115.0809999999983,SN Ia,0.0654,detection,7.0639748954157655e+28,0.0,3.0550164383561595
ZTF18aaermez,58504.789,ZTF18aaermez_VLASS1.2v2,58599.0,VLASS1.2v,0.978,0.129,94.21099999999568,SN Ia,0.02284,detection,1.2404286621172139e+28,1.5702786007809042e+27,0.25811232876711143
ZTF18aaermez,58504.789,ZTF18aaermez_VLASS2.2,59554.0,VLASS2.2,0.737,0.161,1049.2109999999957,SN Ia,0.02284,detection,9.347606584666532e+27,0.0,2.8745506849314952
ZTF18aafpfwr,59461.849,ZTF18aafpfwr_VLASS2.2,59562.0,VLASS2.2,0.307,0.123,100.15099999999802,SN Ia,0.078,upper_limit,4.912133309342552e+28,2.2275767380363413e+27,0.2743863013698576
ZTF18aafzers,59238.629,ZTF18aafzers_VLASS2.2,59547.0,VLASS2.2,0.335,0.093,308.3709999999992,SN Ia-pec,0.04870,upper_limit,2.0057359146196025e+28,8.017335649005178e+27,0.8448520547945183
ZTF18aagrtxs,58204.609,ZTF18aagrtxs_VLASS2.1,59062.0,VLASS2.1,0.344,0.147,857.390999999996,SN Ia,0.02966,upper_limit,7.432053210678866e+27,5.037799293288036e+27,2.3490164383561534
ZTF18aagrtxs,58204.609,ZTF18aagrtxs_VLASS3.1,59979.0,VLASS3.1,0.321,0.11,1774.390999999996,SN Ia,0.02966,upper_limit,6.935142676243943e+27,0.0,4.8613452054794415
ZTF18aagstdc,58200.739,ZTF18aagstdc_VLASS2.2,59495.0,VLASS2.2,0.369,0.133,1294.2609999999986,SN Ia,0.03,upper_limit,8.16006328242017e+27,0.0,3.545920547945202
ZTF18aagtcxj,58209.829,ZTF18aagtcxj_VLASS1.2v2,58607.0,VLASS1.2v,0.423,0.115,397.1710000000021,SN Ia,0.032,upper_limit,1.0674234982512674e+28,7.455827136014578e+27,1.088139726027403
ZTF18aagtcxj,58209.829,ZTF18aagtcxj_VLASS2.2,59532.0,VLASS2.2,0.345,0.134,1322.171000000002,SN Ia,0.032,upper_limit,8.705936333255018e+27,0.0,3.6223863013698687
ZTF18aagtwyh,59374.579,ZTF18aagtwyh_VLASS2.2,59538.0,VLASS2.2,0.236,0.135,163.4210000000021,SN Ia,0.06604,upper_limit,2.662598825362592e+28,6.904836796079682e+27,0.4477287671232934
ZTF18aahatvc,58975.659,ZTF18aahatvc_VLASS2.1,59131.0,VLASS2.1,0.313,0.118,155.34100000000035,SN Ia-91T,0.0778,upper_limit,4.981123720028826e+28,6.533596249299159e+27,0.4255917808219188
ZTF18aahatvc,58975.659,ZTF18aahatvc_VLASS3.1,59966.0,VLASS3.1,0.247,0.099,990.3410000000003,SN Ia-91T,0.0778,upper_limit,3.9307909228342483e+28,4.5483502775354396e+27,2.713263013698631
ZTF18aahesrp,58207.569,ZTF18aahesrp_VLASS1.2v2,58608.0,VLASS1.2v,0.309,0.106,400.43099999999686,SN Ia,0.07,upper_limit,3.9383979092398097e+28,7.433916046033131e+27,1.0970712328767038
ZTF18aahesrp,58207.569,ZTF18aahesrp_VLASS2.2,59551.0,VLASS2.2,0.29,0.117,1343.4309999999969,SN Ia,0.07,upper_limit,3.696231047506617e+28,0.0,3.68063287671232
