name,visual_obs_date,name_epoch,vlass_obs_date,epoch,flux,rms,days_diff,type,redshift,detection_type,luminosity_cgs,grb_luminosity_cgs,time_years
ZTF18aabxlsv,58214.559,ZTF18aabxlsv_VLASS3.1,59969.0,VLASS3.1,0.397,0.148,1754.440999999999,SN Ib,0.048,upper_limit,2.3068007390879386e+28,1.0543072414005558e+28,4.806687671232874
ZTF18aaisyyp,58245.609,ZTF18aaisyyp_VLASS2.1,59093.0,VLASS2.1,0.42,0.162,847.390999999996,SN Ic,0.132,upper_limit,2.0663039928894336e+29,8.350549279764472e+28,2.3216191780821807
ZTF18aaisyyp,58245.609,ZTF18aaisyyp_VLASS3.1,59990.0,VLASS3.1,0.281,0.138,1744.390999999996,SN Ic,0.132,upper_limit,1.3824557666712641e+29,1.0687822244910773e+28,4.779153424657523
ZTF18aaqjovh,58238.619,ZTF18aaqjovh_VLASS2.2,59527.0,VLASS2.2,0.336,0.133,1288.3810000000012,SN Ic-BL,0.054,upper_limit,2.4921194378452443e+28,2.332872218689052e+28,3.529810958904113
ZTF18aarlpzd,58944.589,ZTF18aarlpzd_VLASS3.1,60003.0,VLASS3.1,28.406,2.972,1058.411,SN Ib,0.01,detection,6.774974525825394e+28,4.196646201509003e+28,2.899756164383562
ZTF18aaygwqd,58280.639,ZTF18aaygwqd_VLASS3.1,60025.0,VLASS3.1,0.533,0.133,1744.3609999999971,SN Ib,0.035,detection,1.616070830327361e+28,1.068825855129827e+28,4.779071232876705
ZTF18abbovuc,58291.559,ZTF18abbovuc_VLASS3.1,59966.0,VLASS3.1,0.363,0.154,1674.440999999999,SN Ic,0.039,upper_limit,1.3745296785905608e+28,1.1760166633832833e+28,4.587509589041093
ZTF18abeyqpr,58312.659,ZTF18abeyqpr_VLASS3.1,60002.0,VLASS3.1,0.348,0.133,1689.3410000000003,SN Ic,0.0472,upper_limit,1.9530073918524577e+28,1.152083583787649e+28,4.628331506849316
ZTF18abhhnnv,58317.669,ZTF18abhhnnv_VLASS3.1,59987.0,VLASS3.1,0.389,0.101,1669.3309999999983,SN Ic-BL,0.0638,upper_limit,4.083336287828269e+28,1.1843884905856857e+28,4.573509589041091
ZTF18absliyc,58366.739,ZTF18absliyc_VLASS3.1,59979.0,VLASS3.1,0.364,0.127,1612.2609999999986,SN Ic,0.08,upper_limit,6.143412859148822e+28,1.288034531696301e+28,4.41715342465753
ZTF18abvfjwt,58373.889,ZTF18abvfjwt_VLASS3.1,59987.0,VLASS3.1,0.324,0.124,1613.1109999999971,SN Ic-BL,0.073,upper_limit,4.509764018533013e+28,1.2864552263468816e+28,4.419482191780814
