Name,MJD,Flux,RMS,ExplosionDate,TimeSinceExplosion,Status,Redshift,luminosity (erg/s/Hz),PredictedFlux,TimeSinceYears,CalculatedFlux,RMSluminosity (erg/s/Hz)
SN2018hon,58585.0,0.52,0.137,58416.26899,168.73101,real,0.081,9.74e+28,,0.3793452055,,2.5658794764045554e+28
SN2018hon,59549.0,1.803,0.198,,1102.461,real,0.081,3.38e+29,,3.020441096,,3.708351360059139e+28
SN2018hon,60480.0,0.372,0.137,,2063.731,real,0.081,6.970000000000001e+28,,5.654057534,,2.5658794764045554e+28
SN2018hon,60826.70367,0.532,0.089,,2410.435,upper,0.081,9.960000000000001e+28,0.8,6.603931507,,1.6668852072993098e+28
SN2019aur,58652.0,0.977,0.146,58526.26199,123.5,real,0.0124,3.64e+27,,0.3383561644,,5.440233481631221e+26
SN2019aur,59499.0,0.414,0.154,,970.5,real,0.0124,1.54e+27,,2.65890411,,5.7383284669260825e+26
SN2019aur,60470.0,0.359,0.114,,1943.738,real,0.0124,1.3400000000000002e+27,,5.325309589,,4.247853540451775e+26
SN2019aur,60840.76803,0.365,0.075,,2314.506036,real,0.0124,1.36e+27,0.05,6.341112427,,2.794640487139326e+26
SN2019njv,58031.0,0.289,0.111,58707.29899,-675.749,real,0.01458,1.5000000000000002e+27,,-1.851367123,,5.749315907806598e+26
SN2019njv,59070.0,0.697,0.194,,363.251,real,0.01458,3.61e+27,,0.9952082192,,1.0048353928959279e+27
SN2019njv,59978.0,8.017,0.698,,1271.251,real,0.01458,4.15e+28,,3.482879452,,3.6153355888729774e+27
SN2019njv,60823.48927,5.902,0.48,,2116.19,real,0.01458,3.06e+28,4.7,5.797780822,,2.486190662835286e+27
SN2019pqo,58584.0,0.367,0.125,58733.21242,-155.489,real,0.01413,1.7800000000000003e+27,,-0.4259972603,,6.074164125273686e+26
SN2019pqo,59533.0,0.359,0.128,,793.511,real,0.01413,1.74e+27,,2.17400274,,6.219944064280256e+26
SN2019pqo,60481.0,0.938,0.158,,1747.788,real,0.01413,4.56e+27,,4.788460274,,7.67774345434594e+26
SN2019pqo,60827.12607,2.045,0.299,,2093.914,real,0.01413,9.940000000000001e+27,0.8,5.736750685,,1.4529400587654656e+27
SN2019wqq,58628.0,0.436,0.137,58828.42859953704,-199.839,real,0.01123,1.328616598360918e+27,,-0.54750410958,,4.1747815131982986e+26
SN2019wqq,59545.0,0.45,0.152,,717.161,real,0.01123,1.3712785992257184e+27,,1.96482465753,,4.63187437960687e+26
SN2019wqq,60461.0,3.15,0.212,,1632.571,real,0.01123,9.598950194580028e+27,,4.47279726027,,6.460245845241161e+26
SN2019wqq,60881.82798,5.705,0.569,,2053.399,real,0.01123,1.738476535240605e+28,2.7,5.62575068493,,1.733905606576519e+27
SN2019yvs,58590.0,0.364,0.157,58845.55899,-259.859,real,0.0255,5.920000000000001e+27,,-0.7119424658,,2.555436224549141e+27
SN2019yvs,59488.0,0.389,0.126,,638.141,real,0.0255,6.33e+27,,1.748331507,,2.0508596451795654e+27
SN2019yvs,60471.0,0.894,0.148,,1625.441,real,0.0255,1.46e+28,,4.453263014,,2.4089462498934575e+27
SN2019yvs,60828.05281,0.713,0.076,,1982.494,real,0.0255,1.16e+28,0.8,5.431490411,,1.2370264526479918e+27
SN2020adhh,58580.0,0.413,0.153,59200.31159722222,-629.639,upper,0.022,4.960735608031485e+27,,-1.72503835616,,1.8377543535806714e+27
SN2020adhh,59506.0,1.479,0.148,,296.361,real,0.022,1.7764958751279825e+28,,0.8119479452,,1.7776970217643093e+27
SN2020adhh,60435.0,0.697,0.123,,1234.688,real,0.022,8.371992055200835e+27,,3.38270684932,,1.4774103626825005e+27
SN2020adhh,60852.602,1.6,0.571,,1652.29,real,0.022,1.9218346181235776e+28,,4.52682191781,,6.858547293428518e+27
SN2020aqe,58157.0,0.411,0.122,58871.575,-718.859,real,0.01225,1.4900000000000002e+27,,-1.969476712,,4.434972281073953e+26
SN2020aqe,59154.0,1.946,0.199,,278.141,real,0.01225,7.07e+27,,0.762030137,,7.234094130604236e+26
SN2020aqe,60098.0,0.648,0.209,,1222.141,real,0.01225,2.36e+27,,3.348331507,,7.59761644872505e+26
SN2020aqe,60827.03267,2.614,0.313,,1955.458,upper,0.01225,9.500000000000001e+27,0.3,5.357419178,1.5161,1.1378248557181536e+27
SN2020nec,58551.0,0.347,0.144,59021.587,-479.769,real,0.045,1.8439247177111156e+28,,-1.31443561644,,7.652021883296847e+27
SN2020nec,59530.0,0.507,0.109,,499.231,real,0.045,2.6941493714107652e+28,,1.36775616438,,5.792155453328864e+27
SN2020nec,60486.0,0.289,0.112,,1464.413,real,0.045,1.5357182807449922e+28,,4.01209041096,,5.951572575897549e+27
SN2020nec,60853.5226,0.082,0.021,,1831.936,real,0.045,4.3574013502107056e+27,0.4,5.01900273973,,1.1159198579807904e+27
SN2020ywx,58121.0,0.314,0.161,59157.62,-1039.939,real,0.0217,3.6700000000000004e+27,,-2.849147945,,1.8800748656607154e+27
SN2020ywx,59051.0,0.359,0.12,,-109.939,real,0.0217,4.19e+27,,-0.3012027397,,1.4012980365173034e+27
SN2020ywx,59969.0,2.923,0.253,,808.061,real,0.0217,3.4100000000000003e+28,,2.213865753,,2.9544033603239814e+27
SN2020ywx,60839.16554,1.521,0.16,,1681.54,real,0.0217,1.7800000000000002e+28,1.3,4.606958904,,1.8683973820230715e+27
SN2021aefs,58157.0,0.511,0.13,59527.272,-1365.909,real,0.01225,1.8600000000000003e+27,,-3.742216438,,4.725790135570606e+26
SN2021aefs,59154.0,1.946,0.216,,-368.909,real,0.01225,7.07e+27,,-1.010709589,,7.852082071409621e+26
SN2021aefs,60098.0,0.648,0.228,,575.091,real,0.01225,2.36e+27,,1.575591781,,8.288308853154601e+26
SN2021aefs,60828.01716,3.78,0.564,,1300.745,upper,0.01225,1.3700000000000001e+28,0.3,3.563684932,,2.050265874201401e+27
SN2021bmf,58651.0,0.284,0.139,59244.613,-609.859,real,0.04,1.18e+28,,-1.670846575,,5.766527776633123e+27
SN2021bmf,59483.0,5.57,0.526,,222.141,real,0.04,2.31e+29,,0.6086054795,,2.182153676625196e+28
SN2021bmf,60479.0,9.036,0.935,,1234.387,real,0.04,3.75e+29,,3.381882192,,3.8789233605409853e+28
SN2021bmf,60825.39025,7.343,1.068,,1580.777,real,0.04,3.05e+29,0.8,4.33089589,,4.430684651398687e+28
SN2021tcv,58587.0,0.343,0.11,59406.596,-815.799,real,0.017,2.4300000000000001e+27,,-2.235065753,,7.792507616745919e+26
SN2021tcv,59511.0,0.498,0.152,,108.201,real,0.017,3.5300000000000004e+27,,0.2964410959,,1.0767828706776179e+27
SN2021tcv,60455.0,1.213,0.206,,1048.404,real,0.017,8.59e+27,,2.872339726,,1.4593241536815083e+27
SN2021tcv,60831.59135,1.59,0.14,,1424.995,real,0.017,1.13e+28,1.0,3.90409589,,9.917736966767533e+26
SN2022cb,58122.0,0.268,0.117,59584.822,-1462.822,real,0.035,8.410000000000001e+27,,-3.90409589,,3.6716340937803356e+27
SN2022cb,59063.0,0.568,0.204,,-521.822,real,0.035,1.7800000000000002e+28,,-1.429649315,,6.401823548129816e+27
SN2022cb,59975.0,0.954,0.164,,390.178,real,0.035,2.99e+28,,1.068980822,,5.146564028888676e+27
SN2022cb,60847.77258,0.888,0.114,,1262.950577,real,0.035,2.7900000000000002e+28,0.5,3.460138567,,3.57748962983725e+27
SN2023axu,58167.0,0.315,0.128,59972.11622,-1803.952,real,0.0028,5.8423807859392075e+25,,-4.94233424658,,2.3740467955562495e+25
SN2023axu,59154.0,0.436,0.157,,-817.646,real,0.0028,8.086596897363474e+25,,-2.2401260274,,2.9119167726744618e+25
SN2023axu,60104.0,0.686,0.157,,132.737,real,0.0028,1.2723407044934276e+26,,0.36366301369,,2.9119167726744618e+25
SN2023axu,60881.8024,0.333,0.047,,909.686,real,0.0028,6.176231116564304e+25,0.6,2.49229041096,,8.717203077433103e+24
SN2023rky,58608.0,0.391,0.164,60193.336,-1584.686,real,0.01519,2.2000000000000001e+27,,-4.341605479,,9.234126882296323e+26
SN2023rky,59525.0,0.286,0.153,,-667.98,real,0.01519,1.61e+27,,-1.830082192,,8.614764713361814e+26
SN2023rky,60489.0,0.667,0.133,,295.664,real,0.01519,3.7600000000000004e+27,,0.8100383562,,7.488651678935433e+26
SN2023rky,60848.41062,0.333,0.042,,655.0746215,real,0.01519,1.8700000000000002e+27,0.4,1.79472499,,2.3648373722954e+26
SN2024ehs,58157.0,0.309,0.135,60384.47002,-1801.659,real,0.00377,1.04e+26,,-4.936052055,,4.550324079649602e+25
SN2024ehs,59535.0,0.333,0.127,,-859.659,real,0.00377,1.12e+26,,-2.355230137,,4.2806752452999954e+25
SN2024ehs,60431.0,0.997,0.154,,46.53,real,0.00377,3.36e+26,,0.1274794521,,5.190740061229916e+25
SN2024ehs,60840.17381,0.102,0.025,,455.704,real,0.00377,3.44e+25,1.0,1.24850411,,8.426526073425189e+24
