SN,mjd obs,flux (mJy),mjd exp date,dt (days),dt (years),redshift,Luminosity,classification,status,type
GRB90,,,,,0.000373399657212,,2.7219020299003017e+21,grb90,real,
GRB90,,,,,0.0003856328045464,,6.728508791570861e+21,grb90,real,
GRB90,,,,,0.000398266472506,,1.602235684516457e+21,grb90,real,
GRB90,,,,,0.0004113143210608,,1.7432890228392112e+21,grb90,real,
GRB90,,,,,0.0004247894947099,,5.712080241209531e+21,grb90,real,
GRB90,,,,,0.0004387064266292,,1.8300184081029897e+21,grb90,real,
GRB90,,,,,0.0004530790345236,,1.4675076336247683e+21,grb90,real,
GRB90,,,,,0.0004679225247748,,1.543506314466197e+21,grb90,real,
GRB90,,,,,0.0004832523614995,,5.805679639048998e+21,grb90,real,
GRB90,,,,,0.0004990842665498,,2.6055889267735213e+21,grb90,real,
GRB90,,,,,0.0005154349927189,,1.620063052885856e+21,grb90,real,
GRB90,,,,,0.0005323212928001,,1.942899361891987e+21,grb90,real,
GRB90,,,,,0.0005497609505277,,3.3938833486910367e+21,grb90,real,
GRB90,,,,,0.0005677717496359,,2.375509215339392e+21,grb90,real,
GRB90,,,,,0.0005863727625355,,1.8896791438725488e+21,grb90,real,
GRB90,,,,,0.0006055833193726,,1.962485659181166e+21,grb90,real,
GRB90,,,,,0.0006254230080284,,4.135550441009058e+21,grb90,real,
GRB90,,,,,0.0006459127050606,,3.400893351819624e+21,grb90,real,
GRB90,,,,,0.0006670738024974,,2.3180530926988488e+21,grb90,real,
GRB90,,,,,0.0006889279501024,,3.30575405789825e+21,grb90,real,
GRB90,,,,,0.0007114983440508,,4.16171153270114e+21,grb90,real,
GRB90,,,,,0.0007348079227825,,3.1194580584380267e+21,grb90,real,
GRB90,,,,,0.0007588814288843,,1.2092974395910833e+21,grb90,real,
GRB90,,,,,0.000783743347208,,1.0150448342159914e+21,grb90,real,
GRB90,,,,,0.0008094199667521,,3.900160611731565e+21,grb90,real,
GRB90,,,,,0.0008359375765151,,1.81707642433482e+21,grb90,real,
GRB90,,,,,0.0008633240119073,,7.517303179748738e+21,grb90,real,
GRB90,,,,,0.0008916078815448,,2.672682494280428e+21,grb90,real,
GRB90,,,,,0.000920818051779,,3.26591008005598e+21,grb90,real,
GRB90,,,,,0.0009509854508434,,3.060351570979953e+21,grb90,real,
GRB90,,,,,0.0009821410069717,,8.396037212740244e+20,grb90,real,
GRB90,,,,,0.0010143174525444,,3.778572626478817e+21,grb90,real,
GRB90,,,,,0.0010475477776775,,3.149588406079022e+21,grb90,real,
GRB90,,,,,0.0010818670343689,,3.669979954728678e+21,grb90,real,
GRB90,,,,,0.0011173105323522,,2.2518737492108855e+21,grb90,real,
GRB90,,,,,0.0011539151277722,,1.1746340645228266e+21,grb90,real,
GRB90,,,,,0.0011917189654505,,2.3040226109581248e+21,grb90,real,
GRB90,,,,,0.001230761478885,,3.1626341923660093e+21,grb90,real,
GRB90,,,,,0.0012710828747793,,3.646674860779108e+21,grb90,real,
GRB90,,,,,0.0013127254217193,,2.799731063412991e+21,grb90,real,
GRB90,,,,,0.0013557321614969,,3.5886540143435296e+21,grb90,real,
GRB90,,,,,0.0014001476823154,,3.2208950226065603e+21,grb90,real,
GRB90,,,,,0.0014460186342607,,6.265457182926006e+21,grb90,real,
GRB90,,,,,0.0014933921828889,,1.673561347377723e+21,grb90,real,
GRB90,,,,,0.0015423178133738,,2.7447414409902225e+21,grb90,real,
GRB90,,,,,0.0015928462995657,,4.875926191900321e+21,grb90,real,
GRB90,,,,,0.0016450302194615,,3.405207346409014e+21,grb90,real,
GRB90,,,,,0.0016989236974703,,2.4354108872306097e+21,grb90,real,
GRB90,,,,,0.0017545829198829,,2.511134348549669e+21,grb90,real,
GRB90,,,,,0.001812065361667,,2.919925809353535e+21,grb90,real,
GRB90,,,,,0.001871431332878,,5.236691369892372e+21,grb90,real,
GRB90,,,,,0.0019327419167772,,4.622674710852719e+21,grb90,real,
GRB90,,,,,0.0019960612894496,,3.187962006957492e+21,grb90,real,
GRB90,,,,,0.0020614551733914,,2.80279942777657e+21,grb90,real,
GRB90,,,,,0.002128991095246,,4.028154831333723e+21,grb90,real,
GRB90,,,,,0.0021987399322156,,3.418143616277065e+21,grb90,real,
GRB90,,,,,0.0022707738501784,,2.812351164141158e+21,grb90,real,
GRB90,,,,,0.0023451675923658,,2.2809641670303327e+21,grb90,real,
GRB90,,,,,0.0024219984793618,,3.778701189231481e+21,grb90,real,
GRB90,,,,,0.0025013466668384,,2.7251218126170185e+21,grb90,real,
GRB90,,,,,0.0025832935991443,,4.4866000841664616e+21,grb90,real,
GRB90,,,,,0.0026679261330687,,2.7333822075548483e+21,grb90,real,
GRB90,,,,,0.0027553318986069,,2.846081268856743e+21,grb90,real,
GRB90,,,,,0.0028456011031069,,3.3060388005874846e+21,grb90,real,
GRB90,,,,,0.0029388265312697,,3.3587304828459706e+21,grb90,real,
GRB90,,,,,0.0030351061225015,,3.82339912522433e+21,grb90,real,
GRB90,,,,,0.0031345403935617,,3.691288040586867e+21,grb90,real,
GRB90,,,,,0.0032372324385623,,4.59682788366715e+21,grb90,real,
GRB90,,,,,0.0033432879289681,,3.7803715526994265e+21,grb90,real,
GRB90,,,,,0.0034528202683024,,3.3018847952014095e+21,grb90,real,
GRB90,,,,,0.0035659377053828,,2.802682292824143e+21,grb90,real,
GRB90,,,,,0.0036827639531437,,3.9805361400636863e+21,grb90,real,
GRB90,,,,,0.003803417569814,,4.4232424550202994e+21,grb90,real,
GRB90,,,,,0.0039280222683282,,3.527173401386262e+21,grb90,real,
GRB90,,,,,0.004056709493679,,2.907938999221824e+21,grb90,real,
GRB90,,,,,0.0041896132682122,,3.544928393687495e+21,grb90,real,
GRB90,,,,,0.0043268701916261,,4.664297616265183e+21,grb90,real,
GRB90,,,,,0.0044686245956777,,4.2011107786508615e+21,grb90,real,
GRB90,,,,,0.0046150233894766,,2.607645930816144e+21,grb90,real,
GRB90,,,,,0.0047662186368381,,4.2351484816561537e+21,grb90,real,
GRB90,,,,,0.0049223649789301,,3.604992911732086e+21,grb90,real,
GRB90,,,,,0.0050836299436848,,3.1567593507276105e+21,grb90,real,
GRB90,,,,,0.0052501759043286,,4.1681939523854616e+21,grb90,real,
GRB90,,,,,0.005422178120852,,3.543337072504522e+21,grb90,real,
GRB90,,,,,0.0055998170079511,,3.153177687670062e+21,grb90,real,
GRB90,,,,,0.0057832755576747,,3.421624333765855e+21,grb90,real,
GRB90,,,,,0.00597274449413,,3.582785838921936e+21,grb90,real,
GRB90,,,,,0.0061684196961301,,2.986168958059488e+21,grb90,real,
GRB90,,,,,0.006370504774546,,3.8009434977590297e+21,grb90,real,
GRB90,,,,,0.0065792110723076,,3.085595581703032e+21,grb90,real,
GRB90,,,,,0.00679475508705,,3.4978753785291803e+21,grb90,real,
GRB90,,,,,0.0070173610484671,,3.2842469378526025e+21,grb90,real,
GRB90,,,,,0.0072472609183108,,2.9402882447421305e+21,grb90,real,
GRB90,,,,,0.0074846918130388,,4.445443813930332e+21,grb90,real,
GRB90,,,,,0.00772990115852,,3.712953245202457e+21,grb90,real,
GRB90,,,,,0.007983141535329,,3.146735265286569e+21,grb90,real,
GRB90,,,,,0.008244680988157,,3.440301168619523e+21,grb90,real,
GRB90,,,,,0.0085147875616953,,2.789875538025442e+21,grb90,real,
GRB90,,,,,0.0087937447647521,,3.6406457438375127e+21,grb90,real,
GRB90,,,,,0.0090818412608409,,4.007902864680749e+21,grb90,real,
GRB90,,,,,0.009379373445534,,4.166864518291248e+21,grb90,real,
GRB90,,,,,0.0096866557558731,,3.558356058965729e+21,grb90,real,
GRB90,,,,,0.0100040052062526,,2.510931505095466e+21,grb90,real,
GRB90,,,,,0.0103317491204783,,3.444341848319916e+21,grb90,real,
GRB90,,,,,0.0106702328638255,,3.73375279395011e+21,grb90,real,
GRB90,,,,,0.0110198043789224,,3.74401781551281e+21,grb90,real,
GRB90,,,,,0.0113808270725138,,3.0955739559431263e+21,grb90,real,
GRB90,,,,,0.0117536798154615,,4.49372341298073e+21,grb90,real,
GRB90,,,,,0.0121387466333329,,3.507960412238151e+21,grb90,real,
GRB90,,,,,0.0125364295931648,,4.104954410508414e+21,grb90,real,
GRB90,,,,,0.0129471410714055,,3.936211512211907e+21,grb90,real,
GRB90,,,,,0.0133713063312671,,3.536072800820665e+21,grb90,real,
GRB90,,,,,0.0138093712547842,,3.3077024978386247e+21,grb90,real,
GRB90,,,,,0.014261784301344,,3.0767180855524154e+21,grb90,real,
GRB90,,,,,0.0147290197038621,,3.8070887973363646e+21,grb90,real,
GRB90,,,,,0.0152115645820178,,3.855799795845702e+21,grb90,real,
GRB90,,,,,0.0157099163649016,,3.1992726722418584e+21,grb90,real,
GRB90,,,,,0.0162245956777793,,3.1616304505785444e+21,grb90,real,
GRB90,,,,,0.0167561360326808,,3.174119131603988e+21,grb90,real,
GRB90,,,,,0.0173050915604582,,3.689598630785195e+21,grb90,real,
GRB90,,,,,0.0178720292787278,,3.2970536926513044e+21,grb90,real,
GRB90,,,,,0.0184575419786337,,3.2202407810430036e+21,grb90,real,
GRB90,,,,,0.019062237915437,,3.854751295173976e+21,grb90,real,
GRB90,,,,,0.0196867433858683,,3.809913368628226e+21,grb90,real,
GRB90,,,,,0.0203317078828335,,3.6149446211049625e+21,grb90,real,
GRB90,,,,,0.0209978040954136,,3.806485980873874e+21,grb90,real,
GRB90,,,,,0.0216857201768064,,3.498250591303622e+21,grb90,real,
GRB90,,,,,0.0223961752084434,,3.285507805145396e+21,grb90,real,
GRB90,,,,,0.0231299063132256,,3.3700887639646583e+21,grb90,real,
GRB90,,,,,0.0238876738102295,,3.738592467350392e+21,grb90,real,
GRB90,,,,,0.0246702689467647,,3.838154319963405e+21,grb90,real,
GRB90,,,,,0.0254785010116109,,3.8001140299251754e+21,grb90,real,
GRB90,,,,,0.02631319991237,,3.107721707594839e+21,grb90,real,
GRB90,,,,,0.0271752728772278,,3.596855365646802e+21,grb90,real,
GRB90,,,,,0.0280655678552558,,3.661291017281969e+21,grb90,real,
GRB90,,,,,0.0289850384669905,,3.5103212053037355e+21,grb90,real,
GRB90,,,,,0.0299346383329682,,3.6050890957174137e+21,grb90,real,
GRB90,,,,,0.0309153210737251,,3.3705477806075025e+21,grb90,real,
GRB90,,,,,0.0319281691774378,,3.630891164018722e+21,grb90,real,
GRB90,,,,,0.0329741620381705,,3.6842704189247896e+21,grb90,real,
GRB90,,,,,0.0340544594646838,,3.294273880243704e+21,grb90,real,
GRB90,,,,,0.0351701181716259,,3.6265790740627047e+21,grb90,real,
GRB90,,,,,0.0363223495148133,,3.5257449263566626e+21,grb90,real,
GRB90,,,,,0.0375123133030064,,3.385869603774984e+21,grb90,real,
GRB90,,,,,0.0387412724390778,,3.551154640183176e+21,grb90,real,
GRB90,,,,,0.0400104898258998,,3.769278015619558e+21,grb90,real,
GRB90,,,,,0.0413212799134009,,3.5819297062208626e+21,grb90,real,
GRB90,,,,,0.0426750344720937,,3.6023140448932447e+21,grb90,real,
GRB90,,,,,0.0440731194989626,,3.372829531388115e+21,grb90,real,
GRB90,,,,,0.0455170298586322,,3.792755478889366e+21,grb90,real,
GRB90,,,,,0.047008234642199,,3.463888148308267e+21,grb90,real,
GRB90,,,,,0.0485482802613435,,3.708242134554838e+21,grb90,real,
GRB90,,,,,0.0501387904483305,,3.3947756694261926e+21,grb90,real,
GRB90,,,,,0.0517814147089524,,3.883585539804781e+21,grb90,real,
GRB90,,,,,0.0534778540960579,,3.504163525609476e+21,grb90,real,
GRB90,,,,,0.0552298612095516,,3.49320712213245e+21,grb90,real,
GRB90,,,,,0.0570392659699222,,3.8587986410911737e+21,grb90,real,
GRB90,,,,,0.0589079498447144,,3.5267658098444825e+21,grb90,real,
GRB90,,,,,0.0608378458485289,,3.5242555030591337e+21,grb90,real,
GRB90,,,,,0.0628309900900784,,3.704244309105333e+21,grb90,real,
GRB90,,,,,0.0648894186780757,,3.4049759334542187e+21,grb90,real,
GRB90,,,,,0.0670152965888735,,3.5832934237157867e+21,grb90,real,
GRB90,,,,,0.0692107887988247,,3.675329117556184e+21,grb90,real,
GRB90,,,,,0.071478240698978,,3.757299776338025e+21,grb90,real,
GRB90,,,,,0.0738199719068544,,3.615522677333606e+21,grb90,real,
GRB90,,,,,0.0762384051340867,,3.584386683271773e+21,grb90,real,
GRB90,,,,,0.0787360919599479,,3.922701947698642e+21,grb90,real,
GRB90,,,,,0.0813156097372388,,3.5751863517644676e+21,grb90,real,
GRB90,,,,,0.0839796131393445,,3.535308090521487e+21,grb90,real,
GRB90,,,,,0.086730911480818,,3.65252779913372e+21,grb90,real,
GRB90,,,,,0.0895723398497403,,3.7117799910448127e+21,grb90,real,
GRB90,,,,,0.0925068364283044,,3.841155069842249e+21,grb90,real,
GRB90,,,,,0.0955374940398716,,3.525993481011813e+21,grb90,real,
GRB90,,,,,0.0986674312813309,,3.7869168252850505e+21,grb90,real,
GRB90,,,,,0.1018999213907395,,3.622994554055098e+21,grb90,real,
GRB90,,,,,0.1052383149267387,,3.612319084000558e+21,grb90,real,
GRB90,,,,,0.1086860655420817,,3.455787742573752e+21,grb90,real,
GRB90,,,,,0.1122467815306898,,3.628499896819173e+21,grb90,real,
GRB90,,,,,0.1159241485070684,,3.832698497667021e+21,grb90,real,
GRB90,,,,,0.1197219809533628,,3.752850552779165e+21,grb90,real,
GRB90,,,,,0.1236442222193585,,4.3820414258999103e+21,grb90,real,
GRB90,,,,,0.127694996069537,,1.0840858893465852e+22,grb90,real,
GRB90,,,,,0.1318784520419077,,2.577528915608759e+22,grb90,real,
GRB90,,,,,0.1361989974097604,,5.504231410502715e+22,grb90,real,
GRB90,,,,,0.1406610652199126,,1.0145201077217856e+23,grb90,real,
GRB90,,,,,0.145269320480934,,1.767995926951161e+23,grb90,real,
GRB90,,,,,0.1500285312955064,,2.8282510435372844e+23,grb90,real,
GRB90,,,,,0.1549436719545355,,4.397730843308342e+23,grb90,real,
GRB90,,,,,0.1600198456165672,,6.188519517831789e+23,grb90,real,
GRB90,,,,,0.1652623358548434,,8.73901882893047e+23,grb90,real,
GRB90,,,,,0.1706765551102462,,1.1459245733779396e+24,grb90,real,
GRB90,,,,,0.1762681477854095,,1.5062459717941288e+24,grb90,real,
GRB90,,,,,0.1820429644711916,,1.898785196027901e+24,grb90,real,
GRB90,,,,,0.1880069330790345,,2.337486067001518e+24,grb90,real,
GRB90,,,,,0.1941663165762445,,2.837973244588737e+24,grb90,real,
GRB90,,,,,0.20052748102424,,3.377941567360708e+24,grb90,real,
GRB90,,,,,0.2070970244461913,,3.983253099569984e+24,grb90,real,
GRB90,,,,,0.213881828374077,,4.6413496410730135e+24,grb90,real,
GRB90,,,,,0.2208888774339875,,5.377850415367317e+24,grb90,real,
GRB90,,,,,0.2281255170814057,,6.165572494956308e+24,grb90,real,
GRB90,,,,,0.2355992216394541,,6.990644434985888e+24,grb90,real,
GRB90,,,,,0.2433178004871197,,7.900937290647987e+24,grb90,real,
GRB90,,,,,0.2512892176445572,,8.848876177240149e+24,grb90,real,
GRB90,,,,,0.2595219010554259,,9.85551586438198e+24,grb90,real,
GRB90,,,,,0.2680240724751608,,1.0929557669637107e+25,grb90,real,
GRB90,,,,,0.276804855732677,,1.2012065570234328e+25,grb90,real,
GRB90,,,,,0.285873529298058,,1.3222164860475358e+25,grb90,real,
GRB90,,,,,0.2952391139061071,,1.4445834663497583e+25,grb90,real,
GRB90,,,,,0.3049116612327479,,1.5753270242255514e+25,grb90,real,
GRB90,,,,,0.314900965218624,,1.7159222982221476e+25,grb90,real,
GRB90,,,,,0.3252175930102192,,1.8583898268242052e+25,grb90,real,
GRB90,,,,,0.3358721117540174,,2.0099481705146325e+25,grb90,real,
GRB90,,,,,0.3468756040670628,,2.1595056968469353e+25,grb90,real,
GRB90,,,,,0.3582399257722393,,2.33185692306821e+25,grb90,real,
GRB90,,,,,0.3699761594865913,,2.512113330103288e+25,grb90,real,
GRB90,,,,,0.3820971919741234,,2.698138871624574e+25,grb90,real,
GRB90,,,,,0.394615136793,,2.8928676353428656e+25,grb90,real,
GRB90,,,,,0.4075433961777858,,3.0801216653896063e+25,grb90,real,
GRB90,,,,,0.4208951146277659,,3.300187766866246e+25,grb90,real,
GRB90,,,,,0.4346842098480651,,3.519002524216954e+25,grb90,real,
GRB90,,,,,0.4489251150143687,,3.742483633331021e+25,grb90,real,
GRB90,,,,,0.4636325210376422,,3.997543563766095e+25,grb90,real,
GRB90,,,,,0.478821634299411,,4.2452982728998e+25,grb90,real,
GRB90,,,,,0.4945086921223212,,4.515281958127441e+25,grb90,real,
GRB90,,,,,0.5107094163584583,,4.8008779231119185e+25,grb90,real,
GRB90,,,,,0.5274410752715886,,5.105779251963088e+25,grb90,real,
GRB90,,,,,0.5447206793901983,,5.401869746831686e+25,grb90,real,
GRB90,,,,,0.5625665279191743,,5.751153794852506e+25,grb90,real,
GRB90,,,,,0.580996920063403,,6.080901066051838e+25,grb90,real,
GRB90,,,,,0.6000311859688914,,6.455581495465558e+25,grb90,real,
GRB90,,,,,0.6196891712522069,,6.8526327961594915e+25,grb90,real,
GRB90,,,,,0.6399909792651968,,7.244696814366752e+25,grb90,real,
GRB90,,,,,0.6609580020361087,,7.674304965618625e+25,grb90,real,
GRB90,,,,,0.6826118893284708,,8.140977282305169e+25,grb90,real,
GRB90,,,,,0.7049753218469311,,8.595648504109706e+25,grb90,real,
GRB90,,,,,0.728071238031418,,9.086290631792926e+25,grb90,real,
GRB90,,,,,0.7519238649982604,,9.622902990562028e+25,grb90,real,
GRB90,,,,,0.7765579453343471,,1.0154029052900776e+26,grb90,real,
GRB90,,,,,0.8019989948324077,,1.0740322820882656e+26,grb90,real,
GRB90,,,,,0.8282738179615717,,1.1380365342644925e+26,grb90,real,
GRB90,,,,,0.8554092191909689,,1.2001228206343105e+26,grb90,real,
GRB90,,,,,0.8834335494014098,,1.2709961330695369e+26,grb90,real,
GRB90,,,,,0.9123759326795448,,1.3477376209263573e+26,grb90,real,
GRB90,,,,,0.9422667817884252,,1.421283133983621e+26,grb90,real,
GRB90,,,,,0.973136767226382,,1.5054336456606302e+26,grb90,real,
GRB90,,,,,1.0050181059034269,,1.595390432174617e+26,grb90,real,
GRB90,,,,,1.0379437879354116,,1.683434966782314e+26,grb90,real,
GRB90,,,,,1.0719483498498692,,1.7900544383582335e+26,grb90,real,
GRB90,,,,,1.1070668436448925,,1.899174693552638e+26,grb90,real,
