name,visual_obs_date,name_epoch,vlass_obs_date,epoch,flux,rms,days_diff,type,redshift,detection_type,luminosity_cgs,grb_luminosity_cgs,time_years
ZTF18aabxlsv,58214.559,ZTF18aabxlsv_VLASS2.1,59048.0,VLASS2.1,0.444,0.15,833.4409999999989,SN Ib,0.048,upper_limit,2.5798980558061577e+28,6.735804295403599e+26,2.2833999999999968
ZTF18aabxlsv,58214.559,ZTF18aabxlsv_VLASS3.1,59969.0,VLASS3.1,0.397,0.148,1754.440999999999,SN Ib,0.048,upper_limit,2.3068007390879386e+28,2.2775463012828864e+27,4.806687671232874
ZTF18aagrdcs,58207.779,ZTF18aagrdcs_VLASS1.2v2,58587.0,VLASS1.2v,0.441,0.097,379.2209999999978,SN Ib,0.0181,detection,3.487988444211407e+27,1.6865812218976885e+26,1.0389616438356104
ZTF18aagrdcs,58207.779,ZTF18aagrdcs_VLASS2.2,59532.0,VLASS2.2,0.373,0.106,1324.2209999999975,SN Ib,0.0181,upper_limit,2.950158026509875e+27,1.4834741463977592e+27,3.6280027397260204
ZTF18aahhzqn,58211.629,ZTF18aahhzqn_VLASS1.2v2,58610.0,VLASS1.2v,0.382,0.129,398.3709999999992,SN Ib/c,0.031,upper_limit,9.033327646799304e+27,1.850216804144197e+26,1.0914273972602717
ZTF18aahhzqn,58211.629,ZTF18aahhzqn_VLASS2.2,59516.0,VLASS2.2,0.316,0.134,1304.3709999999992,SN Ib/c,0.031,upper_limit,7.472595644996283e+27,1.4397367889864916e+27,3.5736191780821898
ZTF18aahpbwz,58235.529,ZTF18aahpbwz_VLASS1.2v2,58594.0,VLASS1.2v,0.306,0.123,358.47099999999773,SN Ib,0.051,upper_limit,2.015837023901122e+28,1.5305243747119904e+26,0.9821123287671171
ZTF18aahpbwz,58235.529,ZTF18aahpbwz_VLASS2.2,59539.0,VLASS2.2,0.324,0.1,1303.4709999999975,SN Ib,0.051,upper_limit,2.134415672365894e+28,1.4377690992722407e+27,3.5711534246575276
ZTF18aahuujv,58672.629,ZTF18aahuujv_VLASS2.1,59110.0,VLASS2.1,0.439,0.17,437.3709999999992,SN Ic,0.0343,upper_limit,1.277047696708182e+28,2.1889814653212023e+26,1.198276712328765
ZTF18aahuujv,58672.629,ZTF18aahuujv_VLASS3.1,59980.0,VLASS3.1,0.256,0.099,1307.3709999999992,SN Ic,0.0343,upper_limit,7.447020737068213e+27,1.4463053812773943e+27,3.5818383561643814
ZTF18aaisybp,58926.679,ZTF18aaisybp_VLASS2.2,59540.0,VLASS2.2,0.267,0.093,613.3209999999963,SN Ic,0.06231,upper_limit,2.66776097466044e+28,3.972682751445939e+26,1.6803315068493048
ZTF18aaisyyp,58245.609,ZTF18aaisyyp_VLASS2.1,59093.0,VLASS2.1,0.42,0.162,847.390999999996,SN Ic,0.132,upper_limit,2.0663039928894336e+29,6.920399595279184e+26,2.3216191780821807
ZTF18aaisyyp,58245.609,ZTF18aaisyyp_VLASS3.1,59990.0,VLASS3.1,0.281,0.138,1744.390999999996,SN Ic,0.132,upper_limit,1.3824557666712641e+29,2.2578770084443256e+27,4.779153424657523
ZTF18aakkrjm,58961.589,ZTF18aakkrjm_VLASS2.1,59098.0,VLASS2.1,0.417,0.177,136.41100000000006,SN Ib,0.02091,upper_limit,4.42018981318258e+27,2.5689269120686585e+25,0.37372876712328784
ZTF18aakkrjm,58961.589,ZTF18aakkrjm_VLASS3.1,59987.0,VLASS3.1,0.272,0.107,1025.411,SN Ib,0.02091,upper_limit,2.8831933553612996e+27,9.579672931797075e+26,2.809345205479452
ZTF18aaqjovh,58238.619,ZTF18aaqjovh_VLASS1.2v2,58585.0,VLASS1.2v,0.274,0.093,346.3810000000012,SN Ic-BL,0.054,upper_limit,2.032264065385705e+28,1.4394264557122272e+26,0.9489890410958938
ZTF18aaqjovh,58238.619,ZTF18aaqjovh_VLASS2.2,59527.0,VLASS2.2,0.336,0.133,1288.3810000000012,SN Ic-BL,0.054,upper_limit,2.4921194378452443e+28,1.4053774817000116e+27,3.529810958904113
