name,visual_obs_date,name_epoch,vlass_obs_date,epoch,flux,rms,days_diff,type,redshift,detection_type,luminosity_cgs,grb_luminosity_cgs,time_years
ZTF18aaaibml,58899.679,ZTF18aaaibml_VLASS2.1,59048.0,VLASS2.1,0.522,0.183,148.32099999999627,SN II,0.0348,upper_limit,1.5642264858489362e+28,6.363432246299231e+26,0.4063589041095788
ZTF18aaaibml,58899.679,ZTF18aaaibml_VLASS3.1,59969.0,VLASS3.1,0.469,0.17,1069.3209999999965,SN II,0.0348,upper_limit,1.405406555293393e+28,6.490408011958739e+27,2.9296465753424563
ZTF18aabssth,58208.589,ZTF18aabssth_VLASS1.2v2,58593.0,VLASS1.2v,0.426,0.144,384.41100000000006,SN II,0.023,upper_limit,5.480358575788542e+27,2.4237311543467932e+27,1.0531808219178085
ZTF18aacemcn,58828.889,ZTF18aacemcn_VLASS2.2,59563.0,VLASS2.2,0.291,0.122,734.1109999999971,SN II,0.038,upper_limit,1.0445988835203864e+28,5.732187903780038e+27,2.0112630136986223
ZTF18aacnlxz,59170.899,ZTF18aacnlxz_VLASS2.2,59529.0,VLASS2.2,0.263,0.111,358.1010000000024,SN II,0.07247,upper_limit,3.6051079136410923e+28,2.1803410997260014e+27,0.9810986301369928
ZTF18aadmssd,58494.639,ZTF18aadmssd_VLASS1.2v2,58600.0,VLASS1.2v,5.053,0.489,105.36099999999716,SN IIn,0.01885,detection,4.33947454323577e+28,3.886974391109672e+26,0.28866027397259497
ZTF18aadmssd,58494.639,ZTF18aadmssd_VLASS2.2,59496.0,VLASS2.2,5.737,0.332,1001.3609999999971,SN IIn,0.01885,detection,4.926888077289453e+28,6.374191705896581e+27,2.7434547945205403
ZTF18aadsuxd,59158.869,ZTF18aadsuxd_VLASS2.2,59551.0,VLASS2.2,0.302,0.105,392.1310000000012,SN II,0.03057,upper_limit,6.940412965511571e+27,2.504051906862578e+27,1.0743315068493184
ZTF18aahhqih,58247.599,ZTF18aahhqih_VLASS1.2v2,58634.0,VLASS1.2v,0.998,0.173,386.400999999998,SN II,0.0142,detection,4.830047724070127e+27,2.4446165075239216e+27,1.0586328767123234
ZTF18aakfabl,58413.869,ZTF18aakfabl_VLASS2.1,59128.0,VLASS2.1,1.442,0.351,714.1310000000012,SN II,0.035,detection,4.372184122574212e+28,5.588251087027848e+27,1.9565232876712362
ZTF18aakfabl,58413.869,ZTF18aakfabl_VLASS3.1,59991.0,VLASS3.1,1.366,0.309,1577.1310000000012,SN II,0.035,detection,4.14175000793091e+28,1.1017794743062829e+28,4.3209068493150715
ZTF18aakrnvd,58302.569,ZTF18aakrnvd_VLASS2.1,59045.0,VLASS2.1,0.329,0.148,742.4309999999969,SN IIn,0.0453,upper_limit,1.6961003153293292e+28,5.802934092597559e+27,2.0340575342465668
ZTF18aakrnvd,58302.569,ZTF18aakrnvd_VLASS3.1,59967.0,VLASS3.1,0.314,0.133,1664.4309999999969,SN IIn,0.0453,upper_limit,1.6187705137185693e+28,1.1755859195262731e+28,4.56008493150684
ZTF18aamfrvy,58245.649,ZTF18aamfrvy_VLASS1.2v2,58573.0,VLASS1.2v,0.345,0.132,327.3510000000024,SN IIP,0.01564,upper_limit,2.029899491164159e+27,1.9233285286385908e+27,0.8968520547945271
ZTF18aamftst,58302.569,ZTF18aamftst_VLASS1.2v2,58573.0,VLASS1.2v,0.36,0.119,270.43099999999686,SN IIn,0.0378,upper_limit,1.2783494328428007e+28,1.4841346533548178e+27,0.7409068493150599
ZTF18aamftst,58302.569,ZTF18aamftst_VLASS2.2,59502.0,VLASS2.2,0.293,0.111,1199.4309999999969,SN IIn,0.0378,upper_limit,1.040434399508168e+28,7.12156324812599e+27,3.2861123287671146
ZTF18aapifti,58266.579,ZTF18aapifti_VLASS1.2v2,58587.0,VLASS1.2v,0.373,0.136,320.4210000000021,SN IIP,0.0216,upper_limit,4.2233615929237014e+27,1.8713260693514582e+27,0.8778657534246632
ZTF18aaqkdwu,58602.639,ZTF18aaqkdwu_VLASS2.2,59540.0,VLASS2.2,0.291,0.123,937.3609999999971,SN II,0.06037,upper_limit,2.7219207956152577e+28,6.362666350891158e+27,2.5681123287671155
ZTF18aaqkoyr,58256.629,ZTF18aaqkoyr_VLASS1.2v2,58612.0,VLASS1.2v,0.347,0.136,355.3709999999992,SN II,0.02389,upper_limit,4.8225615146098053e+27,2.1523584514369475e+27,0.9736191780821896
ZTF18aarasof,58259.779,ZTF18aarasof_VLASS2.1,59099.0,VLASS2.1,0.257,0.118,839.2209999999977,SN IIn,0.044,upper_limit,1.247634791717787e+28,6.231833610969791e+27,2.29923561643835
ZTF18aarasof,58259.779,ZTF18aarasof_VLASS3.1,60015.0,VLASS3.1,0.475,0.113,1755.2209999999975,SN IIn,0.044,detection,2.3059397901398786e+28,1.2403379472979783e+28,4.80882465753424
