name,visual_obs_date,name_epoch,vlass_obs_date,epoch,days_diff,type
ZTF17aaapufz,59716.629,ZTF17aaapufz_VLASS2.1,59098.0,VLASS2.1,-618.6290000000008,LBV
ZTF17aaapufz,59716.629,ZTF17aaapufz_VLASS3.1,59987.0,VLASS3.1,270.3709999999992,LBV
ZTF17aaazdba,58551.609,ZTF17aaazdba_VLASS1.2v2,58587.0,VLASS1.2v,35.390999999995984,TDE
ZTF17aaazdba,58551.609,ZTF17aaazdba_VLASS2.2,59561.0,VLASS2.2,1009.390999999996,TDE
ZTF17aabtvsy,59860.869,ZTF17aabtvsy_VLASS1.2v2,58606.0,VLASS1.2v,-1254.8689999999988,SN Ia
ZTF17aabtvsy,59860.869,ZTF17aabtvsy_VLASS2.2,59529.0,VLASS2.2,-331.8689999999988,SN Ia
ZTF17aacldgo,59887.629,ZTF17aacldgo_VLASS1.1v2,58085.0,VLASS1.1v,-1802.6290000000008,SN Ia
ZTF17aacldgo,59887.629,ZTF17aacldgo_VLASS2.1,59105.0,VLASS2.1,-782.6290000000008,SN Ia
ZTF17aacldgo,59887.629,ZTF17aacldgo_VLASS3.1,60076.0,VLASS3.1,188.3709999999992,SN Ia
ZTF17aacpbmv,60251.709,ZTF17aacpbmv_VLASS1.1v2,58102.0,VLASS1.1v,-2149.7090000000026,SN Ic
ZTF17aacpbmv,60251.709,ZTF17aacpbmv_VLASS2.1,59077.0,VLASS2.1,-1174.7090000000026,SN Ic
ZTF17aacpbmv,60251.709,ZTF17aacpbmv_VLASS3.1,60000.0,VLASS3.1,-251.70900000000256,SN Ic
ZTF17aadlxmv,58869.569,ZTF17aadlxmv_VLASS1.2v2,58610.0,VLASS1.2v,-259.56900000000314,SN Ia
ZTF17aadlxmv,58869.569,ZTF17aadlxmv_VLASS2.2,59552.0,VLASS2.2,682.4309999999969,SN Ia
ZTF18aaaibml,58899.679,ZTF18aaaibml_VLASS1.1v2,58083.0,VLASS1.1v,-816.6790000000037,SN II
ZTF18aaaibml,58899.679,ZTF18aaaibml_VLASS2.1,59048.0,VLASS2.1,148.32099999999627,SN II
ZTF18aaaibml,58899.679,ZTF18aaaibml_VLASS3.1,59969.0,VLASS3.1,1069.3209999999965,SN II
ZTF18aaaonon,59693.649,ZTF18aaaonon_VLASS1.1v2,58032.0,VLASS1.1v,-1661.6489999999976,SN Ia
ZTF18aaaonon,59693.649,ZTF18aaaonon_VLASS2.1,59133.0,VLASS2.1,-560.6489999999976,SN Ia
ZTF18aaaonon,59693.649,ZTF18aaaonon_VLASS3.1,59973.0,VLASS3.1,279.3510000000024,SN Ia
ZTF18aaaqexr,58881.799,ZTF18aaaqexr_VLASS1.1v2,58054.0,VLASS1.1v,-827.7989999999991,SN Ia
ZTF18aaaqexr,58881.799,ZTF18aaaqexr_VLASS2.1,59133.0,VLASS2.1,251.20100000000093,SN Ia
ZTF18aaaqexr,58881.799,ZTF18aaaqexr_VLASS3.1,59961.0,VLASS3.1,1079.201000000001,SN Ia
ZTF18aabdajx,59627.749,ZTF18aabdajx_VLASS1.1v2,58077.0,VLASS1.1v,-1550.7490000000034,TDE
ZTF18aabdajx,59627.749,ZTF18aabdajx_VLASS2.1,59062.0,VLASS2.1,-565.7490000000034,TDE
ZTF18aabdajx,59627.749,ZTF18aabdajx_VLASS3.1,59979.0,VLASS3.1,351.25099999999657,TDE
ZTF18aabdgik,58417.879,ZTF18aabdgik_VLASS1.1v2,58121.0,VLASS1.1v,-296.8790000000008,SN Ia
ZTF18aabdgik,58417.879,ZTF18aabdgik_VLASS2.1,59051.0,VLASS2.1,633.1209999999992,SN Ia
ZTF18aabdgik,58417.879,ZTF18aabdgik_VLASS3.1,59969.0,VLASS3.1,1551.1209999999992,SN Ia
ZTF18aabkvpi,60006.729,ZTF18aabkvpi_VLASS1.1v2,58054.0,VLASS1.1v,-1952.7289999999991,TDE
ZTF18aabkvpi,60006.729,ZTF18aabkvpi_VLASS2.1,59133.0,VLASS2.1,-873.7289999999994,TDE
ZTF18aabkvpi,60006.729,ZTF18aabkvpi_VLASS3.1,59961.0,VLASS3.1,-45.72899999999936,TDE
ZTF18aabssth,58208.589,ZTF18aabssth_VLASS1.2v2,58593.0,VLASS1.2v,384.41100000000006,SN II
ZTF18aabssth,58208.589,ZTF18aabssth_VLASS2.2,59534.0,VLASS2.2,1325.411,SN II
ZTF18aabtxvd,58213.549,ZTF18aabtxvd_VLASS1.2v2,58638.0,VLASS1.2v,424.451000000001,TDE
ZTF18aabtxvd,58213.549,ZTF18aabtxvd_VLASS2.2,59563.0,VLASS2.2,1349.451000000001,TDE
ZTF18aabxlsv,58214.559,ZTF18aabxlsv_VLASS1.1v2,58083.0,VLASS1.1v,-131.5590000000011,SN Ib
ZTF18aabxlsv,58214.559,ZTF18aabxlsv_VLASS2.1,59048.0,VLASS2.1,833.4409999999989,SN Ib
ZTF18aabxlsv,58214.559,ZTF18aabxlsv_VLASS3.1,59969.0,VLASS3.1,1754.440999999999,SN Ib
ZTF18aaceepu,59839.889,ZTF18aaceepu_VLASS1.2v2,58641.0,VLASS1.2v,-1198.8890000000029,SN Ia
ZTF18aaceepu,59839.889,ZTF18aaceepu_VLASS2.2,59563.0,VLASS2.2,-276.88900000000285,SN Ia
ZTF18aacemcn,58828.889,ZTF18aacemcn_VLASS1.2v2,58641.0,VLASS1.2v,-187.88900000000285,SN II
ZTF18aacemcn,58828.889,ZTF18aacemcn_VLASS2.2,59563.0,VLASS2.2,734.1109999999971,SN II
ZTF18aacnlxz,59170.899,ZTF18aacnlxz_VLASS1.2v2,58607.0,VLASS1.2v,-563.8989999999976,SN II
ZTF18aacnlxz,59170.899,ZTF18aacnlxz_VLASS2.2,59529.0,VLASS2.2,358.1010000000024,SN II
ZTF18aadlaxo,59256.529,ZTF18aadlaxo_VLASS1.2v2,58547.0,VLASS1.2v,-709.5290000000023,SN Ia
ZTF18aadlaxo,59256.529,ZTF18aadlaxo_VLASS2.2,59531.0,VLASS2.2,274.47099999999773,SN Ia
ZTF18aadmssd,58494.639,ZTF18aadmssd_VLASS1.2v2,58600.0,VLASS1.2v,105.36099999999716,SN IIn
ZTF18aadmssd,58494.639,ZTF18aadmssd_VLASS2.2,59496.0,VLASS2.2,1001.3609999999971,SN IIn
ZTF18aadsuxd,59158.869,ZTF18aadsuxd_VLASS1.2v2,58608.0,VLASS1.2v,-550.8689999999988,SN II
ZTF18aadsuxd,59158.869,ZTF18aadsuxd_VLASS2.2,59551.0,VLASS2.2,392.1310000000012,SN II
ZTF18aadxnul,59459.849,ZTF18aadxnul_VLASS1.2v2,58600.0,VLASS1.2v,-859.849000000002,SN Ia
ZTF18aadxnul,59459.849,ZTF18aadxnul_VLASS2.2,59496.0,VLASS2.2,36.15099999999802,SN Ia
ZTF18aadzfso,58882.659,ZTF18aadzfso_VLASS1.2v2,58619.0,VLASS1.2v,-263.65899999999965,SN Ia
ZTF18aadzfso,58882.659,ZTF18aadzfso_VLASS2.2,59504.0,VLASS2.2,621.3410000000003,SN Ia
ZTF18aaegvyd,58628.589,ZTF18aaegvyd_VLASS1.2v2,58593.0,VLASS1.2v,-35.58899999999994,SN II
ZTF18aaegvyd,58628.589,ZTF18aaegvyd_VLASS2.2,59547.0,VLASS2.2,918.411,SN II
ZTF18aaeipng,59662.559,ZTF18aaeipng_VLASS1.2v2,58610.0,VLASS1.2v,-1052.559000000001,SN IIb
ZTF18aaeipng,59662.559,ZTF18aaeipng_VLASS2.2,59552.0,VLASS2.2,-110.5590000000011,SN IIb
ZTF18aaemivw,58413.919,ZTF18aaemivw_VLASS1.2v2,58606.0,VLASS1.2v,192.0809999999983,SN Ia
ZTF18aaemivw,58413.919,ZTF18aaemivw_VLASS2.2,59529.0,VLASS2.2,1115.0809999999983,SN Ia
ZTF18aaeqjmc,60251.839,ZTF18aaeqjmc_VLASS1.2v2,58587.0,VLASS1.2v,-1664.839,SN Ia
ZTF18aaeqjmc,60251.839,ZTF18aaeqjmc_VLASS2.2,59561.0,VLASS2.2,-690.8389999999999,SN Ia
ZTF18aaermez,58504.789,ZTF18aaermez_VLASS1.2v2,58599.0,VLASS1.2v,94.21099999999568,SN Ia
ZTF18aaermez,58504.789,ZTF18aaermez_VLASS2.2,59554.0,VLASS2.2,1049.2109999999957,SN Ia
