"id","mjd","mag","magerr","limiting_mag","filter","instrument_name","flux","fluxerr"
201116296,58102.247013,,,18.55,atlaso,ATLAS,,138.03842646028824
201116297,58102.255819,,,18.44,atlaso,ATLAS,,152.75660582380686
201116298,58104.205777,,,19.21,atlasc,ATLAS,,75.16228940182042
201116299,58104.214283,,,19.24,atlasc,ATLAS,,73.11390834834177
201116300,58110.223568,,,18.94,atlaso,ATLAS,,96.38290236239685
201116301,58110.232421,,,18.84,atlaso,ATLAS,,105.68175092136575
201116302,58112.216798,,,19.15,atlaso,ATLAS,,79.43282347242817
201116303,58112.225795,,,19.17,atlaso,ATLAS,,77.98301105232565
201116304,58112.23474,,,19.12,atlaso,ATLAS,,81.65823713585905
201116305,58114.199645,,,16.66,atlaso,ATLAS,,787.0457896950977
201116306,58114.200102,,,16.5,atlaso,ATLAS,,912.0108393559087
201116307,58114.201999,,,16.04,atlaso,ATLAS,,1393.1568029453035
201116308,58116.196083,,,17.15,atlaso,ATLAS,,501.18723362727246
201116309,58116.199891,,,17.86,atlaso,ATLAS,,260.6153549998895
201116310,58116.20597,,,18.47,atlaso,ATLAS,,148.59356422870076
201116311,58116.214356,,,18.42,atlaso,ATLAS,,155.59656316050703
201116312,58180.641521,,,16.87,atlaso,ATLAS,,648.6344335482374
201116313,58180.649981,,,16.84,atlaso,ATLAS,,666.8067692136219
201116314,58180.658011,,,16.84,atlaso,ATLAS,,666.8067692136219
201116315,58206.612519,,,18.49,atlaso,ATLAS,,145.8814260275349
201116316,58206.621096,,,18.59,atlaso,ATLAS,,133.04544179780902
201116317,58206.629243,,,18.78,atlaso,ATLAS,,111.68632477805589
201116318,58206.630157,,,18.76,atlaso,ATLAS,,113.76272858234275
201116319,58206.638715,,,18.79,atlaso,ATLAS,,110.66237839776664
201116320,58208.520081,,,18.04,atlaso,ATLAS,,220.80047330188992
201116321,58208.526235,,,18.09,atlaso,ATLAS,,210.86281499332864
201116322,58208.53226,,,18.17,atlaso,ATLAS,,195.8844673505985
201116323,58208.538301,,,18.17,atlaso,ATLAS,,195.8844673505985
201116324,58214.644147,,,17.47,atlaso,ATLAS,,373.2501577957206
201116325,58220.632473,,,19.16,atlaso,ATLAS,,78.70457896950977
201116326,58220.634298,,,19.08,atlaso,ATLAS,,84.72274141405967
201116327,58220.641331,,,17.77,atlaso,ATLAS,,283.1391995799379
201116328,58220.643196,,,17.37,atlaso,ATLAS,,409.2606597300101
201116329,58232.609152,,,19.36,atlaso,ATLAS,,65.46361740672747
201116330,58232.618223,,,19.39,atlaso,ATLAS,,63.67955209079149
201116331,58232.62731,,,19.11,atlaso,ATLAS,,82.41381150130017
201116332,58232.636384,,,17.51,atlaso,ATLAS,,359.7493351557416
201116333,58234.593631,,,18.98,atlaso,ATLAS,,92.89663867799348
201116334,58234.6021,,,17.26,atlaso,ATLAS,,452.8975799036195
201116335,58234.610588,,,16.89,atlaso,ATLAS,,636.7955209079149
201116336,58234.619736,,,16.63,atlaso,ATLAS,,809.0958991783822
201116337,58244.592517,,,16.96,atlaso,ATLAS,,597.035286583836
201116338,58244.601584,,,15.94,atlaso,ATLAS,,1527.5660582380717
201116339,58244.610652,,,13.96,atlaso,ATLAS,,9462.37161365791
201116340,58244.619565,,,14.74,atlaso,ATLAS,,4613.17574560379
201116341,58246.602072,,,18.93,atlaso,ATLAS,,97.2747223776964
201116342,58246.611806,,,18.76,atlaso,ATLAS,,113.76272858234275
201116344,58248.590382,,,19.22,atlaso,ATLAS,,74.47319739059888
201116345,58248.59256,,,18.62,atlaso,ATLAS,,129.41958414499837
201116346,58248.599806,,,17.88,atlaso,ATLAS,,255.85858869056452
201116347,58248.601632,,,18.25,atlaso,ATLAS,,181.97008586099807
201116348,58248.608883,,,17.58,atlaso,ATLAS,,337.2873086588692
201116349,58248.617858,,,18.77,atlaso,ATLAS,,112.71974561755094
201116350,58248.619699,,,18.25,atlaso,ATLAS,,181.97008586099807
201116351,58250.581077,,,18.96,atlaso,ATLAS,,94.6237161365791
201116352,58250.589435,,,19.04,atlaso,ATLAS,,87.90225168308842
201116353,58250.597952,,,19.09,atlaso,ATLAS,,83.94599865193965
201116354,58250.606393,,,19.01,atlaso,ATLAS,,90.3649473722299
201116355,58256.579525,,,19.67,atlasc,ATLAS,,49.20395356814496
201116356,58256.590633,,,19.72,atlasc,ATLAS,,46.98941086052154
201116357,58256.601176,,,19.67,atlasc,ATLAS,,49.20395356814496
201116358,58256.612013,,,19.56,atlasc,ATLAS,,54.450265284242114
201116359,58262.566545,,,19.24,atlaso,ATLAS,,73.11390834834177
201116360,58262.577063,,,19.27,atlaso,ATLAS,,71.12135136533284
201116361,58262.587134,,,19.34,atlaso,ATLAS,,66.68067692136215
201116362,58264.556901,,,17.81,atlaso,ATLAS,,272.89777828080406
201116363,58264.567251,,,18.79,atlaso,ATLAS,,110.66237839776664
201116364,58264.578174,,,18.19,atlaso,ATLAS,,192.30917289101535
201116365,58264.589091,,,15.41,atlaso,ATLAS,,2488.857318282388
201116366,58266.547003,,,18.55,atlaso,ATLAS,,138.03842646028824
201116367,58266.555386,,,18.56,atlaso,ATLAS,,136.77288255958496
201116368,58266.563271,,,18.52,atlaso,ATLAS,,141.90575216890912
201116369,58266.571582,,,18.56,atlaso,ATLAS,,136.77288255958496
201116370,58270.543783,,,17.69,atlaso,ATLAS,,304.78949896279767
201116371,58270.566132,,,14.89,atlaso,ATLAS,,4017.908108489392
201116372,58270.577171,,,16.36,atlaso,ATLAS,,1037.5284158180127
201116373,58272.562336,,,19.14,atlaso,ATLAS,,80.16780633876778
201116374,58272.57347,,,17.05,atlaso,ATLAS,,549.5408738576238
201116375,58272.5849,,,19.01,atlaso,ATLAS,,90.3649473722299
201116376,58274.541118,,,18.9,atlaso,ATLAS,,100
201116377,58274.553179,,,18.86,atlaso,ATLAS,,103.75284158180116
201116378,58274.564872,,,18.91,atlaso,ATLAS,,99.08319448927665
201116379,58274.576224,,,18.86,atlaso,ATLAS,,103.75284158180116
201116380,58278.534777,,,19.14,atlaso,ATLAS,,80.16780633876778
201116381,58278.54495,,,18.86,atlaso,ATLAS,,103.75284158180116
201116382,58278.556417,,,19.06,atlaso,ATLAS,,86.29785477669702
201116383,58278.567752,,,18.89,atlaso,ATLAS,,100.92528860766824
201116384,58280.542938,,,18.34,atlasc,ATLAS,,167.49428760264365
201116385,58280.552771,,,16.76,atlasc,ATLAS,,717.7942912713601
201116386,58280.563072,,,17.22,atlasc,ATLAS,,469.8941086052156
201116387,58280.574365,,,17.52,atlasc,ATLAS,,356.4511334262439
201116388,58282.547081,,,19.38,atlaso,ATLAS,,64.26877173170195
201116389,58282.55691,,,19.39,atlaso,ATLAS,,63.67955209079149
201116390,58282.566722,,,19.34,atlaso,ATLAS,,66.68067692136215
201116391,58282.576058,,,19.34,atlaso,ATLAS,,66.68067692136215
201116392,58284.536494,,,19.74,atlasc,ATLAS,,46.13175745603795
201116393,58284.546376,,,19.75,atlasc,ATLAS,,45.708818961487445
201116394,58284.556171,,,19.75,atlasc,ATLAS,,45.708818961487445
201116395,58284.566214,,,19.72,atlasc,ATLAS,,46.98941086052154
201116396,58286.506574,,,19.23,atlaso,ATLAS,,73.79042301291
201116397,58286.517351,,,19.03,atlaso,ATLAS,,88.7156012037959
201116398,58286.518272,,,19.04,atlaso,ATLAS,,87.90225168308842
201116399,58286.531735,,,19.21,atlaso,ATLAS,,75.16228940182042
201116400,58286.5341,,,19.2,atlaso,ATLAS,,75.85775750291836
201116401,58286.542009,,,19.12,atlaso,ATLAS,,81.65823713585905
201116402,58286.544634,,,19.21,atlaso,ATLAS,,75.16228940182042
201116403,58286.552805,,,19.16,atlaso,ATLAS,,78.70457896950977
201116404,58288.53514,,,19.55,atlaso,ATLAS,,54.95408738576237
201116405,58288.544976,,,19.56,atlaso,ATLAS,,54.450265284242114
201116406,58288.54729,,,19.57,atlaso,ATLAS,,53.951062251512674
201116407,58288.554754,,,19.6,atlaso,ATLAS,,52.48074602497712
201116408,58288.557126,,,19.64,atlaso,ATLAS,,50.58246620031132
201116409,58288.564555,,,19.59,atlaso,ATLAS,,52.96634438916573
201116410,58288.566896,,,19.64,atlaso,ATLAS,,50.58246620031132
201116411,58288.574317,,,19.62,atlaso,ATLAS,,51.52286445817554
201116412,58290.506077,,,19.3,atlaso,ATLAS,,69.18309709189352
201116413,58290.506535,,,19.27,atlaso,ATLAS,,71.12135136533284
201116414,58290.515705,,,19.26,atlaso,ATLAS,,71.779429127136
201116415,58290.517548,,,19.25,atlaso,ATLAS,,72.44359600749891
201116416,58290.519914,,,19.25,atlaso,ATLAS,,72.44359600749891
201116417,58290.528693,,,19.24,atlaso,ATLAS,,73.11390834834177
201116418,58290.531329,,,19.17,atlaso,ATLAS,,77.98301105232565
201116419,58290.540141,,,19.16,atlaso,ATLAS,,78.70457896950977
201116420,58292.517895,,,19.46,atlaso,ATLAS,,59.70352865838357
201116421,58292.532657,,,19.59,atlaso,ATLAS,,52.96634438916573
201116422,58292.542493,,,19.66,atlaso,ATLAS,,49.65923214503355
201116423,58292.552989,,,19.61,atlaso,ATLAS,,51.99959965335157
201116424,58294.500395,,,18.82,atlaso,ATLAS,,107.64652136298338
201116425,58294.511083,,,18.83,atlaso,ATLAS,,106.6596121230258
201116426,58294.521867,,,18.81,atlaso,ATLAS,,108.64256236170655
201116427,58294.533217,,,18.84,atlaso,ATLAS,,105.68175092136575
201116428,58296.565422,,,18.67,atlaso,ATLAS,,123.59474334445069
201116429,58296.576913,,,18.69,atlaso,ATLAS,,121.3388850464975
201116430,58296.588697,,,18.68,atlaso,ATLAS,,122.46161992650477
201116431,58296.599727,,,18.63,atlaso,ATLAS,,128.23305826560218
201116432,58298.456566,,,18.57,atlaso,ATLAS,,135.51894123510337
201116433,58298.464893,,,18.56,atlaso,ATLAS,,136.77288255958496
201116434,58298.465815,,,18.62,atlaso,ATLAS,,129.41958414499837
201116435,58298.467829,,,18.65,atlaso,ATLAS,,125.89254117941675
201116436,58298.476153,,,18.61,atlaso,ATLAS,,130.61708881318404
201116437,58298.480929,,,18.66,atlaso,ATLAS,,124.7383514242942
