"id","mjd","mag","magerr","limiting_mag","filter","instrument_name","flux","fluxerr"
207486662,58438.422649,,,19.26,atlaso,ATLAS,,71.779429127136
207486663,58438.434305,,,19.16,atlaso,ATLAS,,78.70457896950977
207486664,58438.435263,,,19.14,atlaso,ATLAS,,80.16780633876778
207486665,58438.438955,,,19.16,atlaso,ATLAS,,78.70457896950977
207486666,58442.420667,,,18.7,atlaso,ATLAS,,120.22644346174118
207486667,58442.431849,,,18.61,atlaso,ATLAS,,130.61708881318404
207486668,58442.436964,,,18.65,atlaso,ATLAS,,125.89254117941675
207486669,58442.45185,,,18.62,atlaso,ATLAS,,129.41958414499837
207486670,58446.384019,,,18.42,atlaso,ATLAS,,155.59656316050703
207486671,58446.391467,,,18.46,atlaso,ATLAS,,149.9684835502371
207486672,58446.404446,,,18.38,atlaso,ATLAS,,161.43585568264854
207486673,58446.408612,,,18.4,atlaso,ATLAS,,158.48931924611142
207486674,58450.400054,,,19,atlaso,ATLAS,,91.20108393559087
207486675,58450.405721,,,19.04,atlaso,ATLAS,,87.90225168308842
207486676,58450.413911,,,19.08,atlaso,ATLAS,,84.72274141405967
207486677,58450.42139,,,19.11,atlaso,ATLAS,,82.41381150130017
207486678,58452.409831,,,19.7,atlaso,ATLAS,,47.863009232263806
207486679,58452.416994,,,19.76,atlaso,ATLAS,,45.28975799036195
207486680,58452.43055,,,19.7,atlaso,ATLAS,,47.863009232263806
207486681,58452.434851,,,19.66,atlaso,ATLAS,,49.65923214503355
207486682,58454.435082,,,19.25,atlaso,ATLAS,,72.44359600749891
207486683,58454.4389,,,19.24,atlaso,ATLAS,,73.11390834834177
207486685,58458.417995,,,19.45,atlaso,ATLAS,,60.255958607435744
207486686,58458.429966,,,19.32,atlaso,ATLAS,,67.92036326171836
207486687,58458.436235,,,19.33,atlaso,ATLAS,,67.29766562843182
207486688,58458.448676,,,19.28,atlaso,ATLAS,,70.46930689671453
207486693,58462.402068,,,19.3,atlaso,ATLAS,,69.18309709189352
207486694,58462.41875,,,19.27,atlaso,ATLAS,,71.12135136533284
207486695,58462.419212,,,19.26,atlaso,ATLAS,,71.779429127136
207486696,58462.422591,,,19.25,atlaso,ATLAS,,72.44359600749891
207486697,58466.409106,,,19.26,atlaso,ATLAS,,71.779429127136
207486698,58466.417177,,,19.27,atlaso,ATLAS,,71.12135136533284
207486699,58466.431441,,,19.23,atlaso,ATLAS,,73.79042301291
207486700,58466.441622,,,19.23,atlaso,ATLAS,,73.79042301291
207486701,58470.397212,,,18.66,atlaso,ATLAS,,124.7383514242942
207486702,58470.406192,,,18.65,atlaso,ATLAS,,125.89254117941675
207486703,58470.418628,,,17.96,atlaso,ATLAS,,237.68402866248712
207486704,58470.424403,,,17.66,atlaso,ATLAS,,313.32857243155826
207486705,58472.389818,,,18.56,atlaso,ATLAS,,136.77288255958496
207486706,58472.39119,,,18.52,atlaso,ATLAS,,141.90575216890912
207486707,58472.397432,,,18.35,atlaso,ATLAS,,165.95869074375562
207486708,58472.398348,,,18.36,atlaso,ATLAS,,164.43717232149308
207486709,58472.399262,,,18.5,atlaso,ATLAS,,144.54397707459265
207486710,58472.408892,,,18.52,atlaso,ATLAS,,141.90575216890912
207486711,58472.409806,,,18.4,atlaso,ATLAS,,158.48931924611142
207486712,58472.410264,,,18.46,atlaso,ATLAS,,149.9684835502371
207486713,58472.414192,,,18.44,atlaso,ATLAS,,152.75660582380686
207486714,58472.41465,,,18.36,atlaso,ATLAS,,164.43717232149308
207486715,58472.415577,,,18.49,atlaso,ATLAS,,145.8814260275349
207486716,58472.429854,,,18.34,atlaso,ATLAS,,167.49428760264365
207486717,58474.473524,,,17.75,atlaso,ATLAS,,288.4031503126603
207486718,58474.482666,,,17.65,atlaso,ATLAS,,316.22776601683796
207486719,58474.492174,,,17.6,atlaso,ATLAS,,331.13112148259046
207486720,58474.501923,,,17.57,atlaso,ATLAS,,340.40818970100054
207486721,58478.389329,,,18.91,atlaso,ATLAS,,99.08319448927665
207486722,58478.402766,,,18.86,atlaso,ATLAS,,103.75284158180116
207486723,58478.412883,,,18.81,atlaso,ATLAS,,108.64256236170655
207486724,58478.423689,,,18.86,atlaso,ATLAS,,103.75284158180116
207486725,58480.39006,,,19.51,atlaso,ATLAS,,57.016427228074605
207486726,58480.39953,,,19.42,atlaso,ATLAS,,61.94410750767799
207486727,58480.41099,,,19.36,atlaso,ATLAS,,65.46361740672747
207486728,58480.416309,,,19.36,atlaso,ATLAS,,65.46361740672747
207486729,58486.354504,,,19.32,atlaso,ATLAS,,67.92036326171836
207486730,58486.364635,,,19.32,atlaso,ATLAS,,67.92036326171836
207486731,58486.365556,,,19.31,atlaso,ATLAS,,68.54882264526617
207486732,58486.36694,,,19.32,atlaso,ATLAS,,67.92036326171836
207486733,58486.371301,,,19.31,atlaso,ATLAS,,68.54882264526617
207486734,58486.371762,,,19.33,atlaso,ATLAS,,67.29766562843182
207486735,58486.372684,,,19.3,atlaso,ATLAS,,69.18309709189352
207486736,58486.373603,,,19.34,atlaso,ATLAS,,66.68067692136215
207486737,58486.386035,,,19.26,atlaso,ATLAS,,71.779429127136
207486738,58486.386497,,,19.24,atlaso,ATLAS,,73.11390834834177
