"id","mjd","mag","magerr","limiting_mag","filter","instrument_name","flux","fluxerr"
198920866,58627.503048,,,19.28,atlaso,ATLAS,,70.46930689671453
198920867,58627.505901,,,19.28,atlaso,ATLAS,,70.46930689671453
198920868,58627.519625,,,19.32,atlaso,ATLAS,,67.92036326171836
198920869,58627.53521,,,19.3,atlaso,ATLAS,,69.18309709189352
198920870,58629.497025,,,18.57,atlaso,ATLAS,,135.51894123510337
198920871,58629.506574,,,18.38,atlaso,ATLAS,,161.43585568264854
198920872,58629.509349,,,18.35,atlaso,ATLAS,,165.95869074375562
198920873,58629.519074,,,18.78,atlaso,ATLAS,,111.68632477805589
198920874,58631.554656,,,19.61,atlaso,ATLAS,,51.99959965335157
198920875,58631.557401,,,19.6,atlaso,ATLAS,,52.48074602497712
198920876,58631.571378,,,19.63,atlaso,ATLAS,,51.05049999754062
198920877,58631.581958,,,19.68,atlaso,ATLAS,,48.7528490103386
198920878,58633.517483,,,18.86,atlaso,ATLAS,,103.75284158180116
198920879,58633.520241,,,17.16,atlaso,ATLAS,,496.59232145033576
198920880,58633.525312,,,18.52,atlaso,ATLAS,,141.90575216890912
198920881,58633.540108,,,18.97,atlaso,ATLAS,,93.75620069258802
198920882,58635.514449,,,19.73,atlasc,ATLAS,,46.55860935229582
198920883,58635.524154,,,19.74,atlasc,ATLAS,,46.13175745603795
198920884,58635.545228,,,19.73,atlasc,ATLAS,,46.55860935229582
198920885,58635.553908,,,19.78,atlasc,ATLAS,,44.46312674691077
198920886,58637.506059,,,19.28,atlaso,ATLAS,,70.46930689671453
198920887,58637.509286,,,19.28,atlaso,ATLAS,,70.46930689671453
198920888,58637.528158,,,19.3,atlaso,ATLAS,,69.18309709189352
198920889,58637.537719,,,18.98,atlaso,ATLAS,,92.89663867799348
198920890,58639.460766,,,17,atlasc,ATLAS,,575.4399373371566
198920891,58639.471929,,,17.44,atlasc,ATLAS,,383.70724549227805
198920892,58639.485449,,,18.55,atlasc,ATLAS,,138.03842646028824
198920893,58639.488234,,,18.78,atlasc,ATLAS,,111.68632477805589
198920894,58641.486414,,,19.21,atlaso,ATLAS,,75.16228940182042
198920895,58641.499073,,,19.25,atlaso,ATLAS,,72.44359600749891
198920896,58641.510669,,,19.29,atlaso,ATLAS,,69.82324040771711
198920897,58641.520416,,,19.32,atlaso,ATLAS,,67.92036326171836
198920898,58643.489018,,,19.67,atlaso,ATLAS,,49.20395356814496
198920899,58643.510396,,,19.57,atlaso,ATLAS,,53.951062251512674
198920900,58643.516717,,,19.56,atlaso,ATLAS,,54.450265284242114
198920901,58643.52395,,,19.57,atlaso,ATLAS,,53.951062251512674
198920902,58645.481253,,,19.2,atlaso,ATLAS,,75.85775750291836
198920903,58645.486163,,,19.22,atlaso,ATLAS,,74.47319739059888
198920904,58645.498486,,,19.28,atlaso,ATLAS,,70.46930689671453
198920905,58645.506967,,,19.24,atlaso,ATLAS,,73.11390834834177
198920906,58647.467196,,,19.21,atlaso,ATLAS,,75.16228940182042
198920907,58647.470206,,,19.2,atlaso,ATLAS,,75.85775750291836
198920908,58647.477018,,,19.26,atlaso,ATLAS,,71.779429127136
198920909,58647.488325,,,19.23,atlaso,ATLAS,,73.79042301291
198920910,58649.538018,,,18.93,atlaso,ATLAS,,97.2747223776964
198920911,58649.55043,,,18.89,atlaso,ATLAS,,100.92528860766824
198920912,58649.5634,,,18.95,atlaso,ATLAS,,95.49925860214354
198920913,58649.570118,,,18.95,atlaso,ATLAS,,95.49925860214354
198920914,58653.476492,,,18.58,atlaso,ATLAS,,134.2764961137864
198920915,58655.456597,,,16.01,atlaso,ATLAS,,1432.1878992735394
198920916,58655.469866,,,15.55,atlaso,ATLAS,,2187.7616239495496
198920917,58663.470642,,,19.87,atlasc,ATLAS,,40.92606597300101
198920918,58663.479063,,,19.87,atlasc,ATLAS,,40.92606597300101
198920919,58663.490947,,,19.83,atlasc,ATLAS,,42.4619563946313
198920920,58663.503347,,,19.87,atlasc,ATLAS,,40.92606597300101
198920921,58665.564771,,,19.43,atlaso,ATLAS,,61.376200516479365
198920922,58665.579906,,,19.31,atlaso,ATLAS,,68.54882264526617
198920923,58665.586527,,,19.31,atlaso,ATLAS,,68.54882264526617
198920924,58665.591937,,,19.36,atlaso,ATLAS,,65.46361740672747
198920925,58667.402191,,,19.73,atlasc,ATLAS,,46.55860935229582
198920926,58667.413202,,,19.73,atlasc,ATLAS,,46.55860935229582
198920927,58667.41596,,,19.7,atlasc,ATLAS,,47.863009232263806
198920928,58671.468969,,,19.37,atlaso,ATLAS,,64.86344335482372
198920929,58671.480187,,,19.35,atlaso,ATLAS,,66.06934480075944
198920930,58671.483262,,,19.37,atlaso,ATLAS,,64.86344335482372
198920931,58671.48863,,,19.36,atlaso,ATLAS,,65.46361740672747
198920932,58674.48684,,,19.37,atlaso,ATLAS,,64.86344335482372
198920933,58674.49012,,,19.35,atlaso,ATLAS,,66.06934480075944
198920934,58674.502422,,,19.28,atlaso,ATLAS,,70.46930689671453
198920935,58674.511898,,,18.65,atlaso,ATLAS,,125.89254117941675
617737271,58677.3099421002,,,20.327699661254883,ztfr,ZTF,,26.848506701502046
617737272,58677.33162039984,,,19.93899917602539,ztfg,ZTF,,38.40611071930013
617737352,58677.367037000135,,,20.355300903320312,ztfr,ZTF,,26.17457499759458
617737353,58677.36748840008,,,20.33880043029785,ztfr,ZTF,,26.57540109209208
617737354,58677.3782060002,,,20.375600814819336,ztfr,ZTF,,25.689737940245166
198920936,58677.380461,,,18.87,atlaso,ATLAS,,102.80162981264715
