"id","mjd","mag","magerr","limiting_mag","filter","instrument_name","flux","fluxerr"
203192539,58768.622899,,,14.89,atlaso,ATLAS,,4017.908108489392
203192540,58768.626355,,,15.16,atlaso,ATLAS,,3133.2857243155822
203192541,58768.633855,,,14.64,atlaso,ATLAS,,5058.246620031132
203192542,58768.638727,,,14.99,atlaso,ATLAS,,3664.3757464783293
203192543,58790.556782,,,19.22,atlaso,ATLAS,,74.47319739059888
203192544,58790.55973,,,19.26,atlaso,ATLAS,,71.779429127136
203192545,58790.561618,,,19.31,atlaso,ATLAS,,68.54882264526617
203192546,58790.565814,,,19.25,atlaso,ATLAS,,72.44359600749891
203192547,58790.57566,,,19.4,atlaso,ATLAS,,63.09573444801933
203192548,58792.610176,,,19.46,atlasc,ATLAS,,59.70352865838357
203192549,58792.613088,,,19.39,atlasc,ATLAS,,63.67955209079149
203192550,58792.619854,,,19.48,atlasc,ATLAS,,58.61381645140278
203192551,58792.630218,,,19.12,atlasc,ATLAS,,81.65823713585905
203192552,58796.613785,,,19.62,atlasc,ATLAS,,51.52286445817554
203192553,58796.617524,,,19.62,atlasc,ATLAS,,51.52286445817554
203192554,58796.623559,,,19.63,atlasc,ATLAS,,51.05049999754062
203192555,58796.633562,,,19.59,atlasc,ATLAS,,52.96634438916573
203192556,58796.654922,,,17.9,atlasc,ATLAS,,251.18864315095823
203192557,58798.567625,,,18.75,atlaso,ATLAS,,114.81536214968817
203192558,58798.570882,,,18.76,atlaso,ATLAS,,113.76272858234275
203192559,58798.576282,,,18.92,atlaso,ATLAS,,98.17479430199819
203192560,58798.586741,,,18.9,atlaso,ATLAS,,100
203192561,58800.51604,,,18.43,atlaso,ATLAS,,154.17004529495583
203192562,58800.519308,,,18.46,atlaso,ATLAS,,149.9684835502371
203192563,58800.524947,,,18.51,atlaso,ATLAS,,143.21878992735395
203192564,58800.53614,,,18.57,atlaso,ATLAS,,135.51894123510337
203192565,58802.592658,,,19.03,atlaso,ATLAS,,88.7156012037959
203192566,58802.595581,,,19.03,atlaso,ATLAS,,88.7156012037959
203192567,58802.602266,,,18.96,atlaso,ATLAS,,94.6237161365791
203192568,58802.612729,,,19.07,atlaso,ATLAS,,85.50667128846823
203192569,58802.616931,,,19.04,atlaso,ATLAS,,87.90225168308842
203192570,58802.620201,,,19.01,atlaso,ATLAS,,90.3649473722299
203192571,58802.626502,,,19,atlaso,ATLAS,,91.20108393559087
203192572,58802.638664,,,19.09,atlaso,ATLAS,,83.94599865193965
203192573,58802.655828,,,17.42,atlaso,ATLAS,,390.8408957924009
203192574,58802.656289,,,17.42,atlaso,ATLAS,,390.8408957924009
203192575,58804.634045,,,18.99,atlaso,ATLAS,,92.04495717531717
203192576,58804.637267,,,18.93,atlaso,ATLAS,,97.2747223776964
203192577,58804.64096,,,18.93,atlaso,ATLAS,,97.2747223776964
203192578,58804.64657,,,18.97,atlaso,ATLAS,,93.75620069258802
203192579,58814.573031,,,19.32,atlaso,ATLAS,,67.92036326171836
203192580,58814.576811,,,19.32,atlaso,ATLAS,,67.92036326171836
203192581,58814.58418,,,19.44,atlaso,ATLAS,,60.81350012787164
203192582,58814.593971,,,19.47,atlaso,ATLAS,,59.1561634175474
203192583,58816.542229,,,19.6,atlasc,ATLAS,,52.48074602497712
203192584,58816.54546,,,19.62,atlasc,ATLAS,,51.52286445817554
203192585,58816.551496,,,19.64,atlasc,ATLAS,,50.58246620031132
203192586,58816.561329,19.521,0.161,19.67,atlasc,ATLAS,56.441688817514134,8.369539359373322
203192587,58818.618381,,,14.92,atlaso,ATLAS,,3908.408957924017
203192588,58818.64555,,,16.28,atlaso,ATLAS,,1116.8632477805588
203192589,58822.543376,18.415,0.067,19.7,atlaso,ATLAS,156.3147642640954,9.646071633051506
203192590,58822.546623,,,18.39,atlaso,ATLAS,,159.95580286146662
203192591,58822.552772,,,14.6,atlaso,ATLAS,,5248.074602497723
203192592,58822.663967,,,18.23,atlaso,ATLAS,,185.35316234148087
