"id","mjd","mag","magerr","limiting_mag","filter","instrument_name","flux","fluxerr"
215717962,58797.624671,,,18.9,atlaso,ATLAS,,100
215717963,58797.627895,,,18.98,atlaso,ATLAS,,92.89663867799348
215717964,58797.634425,,,19.12,atlaso,ATLAS,,81.65823713585905
215717965,58797.640918,,,19.05,atlaso,ATLAS,,87.09635899560791
215717966,58797.651282,,,17.93,atlaso,ATLAS,,244.34305526939687
215717967,58799.60964,,,18.07,atlaso,ATLAS,,214.78304741305308
215717968,58799.612501,,,18.13,atlaso,ATLAS,,203.23570109362208
215717969,58799.619547,,,18.13,atlaso,ATLAS,,203.23570109362208
215717970,58799.630085,,,18.29,atlaso,ATLAS,,175.38805018417602
215717971,58813.592791,,,19.33,atlaso,ATLAS,,67.29766562843182
215717972,58813.596038,,,19.36,atlaso,ATLAS,,65.46361740672747
215717973,58813.60157,,,19.27,atlaso,ATLAS,,71.12135136533284
215717974,58813.612874,,,19.42,atlaso,ATLAS,,61.94410750767799
215717975,58813.657545,,,18.01,atlaso,ATLAS,,226.98648518838166
215717976,58815.606728,,,17.98,atlasc,ATLAS,,233.34580622809997
215717977,58815.60995,,,18.65,atlasc,ATLAS,,125.89254117941675
215717978,58815.617446,,,18.73,atlasc,ATLAS,,116.94993910198687
215717979,58815.62842,,,19.36,atlasc,ATLAS,,65.46361740672747
215717980,58815.663357,,,16.95,atlasc,ATLAS,,602.5595860743575
215717981,58821.565651,,,19.3,atlaso,ATLAS,,69.18309709189352
215717982,58821.569455,,,19.14,atlaso,ATLAS,,80.16780633876778
215717983,58821.574685,,,19.41,atlaso,ATLAS,,62.51726927756849
215717984,58821.585148,,,19.44,atlaso,ATLAS,,60.81350012787164
215717985,58821.661441,,,17.75,atlaso,ATLAS,,288.4031503126603
215717986,58825.623925,,,19.7,atlaso,ATLAS,,47.863009232263806
215717987,58825.62672,,,19.64,atlaso,ATLAS,,50.58246620031132
215717988,58825.627181,,,19.67,atlaso,ATLAS,,49.20395356814496
215717989,58825.632434,,,19.65,atlaso,ATLAS,,50.11872336272725
215717990,58825.642907,,,19.64,atlaso,ATLAS,,50.58246620031132
215717991,58825.647142,,,19.57,atlaso,ATLAS,,53.951062251512674
215717992,58827.620112,,,19.06,atlaso,ATLAS,,86.29785477669702
215717993,58827.623103,,,19.05,atlaso,ATLAS,,87.09635899560791
215717994,58827.628973,,,19.17,atlaso,ATLAS,,77.98301105232565
215717995,58827.639459,,,19.38,atlaso,ATLAS,,64.26877173170195
215717996,58829.553975,,,18.68,atlaso,ATLAS,,122.46161992650477
215717997,58829.556297,,,18.51,atlaso,ATLAS,,143.21878992735395
215717998,58829.557219,,,18.64,atlaso,ATLAS,,127.05741052085394
215717999,58829.563453,,,18.7,atlaso,ATLAS,,120.22644346174118
215718000,58829.572401,,,18.64,atlaso,ATLAS,,127.05741052085394
215718001,58829.573322,,,18.66,atlaso,ATLAS,,124.7383514242942
215718002,58833.600518,,,19.19,atlaso,ATLAS,,76.55966069112546
215718003,58833.606688,,,19.16,atlaso,ATLAS,,78.70457896950977
215718004,58833.610945,,,19.21,atlaso,ATLAS,,75.16228940182042
215718005,58833.622469,,,19.22,atlaso,ATLAS,,74.47319739059888
215718006,58837.558555,,,19.18,atlaso,ATLAS,,77.26805850957018
215718007,58837.561835,,,18.87,atlaso,ATLAS,,102.80162981264715
215718008,58837.568503,,,19.26,atlaso,ATLAS,,71.779429127136
215718009,58837.579811,,,18.87,atlaso,ATLAS,,102.80162981264715
215718010,58841.563531,19.302,0.16,19.67,atlaso,ATLAS,69.05577442196831,10.176434993227762
215718011,58841.56713,19.623,0.185,19.7,atlaso,ATLAS,51.380698023234345,8.754823770858676
215718012,58841.588022,,,19.64,atlaso,ATLAS,,50.58246620031132
215718013,58841.594761,19.657,0.184,19.75,atlaso,ATLAS,49.79663541644851,8.439048892790384
215718014,58845.558909,18.848,0.094,19.75,atlaso,ATLAS,104.90592077764447,9.082460831538137
215718015,58845.562532,18.887,0.098,19.74,atlaso,ATLAS,101.20454110965406,9.134857053933787
215718016,58845.575747,18.843,0.098,19.75,atlaso,ATLAS,105.39014450691596,9.51265520705243
215718017,58845.588002,18.708,0.072,19.79,atlaso,ATLAS,119.34383792107955,7.914221053567929
215718018,58865.53137,,,14.66,atlaso,ATLAS,,4965.9232145033575
215718019,58865.534605,,,15.23,atlaso,ATLAS,,2937.6496519615275
215718020,58865.546592,,,15.91,atlaso,ATLAS,,1570.3628043335516
215718021,58865.560004,,,16.55,atlaso,ATLAS,,870.9635899560797
215718022,58865.672844,,,14.07,atlaso,ATLAS,,8550.667128846822
215718023,58867.573009,18.589,0.084,19.63,atlaso,ATLAS,133.1680376269981,10.302792806987389
215718024,58867.576326,18.477,0.099,19.59,atlaso,ATLAS,147.6386277753861,13.462039937241752
215718025,58867.596959,18.673,0.103,19.6,atlaso,ATLAS,123.25370982033455,11.692648781406866
215718026,58867.602476,18.566,0.09,19.61,atlaso,ATLAS,136.01913228556703,11.275042549058345
215718027,58869.470883,18.688,0.082,19.58,atlaso,ATLAS,121.56260552373797,9.180990381698772
215718028,58869.476091,18.721,0.082,19.58,atlaso,ATLAS,117.92340206530012,8.906140300911071
215718029,58869.493138,18.452,0.07399999999999998,19.67,atlaso,ATLAS,151.07757319249907,10.29692145039545
215718030,58869.499167,18.755,0.07899999999999999,19.61,atlaso,ATLAS,114.28783347897712,8.315775789065203
215718031,58871.491493,18.968,0.11000000000000001,19.79,atlasc,ATLAS,93.9290651618398,9.516305270582825
215718032,58871.49494,19.299,0.147,19.73,atlasc,ATLAS,69.2468464322636,9.375469272308553
215718033,58871.508813,19.188,0.145,19.78,atlasc,ATLAS,76.70081876935099,10.24338939128724
215718034,58871.519662,19.036,0.103,19.8,atlasc,ATLAS,88.22669282177146,8.369758069057722
215718035,58873.569114,18.83,0.115,19.72,atlaso,ATLAS,106.6596121230258,11.297270313354288
215718036,58873.573052,19.158,0.156,19.66,atlaso,ATLAS,78.84969177453755,11.329226991714865
215718037,58873.578817,18.952,0.11400000000000002,19.79,atlaso,ATLAS,95.32350439205122,10.008765898264087
215718038,58873.591385,18.88,0.10499999999999998,19.63,atlaso,ATLAS,101.85913880541169,9.850652053139196
215718039,58875.59515,19.369,0.137,19.85,atlasc,ATLAS,64.92321231432125,8.19211890336055
215718040,58875.598538,19.539,0.13,19.82,atlasc,ATLAS,55.51367774352097,6.646898275134351
215718041,58875.604696,19.693,0.175,19.87,atlasc,ATLAS,48.1725903559162,7.764504191110897
215718042,58875.623561,19.492,0.146,19.79,atlasc,ATLAS,57.969559465352,7.795222858785323
215718043,58877.484464,19.178,0.172,19.37,atlaso,ATLAS,77.41052270741206,12.26320891513513
215718044,58877.500186,18.756,0.135,19.39,atlaso,ATLAS,114.1826189548221,14.197420599357212
215718045,58877.503114,18.8,0.087,19.57,atlaso,ATLAS,109.64781961431828,8.786075535328385
215718046,58877.511478,,,19.49,atlaso,ATLAS,,58.07644175213124
215718047,58879.440029,,,17.18,atlasc,ATLAS,,487.528490103386
215718048,58879.443339,,,17.08,atlasc,ATLAS,,534.5643593969719
215718049,58879.450507,,,17.48,atlasc,ATLAS,,369.8281797802659
215718050,58879.460424,,,17.5,atlasc,ATLAS,,363.078054770101
215718051,58881.542967,,,19.56,atlaso,ATLAS,,54.450265284242114
215718052,58881.550193,18.977,0.139,19.55,atlaso,ATLAS,93.15367652385729,11.925881240831131
215718053,58881.556029,19.333,0.189,19.45,atlaso,ATLAS,67.11197196984214,11.682545582170976
215718054,58881.573239,18.934,0.108,19.65,atlaso,ATLAS,96.9170083947289,9.640497259610564
215718055,58882.545399,19.553,0.173,19.75,atlasc,ATLAS,54.802453217684956,8.732161979227312
215718056,58882.548726,,,19.79,atlasc,ATLAS,,44.05548635065532
215718057,58882.55469,,,19.8,atlasc,ATLAS,,43.65158322401652
215718058,58882.56654,,,19.75,atlasc,ATLAS,,45.708818961487445
215718059,58883.626644,,,19.74,atlasc,ATLAS,,46.13175745603795
215718060,58883.636618,19.533,0.14,19.77,atlasc,ATLAS,55.8213068917725,7.197865310744707
215718061,58883.63941,,,19.72,atlasc,ATLAS,,46.98941086052154
215718062,58883.640781,19.196,0.133,19.81,atlasc,ATLAS,76.13774324561491,9.326685254935047
215718063,58883.646242,19.48,0.173,19.85,atlasc,ATLAS,58.61381645140278,9.339460360310653
215718064,58883.647616,19.567,0.154,19.75,atlasc,ATLAS,54.1003406863467,7.6735513002013205
215718065,58883.649451,,,19.79,atlasc,ATLAS,,44.05548635065532
215718066,58883.661315,,,19.77,atlasc,ATLAS,,44.87453899331318
215718067,58883.675624,,,18.16,atlasc,ATLAS,,197.6969640111858
215718068,58883.677476,,,17.82,atlasc,ATLAS,,270.39583641088404
215718069,58885.480934,18.701,0.153,19.25,atlaso,ATLAS,120.11576179375766,16.926497867443725
215718070,58885.483746,18.814,0.153,19.2,atlaso,ATLAS,108.24304476091288,15.253415862750034
215718071,58885.489604,,,19.21,atlaso,ATLAS,,75.16228940182042
215718072,58885.499569,18.827,0.171,19.2,atlaso,ATLAS,106.9547310566158,16.84503006396072
215718073,58901.438063,,,19.52,atlaso,ATLAS,,56.49369748123023
215718074,58901.441559,,,19.52,atlaso,ATLAS,,56.49369748123023
215718075,58901.450243,,,19.55,atlaso,ATLAS,,54.95408738576237
215718076,58901.465384,,,19.41,atlaso,ATLAS,,62.51726927756849
215718077,58903.446447,,,19.71,atlasc,ATLAS,,47.424198526024384
215718078,58903.450809,,,19.71,atlasc,ATLAS,,47.424198526024384
215718079,58903.456862,,,19.65,atlasc,ATLAS,,50.11872336272725
215718080,58903.495343,19.853,0.199,19.74,atlasc,ATLAS,41.571912067521716,7.61954005510921
215718081,58905.510097,,,19.66,atlaso,ATLAS,,49.65923214503355
215718082,58905.513442,,,19.65,atlaso,ATLAS,,50.11872336272725
215718083,58905.520484,,,19.72,atlaso,ATLAS,,46.98941086052154
215718084,58905.532497,,,19.67,atlaso,ATLAS,,49.20395356814496
215718085,58906.315101,,,19.03,atlaso,ATLAS,,88.7156012037959
215718086,58911.411084,,,19.48,atlaso,ATLAS,,58.61381645140278
215718087,58911.433869,,,19.54,atlaso,ATLAS,,55.462571295791044
215718088,58911.441517,,,19.58,atlaso,ATLAS,,53.456435939697194
215718089,58911.451496,,,19.6,atlaso,ATLAS,,52.48074602497712
215718090,58913.478992,,,19.29,atlaso,ATLAS,,69.82324040771711
215718091,58913.482113,,,19.27,atlaso,ATLAS,,71.12135136533284
215718092,58913.493302,,,19.44,atlaso,ATLAS,,60.81350012787164
215718093,58913.499451,,,19.47,atlaso,ATLAS,,59.1561634175474
215718094,58920.556998,,,17.37,atlaso,ATLAS,,409.2606597300101
215718095,58920.560234,,,17.11,atlaso,ATLAS,,519.9959965335157
215718096,58920.572046,,,17.03,atlaso,ATLAS,,559.7576014951093
215718097,58921.544781,,,15.28,atlaso,ATLAS,,2805.433637951713
215718098,58921.548625,,,15.14,atlaso,ATLAS,,3191.5378551007584
215718099,58921.553933,,,16.33,atlaso,ATLAS,,1066.596121230259
215718100,58921.564904,,,15.54,atlaso,ATLAS,,2208.004733018899
215718101,58925.476605,,,18.42,atlaso,ATLAS,,155.59656316050703
215718102,58925.488573,,,19.03,atlaso,ATLAS,,88.7156012037959
215718103,58925.499805,,,19.11,atlaso,ATLAS,,82.41381150130017
215718104,58925.503612,,,19.35,atlaso,ATLAS,,66.06934480075944
215718105,58931.541565,,,19.69,atlasc,ATLAS,,48.30588020397716
215718106,58931.545497,,,19.62,atlasc,ATLAS,,51.52286445817554
