"id","mjd","mag","magerr","limiting_mag","filter","instrument_name","flux","fluxerr"
219847962,58796.64526,,,18.44,atlaso,ATLAS,,152.75660582380686
219847963,58796.648074,,,18.14,atlaso,ATLAS,,201.37242498623854
219847964,58796.650891,,,17.07,atlaso,ATLAS,,539.5106225151268
219847965,58814.605958,,,19.4,atlasc,ATLAS,,63.09573444801933
219847966,58814.60885,,,19.47,atlasc,ATLAS,,59.1561634175474
219847967,58814.615647,,,19.45,atlasc,ATLAS,,60.255958607435744
219847968,58814.626108,,,19.22,atlasc,ATLAS,,74.47319739059888
219847969,58815.624785,,,19.44,atlaso,ATLAS,,60.81350012787164
219847970,58815.628049,,,19.44,atlaso,ATLAS,,60.81350012787164
219847971,58815.634608,,,19.3,atlaso,ATLAS,,69.18309709189352
219847972,58815.645375,,,19.28,atlaso,ATLAS,,70.46930689671453
219847973,58819.651821,,,14.59,atlaso,ATLAS,,5296.634438916575
219847974,58819.655066,,,14.96,atlaso,ATLAS,,3767.0379898390815
219847975,58819.661518,,,13.94,atlaso,ATLAS,,9638.290236239705
219847976,58821.64503,,,19.14,atlaso,ATLAS,,80.16780633876778
219847977,58821.647814,,,18.72,atlaso,ATLAS,,118.03206356517298
219847978,58821.653356,,,18.98,atlaso,ATLAS,,92.89663867799348
219847979,58821.656226,,,18.4,atlaso,ATLAS,,158.48931924611142
219847980,58825.647253,,,19.63,atlaso,ATLAS,,51.05049999754062
219847981,58825.650466,,,19.64,atlaso,ATLAS,,50.58246620031132
219847982,58825.656598,,,19.35,atlaso,ATLAS,,66.06934480075944
219847983,58825.659465,,,19.01,atlaso,ATLAS,,90.3649473722299
219847984,58827.635394,,,19.29,atlaso,ATLAS,,69.82324040771711
219847985,58827.639046,,,19.34,atlaso,ATLAS,,66.68067692136215
219847986,58827.649205,,,19.48,atlaso,ATLAS,,58.61381645140278
219847987,58827.655211,,,19.22,atlaso,ATLAS,,74.47319739059888
219847988,58828.545945,,,18.54,atlaso,ATLAS,,139.3156802945302
