"id","mjd","mag","magerr","limiting_mag","filter","instrument_name","flux","fluxerr"
201930081,59007.589897,,,18.46,atlaso,ATLAS,,149.9684835502371
201930082,59007.595012,,,18.55,atlaso,ATLAS,,138.03842646028824
201930083,59007.599203,,,18.62,atlaso,ATLAS,,129.41958414499837
201930084,59007.616718,,,17.64,atlaso,ATLAS,,319.1537855100758
201930085,59021.58746,18.528,0.10499999999999998,19.15,atlaso,ATLAS,140.86399463612562,13.622756035926916
201930086,59021.592584,18.567,0.121,19.11,atlaso,ATLAS,135.89391171008,15.144713094082315
201930087,59021.608908,18.576,0.119,19.15,atlaso,ATLAS,134.77210138513487,14.771433424202545
201930088,59021.615358,,,18.44,atlaso,ATLAS,,152.75660582380686
201930089,59023.587555,18.745,0.193,18.13,atlasc,ATLAS,115.34532578210894,20.503735417855278
201930090,59023.598372,,,17.36,atlasc,ATLAS,,413.04750199016104
201930091,59023.605499,18.597,0.126,19.13,atlasc,ATLAS,132.19042534417218,15.340737022835274
201930092,59023.612399,18.827,0.193,19.01,atlasc,ATLAS,106.9547310566158,19.01222691429485
201930093,59027.551455,18.857,0.1,19.4,atlasc,ATLAS,104.03991770513517,9.582430543366863
201930094,59027.559316,18.899,0.12500000000000003,19.44,atlasc,ATLAS,100.09214583192937,11.523534145919339
201930095,59027.568492,18.657,0.076,19.5,atlasc,ATLAS,125.0834928374064,8.755667734006
201930096,59027.57915,18.625,0.079,19.55,atlasc,ATLAS,128.82495516931323,9.373521315560186
201930097,59029.574035,18.401,0.064,19.63,atlaso,ATLAS,158.34341239145746,9.333739032227294
201930098,59029.577254,18.383,0.064,19.55,atlaso,ATLAS,160.99040762157054,9.489769285234262
201930099,59029.595712,18.452,0.06599999999999999,19.6,atlaso,ATLAS,151.07757319249907,9.183740753055401
201930100,59029.606724,18.526,0.087,19.64,atlaso,ATLAS,141.12371484118492,11.308237799731675
201930101,59037.5838,18.439,0.107,19.14,atlaso,ATLAS,152.8973646690709,15.068133445209304
201930102,59037.598188,18.969,0.17899999999999996,19.14,atlaso,ATLAS,93.84259312370158,15.471367810641121
201930103,59037.602409,18.646,0.138,19.13,atlaso,ATLAS,126.35720185226513,16.06034115763609
201930104,59037.605966,18.618,0.121,19.21,atlaso,ATLAS,129.65820353826285,14.449773857937048
201930105,59037.607347,18.697,0.146,19.12,atlaso,ATLAS,120.55910077295344,16.211699154650862
201930106,59037.61109,18.786,0.149,19.16,atlaso,ATLAS,111.07082559188616,15.242701625555352
201930107,59037.617548,,,18.85,atlaso,ATLAS,,104.71285480508975
201930108,59037.621807,,,18.43,atlaso,ATLAS,,154.17004529495583
201930109,59039.59058,18.582,0.12,19.16,atlaso,ATLAS,134.02937734183075,14.813474221947526
201930110,59039.596096,18.594,0.125,19.17,atlaso,ATLAS,132.55618607198556,15.261094901674948
201930111,59039.611544,18.682,0.129,19.14,atlaso,ATLAS,122.23624492787326,14.523302738355685
201930112,59039.620279,18.581,0.189,18.74,atlaso,ATLAS,134.15287982661258,23.352720648086073
201930113,59041.597129,18.702,0.111,19.3,atlaso,ATLAS,120.0051820204262,12.268703158180811
201930114,59041.601279,18.953,0.141,19.28,atlaso,ATLAS,95.2357486191919,12.367866611114327
201930115,59041.609243,18.794,0.11,19.26,atlaso,ATLAS,110.25543321022217,11.170390744984163
201930116,59041.618449,18.508,0.122,19.06,atlaso,ATLAS,143.4828518232589,16.122616014575264
201930117,59045.614447,,,17.06,atlaso,ATLAS,,544.5026528424214
201930118,59045.616337,,,12.62,atlaso,ATLAS,,32508.729738543407
201930119,59045.620021,,,13.13,atlaso,ATLAS,,20323.57010936217
201930120,59047.590793,18.983,0.094,19.65,atlasc,ATLAS,92.64031007363975,8.020538606670181
201930121,59047.594002,19.423,0.149,19.62,atlasc,ATLAS,61.77318585915203,8.47738580759963
201930122,59047.608342,19.534,0.2,19.64,atlasc,ATLAS,55.76991723756762,10.27319840549879
201930123,59047.613736,19.16,0.129,19.57,atlasc,ATLAS,78.70457896950977,9.3511578987352
