"id","mjd","mag","magerr","limiting_mag","filter","instrument_name","flux","fluxerr"
198515217,58813.570263,,,19.27,atlaso,ATLAS,,71.12135136533284
198515218,58813.575911,,,19.24,atlaso,ATLAS,,73.11390834834177
198515219,58813.578706,,,19.24,atlaso,ATLAS,,73.11390834834177
198515220,58813.59187,,,19.38,atlaso,ATLAS,,64.26877173170195
198515221,58815.563307,,,19.35,atlasc,ATLAS,,66.06934480075944
198515222,58815.568703,,,18.96,atlasc,ATLAS,,94.6237161365791
198515223,58815.571536,,,18.98,atlasc,ATLAS,,92.89663867799348
198515224,58815.581753,,,19.05,atlasc,ATLAS,,87.09635899560791
198515225,58821.542994,,,19.34,atlaso,ATLAS,,66.68067692136215
198515226,58821.548393,,,19.44,atlaso,ATLAS,,60.81350012787164
198515227,58821.55164,,,19.51,atlaso,ATLAS,,57.016427228074605
198515228,58821.562862,,,19.52,atlaso,ATLAS,,56.49369748123023
198515229,58822.637732,,,17.18,atlaso,ATLAS,,487.528490103386
198515230,58822.64144,,,17.4,atlaso,ATLAS,,398.1071705534973
198515231,58822.668243,,,16.42,atlaso,ATLAS,,981.7479430199824
198515232,58825.589672,,,19.39,atlaso,ATLAS,,63.67955209079149
198515233,58825.592662,,,19.61,atlaso,ATLAS,,51.99959965335157
198515234,58825.600265,,,19.61,atlaso,ATLAS,,51.99959965335157
198515235,58825.619555,,,19.59,atlaso,ATLAS,,52.96634438916573
198515236,58827.599114,,,19,atlaso,ATLAS,,91.20108393559087
198515237,58827.602422,,,19.03,atlaso,ATLAS,,88.7156012037959
198515238,58827.612372,,,19.13,atlaso,ATLAS,,80.90958991783822
198515239,58827.618239,,,19.15,atlaso,ATLAS,,79.43282347242817
198515240,58828.625063,,,18.96,atlaso,ATLAS,,94.6237161365791
198515241,58828.630598,,,19.05,atlaso,ATLAS,,87.09635899560791
198515242,58828.635304,,,19.07,atlaso,ATLAS,,85.50667128846823
198515243,58828.648515,,,19.01,atlaso,ATLAS,,90.3649473722299
198515244,58829.540769,,,18.62,atlaso,ATLAS,,129.41958414499837
198515245,58829.54413,,,18.65,atlaso,ATLAS,,125.89254117941675
198515246,58829.55167,,,18.63,atlaso,ATLAS,,128.23305826560218
198515247,58829.563914,,,18.79,atlaso,ATLAS,,110.66237839776664
198515248,58833.583659,,,19.09,atlaso,ATLAS,,83.94599865193965
198515249,58833.584585,,,19.07,atlaso,ATLAS,,85.50667128846823
198515250,58833.586967,,,19.08,atlaso,ATLAS,,84.72274141405967
198515251,58833.587895,,,19.07,atlaso,ATLAS,,85.50667128846823
198515252,58833.595838,,,19.15,atlaso,ATLAS,,79.43282347242817
198515253,58833.59678,,,19.17,atlaso,ATLAS,,77.98301105232565
198515254,58833.610019,,,19.18,atlaso,ATLAS,,77.26805850957018
198515255,58833.610481,,,19.17,atlaso,ATLAS,,77.98301105232565
198515256,58837.554302,,,19.3,atlaso,ATLAS,,69.18309709189352
198515257,58837.557632,,,19.29,atlaso,ATLAS,,69.82324040771711
198515258,58837.558093,,,19.31,atlaso,ATLAS,,68.54882264526617
198515259,58837.561377,,,18.97,atlaso,ATLAS,,93.75620069258802
198515260,58837.563703,,,19.38,atlaso,ATLAS,,64.26877173170195
198515261,58837.568043,,,19.31,atlaso,ATLAS,,68.54882264526617
198515262,58837.573931,,,18.75,atlaso,ATLAS,,114.81536214968817
198515263,58837.579351,,,18.99,atlaso,ATLAS,,92.04495717531717
198515264,58844.620198,,,19.66,atlaso,ATLAS,,49.65923214503355
198515265,58844.623509,,,19.67,atlaso,ATLAS,,49.20395356814496
198515266,58844.631884,,,19.75,atlaso,ATLAS,,45.708818961487445
198515267,58844.64643,,,19.73,atlaso,ATLAS,,46.55860935229582
198515268,58849.557102,,,19.59,atlaso,ATLAS,,52.96634438916573
198515269,58849.578532,,,19.57,atlaso,ATLAS,,53.951062251512674
198515270,58849.584373,,,19.58,atlaso,ATLAS,,53.456435939697194
198515271,58849.595383,,,19.41,atlaso,ATLAS,,62.51726927756849
198515272,58852.589796,,,19.37,atlaso,ATLAS,,64.86344335482372
198515273,58852.592631,,,19.33,atlaso,ATLAS,,67.29766562843182
198515274,58852.599143,,,19.27,atlaso,ATLAS,,71.12135136533284
198515275,58852.610138,,,19.46,atlaso,ATLAS,,59.70352865838357
198515276,58865.530452,,,16.33,atlaso,ATLAS,,1066.596121230259
198515277,58865.551685,,,18.52,atlaso,ATLAS,,141.90575216890912
198515278,58867.572552,,,19.63,atlaso,ATLAS,,51.05049999754062
198515279,58867.575869,,,19.59,atlaso,ATLAS,,52.96634438916573
198515280,58867.596176,,,19.64,atlaso,ATLAS,,50.58246620031132
198515281,58867.602019,,,19.62,atlaso,ATLAS,,51.52286445817554
198515282,58868.55336,,,19.61,atlaso,ATLAS,,51.99959965335157
198515283,58868.556587,,,19.64,atlaso,ATLAS,,50.58246620031132
198515284,58868.562689,,,19.66,atlaso,ATLAS,,49.65923214503355
198515285,58868.579309,,,19.69,atlaso,ATLAS,,48.30588020397716
198515286,58869.465416,,,19.52,atlaso,ATLAS,,56.49369748123023
198515287,58869.489305,,,19.63,atlaso,ATLAS,,51.05049999754062
198515288,58871.491036,,,19.78,atlasc,ATLAS,,44.46312674691077
198515289,58871.494482,,,19.78,atlasc,ATLAS,,44.46312674691077
198515290,58871.505574,,,19.77,atlasc,ATLAS,,44.87453899331318
198515291,58871.512538,,,19.8,atlasc,ATLAS,,43.65158322401652
198515292,58873.546095,,,19.69,atlaso,ATLAS,,48.30588020397716
198515293,58873.54902,,,19.63,atlaso,ATLAS,,51.05049999754062
198515294,58873.560674,,,19.76,atlaso,ATLAS,,45.28975799036195
198515295,58873.568653,,,19.72,atlaso,ATLAS,,46.98941086052154
198515296,58874.599706,,,19.81,atlasc,ATLAS,,43.251383103500885
198515297,58874.61125,,,19.84,atlasc,ATLAS,,42.07266283844437
198515298,58874.62435,,,19.8,atlasc,ATLAS,,43.65158322401652
198515299,58874.634198,,,19.82,atlasc,ATLAS,,42.854852039743896
198515300,58875.514851,,,19.8,atlasc,ATLAS,,43.65158322401652
198515301,58875.518216,,,19.81,atlasc,ATLAS,,43.251383103500885
198515302,58875.525229,,,19.83,atlasc,ATLAS,,42.4619563946313
198515303,58875.539294,,,19.81,atlasc,ATLAS,,43.251383103500885
198515304,58877.478364,,,19.33,atlaso,ATLAS,,67.29766562843182
198515305,58877.482092,,,19.17,atlaso,ATLAS,,77.98301105232565
198515306,58877.499266,,,19.43,atlaso,ATLAS,,61.376200516479365
198515307,58877.510964,,,19.41,atlaso,ATLAS,,62.51726927756849
198515308,58878.53278,,,18.66,atlasc,ATLAS,,124.7383514242942
198515309,58878.535696,,,18.46,atlasc,ATLAS,,149.9684835502371
198515310,58878.541385,,,18.72,atlasc,ATLAS,,118.03206356517298
198515311,58878.551472,,,19.08,atlasc,ATLAS,,84.72274141405967
198515312,58879.467346,,,18.16,atlasc,ATLAS,,197.6969640111858
