"id","mjd","mag","magerr","limiting_mag","filter","instrument_name","flux","fluxerr"
219064531,59119.526857,,,17.97,atlasc,ATLAS,,235.5049283896009
219064532,59119.528687,,,17.77,atlasc,ATLAS,,283.1391995799379
219064533,59119.533734,,,19.3,atlasc,ATLAS,,69.18309709189352
219064534,59119.538791,,,19.54,atlasc,ATLAS,,55.462571295791044
219064535,59121.548428,,,19.31,atlaso,ATLAS,,68.54882264526617
219064536,59121.55121,,,19.27,atlaso,ATLAS,,71.12135136533284
219064537,59121.553976,,,19.3,atlaso,ATLAS,,69.18309709189352
219064538,59121.559048,,,19.29,atlaso,ATLAS,,69.82324040771711
219064539,59123.5376,,,18.97,atlaso,ATLAS,,93.75620069258802
219064540,59123.540804,,,18.97,atlaso,ATLAS,,93.75620069258802
219064541,59123.543571,,,18.97,atlaso,ATLAS,,93.75620069258802
219064542,59123.552285,,,18.96,atlaso,ATLAS,,94.6237161365791
219064543,59125.467816,,,18.89,atlaso,ATLAS,,100.92528860766824
219064544,59125.474005,,,18.68,atlaso,ATLAS,,122.46161992650477
219064545,59125.476793,,,18.81,atlaso,ATLAS,,108.64256236170655
219064546,59125.486963,,,18.87,atlaso,ATLAS,,102.80162981264715
219064547,59131.58106,,,19.26,atlaso,ATLAS,,71.779429127136
219064548,59131.583345,,,19.28,atlaso,ATLAS,,70.46930689671453
219064549,59131.584846,,,19.21,atlaso,ATLAS,,75.16228940182042
219064550,59131.587324,,,19.17,atlaso,ATLAS,,77.98301105232565
219064551,59131.596675,,,19.22,atlaso,ATLAS,,74.47319739059888
219064552,59131.602877,,,19.25,atlaso,ATLAS,,72.44359600749891
219064553,59131.618275,,,19.03,atlaso,ATLAS,,88.7156012037959
219064554,59133.546979,,,19.61,atlaso,ATLAS,,51.99959965335157
219064555,59133.548891,,,19.69,atlaso,ATLAS,,48.30588020397716
219064556,59133.554566,,,19.66,atlaso,ATLAS,,49.65923214503355
219064557,59133.578396,,,19.48,atlaso,ATLAS,,58.61381645140278
219064558,59135.619966,,,18.48,atlaso,ATLAS,,147.23125024327163
219064559,59135.626888,,,18.22,atlaso,ATLAS,,187.06821403657997
219064560,59135.637113,,,17.3,atlaso,ATLAS,,436.5158322401652
219064561,59135.639648,,,19.33,atlaso,ATLAS,,67.29766562843182
219064562,59135.64267,,,19.25,atlaso,ATLAS,,72.44359600749891
219064563,59135.643712,,,18.79,atlaso,ATLAS,,110.66237839776664
219064564,59135.645665,,,19.02,atlaso,ATLAS,,89.53647655495932
219064565,59137.51239,,,19.62,atlaso,ATLAS,,51.52286445817554
219064566,59137.539166,,,19.63,atlaso,ATLAS,,51.05049999754062
219064567,59137.545976,,,19.8,atlaso,ATLAS,,43.65158322401652
219064568,59137.549199,,,19.75,atlaso,ATLAS,,45.708818961487445
219064569,59139.502553,,,19.62,atlasc,ATLAS,,51.52286445817554
219064570,59139.505754,,,19.52,atlasc,ATLAS,,56.49369748123023
219064571,59139.508959,,,19.43,atlasc,ATLAS,,61.376200516479365
219064572,59139.515983,,,19.1,atlasc,ATLAS,,83.17637711026691
219064573,59141.473323,,,19.69,atlaso,ATLAS,,48.30588020397716
219064574,59141.475162,,,19.74,atlaso,ATLAS,,46.13175745603795
219064575,59141.483333,,,19.69,atlaso,ATLAS,,48.30588020397716
219064576,59141.500577,,,19.72,atlaso,ATLAS,,46.98941086052154
219064577,59143.481821,,,17.89,atlasc,ATLAS,,253.51286304979044
219064578,59143.48365,,,16.01,atlasc,ATLAS,,1432.1878992735394
219064579,59143.486393,,,15.05,atlasc,ATLAS,,3467.3685045253096
219064580,59143.491442,,,17.88,atlasc,ATLAS,,255.85858869056452
219064581,59145.51293,,,19.75,atlaso,ATLAS,,45.708818961487445
219064582,59145.515245,,,19.76,atlaso,ATLAS,,45.28975799036195
219064583,59145.522335,,,19.76,atlaso,ATLAS,,45.28975799036195
219064584,59145.558135,,,19.71,atlaso,ATLAS,,47.424198526024384
219064585,59147.543127,,,19.74,atlasc,ATLAS,,46.13175745603795
219064586,59147.546012,,,19.76,atlasc,ATLAS,,45.28975799036195
219064587,59147.577543,,,19.78,atlasc,ATLAS,,44.46312674691077
219064588,59147.592838,,,19.66,atlasc,ATLAS,,49.65923214503355
219064589,59153.441887,,,18.8,atlaso,ATLAS,,109.64781961431828
219064590,59153.445617,,,18.78,atlaso,ATLAS,,111.68632477805589
219064591,59153.448377,,,18.74,atlaso,ATLAS,,115.87773561551262
219064592,59153.453456,,,18.77,atlaso,ATLAS,,112.71974561755094
219064593,59163.54264,,,19.62,atlaso,ATLAS,,51.52286445817554
219064594,59163.545993,,,19.55,atlaso,ATLAS,,54.95408738576237
219064595,59163.565489,,,19.48,atlaso,ATLAS,,58.61381645140278
219064596,59163.587175,,,19.6,atlaso,ATLAS,,52.48074602497712
618297979,59175.30737269996,,,20.269500732421875,ztfg,ZTF,,28.326942893858256
7707242,59175.30737269996,,,20.269500732421875,ztfg,ZTF,,28.326942893858256
13713895,59175.30737269996,,,20.269500732421875,ztfg,ZTF,,28.326942893858256
618297980,59177.37440969981,,,20.032899856567383,ztfr,ZTF,,35.22411232598488
7707243,59177.37440969981,,,20.032899856567383,ztfr,ZTF,,35.22411232598488
13713896,59177.37440969981,,,20.032899856567383,ztfr,ZTF,,35.22411232598488
618297981,59177.40336810006,,,20.79360008239746,ztfg,ZTF,,17.480746185252894
7707244,59177.40336810006,,,20.79360008239746,ztfg,ZTF,,17.480746185252894
13713897,59177.40336810006,,,20.79360008239746,ztfg,ZTF,,17.480746185252894
618297982,59179.331701400224,,,19.898099899291992,ztfr,ZTF,,39.88044909611442
7707245,59179.331701400224,,,19.898099899291992,ztfr,ZTF,,39.88044909611442
13713898,59179.331701400224,,,19.898099899291992,ztfr,ZTF,,39.88044909611442
219064597,59179.37982,,,18.99,atlaso,ATLAS,,92.04495717531717
219064598,59179.383019,,,19.07,atlaso,ATLAS,,85.50667128846823
219064599,59179.385778,,,18.88,atlaso,ATLAS,,101.85913880541169
219064600,59179.391582,,,17.06,atlaso,ATLAS,,544.5026528424214
618297983,59179.442245400045,,,19.984800338745117,ztfg,ZTF,,36.81966768757503
7707246,59179.442245400045,,,19.984800338745117,ztfg,ZTF,,36.81966768757503
13713899,59179.442245400045,,,19.984800338745117,ztfg,ZTF,,36.81966768757503
618297984,59181.213379600085,,,19.148799896240234,ztfg,ZTF,,79.52067200658128
7707247,59181.213379600085,,,19.148799896240234,ztfg,ZTF,,79.52067200658128
13713900,59181.213379600085,,,19.148799896240234,ztfg,ZTF,,79.52067200658128
618297985,59181.28762729978,,,19.28529930114746,ztfr,ZTF,,70.12619573120176
7707248,59181.28762729978,,,19.28529930114746,ztfr,ZTF,,70.12619573120176
13713901,59181.28762729978,,,19.28529930114746,ztfr,ZTF,,70.12619573120176
219064601,59181.331328,,,17.61,atlaso,ATLAS,,328.09529311311906
219064602,59181.331789,,,18.24,atlaso,ATLAS,,183.65383433483476
219064603,59181.336425,,,18.65,atlaso,ATLAS,,125.89254117941675
219064604,59181.336897,,,18.68,atlaso,ATLAS,,122.46161992650477
219064605,59181.339691,,,18.63,atlaso,ATLAS,,128.23305826560218
219064606,59181.340152,,,18.61,atlaso,ATLAS,,130.61708881318404
219064607,59181.352144,,,18.61,atlaso,ATLAS,,130.61708881318404
219064608,59181.363553,,,18.62,atlaso,ATLAS,,129.41958414499837
618297986,59185.258911999874,,,19.42889976501465,ztfr,ZTF,,61.43842785065459
7707249,59185.258911999874,,,19.42889976501465,ztfr,ZTF,,61.43842785065459
13713902,59185.258911999874,,,19.42889976501465,ztfr,ZTF,,61.43842785065459
618297987,59185.42039350001,,,18.996299743652344,ztfg,ZTF,,91.5124331353287
7707250,59185.42039350001,,,18.996299743652344,ztfg,ZTF,,91.5124331353287
13713903,59185.42039350001,,,18.996299743652344,ztfg,ZTF,,91.5124331353287
618297988,59187.366793999914,,,19.37459945678711,ztfg,ZTF,,64.58924638166484
7707251,59187.366793999914,,,19.37459945678711,ztfg,ZTF,,64.58924638166484
13713904,59187.366793999914,,,19.37459945678711,ztfg,ZTF,,64.58924638166484
618297989,59187.42233800003,,,19.429899215698242,ztfr,ZTF,,61.38189807413123
7707252,59187.42233800003,,,19.429899215698242,ztfr,ZTF,,61.38189807413123
13713905,59187.42233800003,,,19.429899215698242,ztfr,ZTF,,61.38189807413123
219064609,59187.525886,,,18.79,atlaso,ATLAS,,110.66237839776664
219064610,59187.529091,,,16.93,atlaso,ATLAS,,613.7620051647939
219064611,59187.541168,,,18.95,atlaso,ATLAS,,95.49925860214354
219064612,59187.551297,,,19.02,atlaso,ATLAS,,89.53647655495932
618297990,59189.37068289984,,,20.3612003326416,ztfr,ZTF,,26.032739162685615
7707253,59189.37068289984,,,20.3612003326416,ztfr,ZTF,,26.032739162685615
13713906,59189.37068289984,,,20.3612003326416,ztfr,ZTF,,26.032739162685615
618297991,59189.38472220022,,,20.124500274658203,ztfg,ZTF,,32.374262973719546
7707254,59189.38472220022,,,20.124500274658203,ztfg,ZTF,,32.374262973719546
13713907,59189.38472220022,,,20.124500274658203,ztfg,ZTF,,32.374262973719546
219064613,59189.420377,,,19.46,atlaso,ATLAS,,59.70352865838357
219064614,59189.424693,,,19.48,atlaso,ATLAS,,58.61381645140278
219064615,59189.434402,,,19.47,atlaso,ATLAS,,59.1561634175474
219064616,59189.447057,,,19.4,atlaso,ATLAS,,63.09573444801933
219064617,59191.418911,,,19.71,atlasc,ATLAS,,47.424198526024384
219064618,59191.425367,,,19.7,atlasc,ATLAS,,47.863009232263806
219064619,59191.42855,,,19.68,atlasc,ATLAS,,48.7528490103386
219064620,59191.434883,,,19.69,atlasc,ATLAS,,48.30588020397716
618297992,59192.21681710007,,,20.059900283813477,ztfg,ZTF,,34.35895023985521
7707255,59192.21681710007,,,20.059900283813477,ztfg,ZTF,,34.35895023985521
13713908,59192.21681710007,,,20.059900283813477,ztfg,ZTF,,34.35895023985521
219064621,59192.417512,,,19.65,atlasc,ATLAS,,50.11872336272725
219064622,59192.431572,,,19.7,atlasc,ATLAS,,47.863009232263806
219064623,59192.460081,,,19.67,atlasc,ATLAS,,49.20395356814496
219064624,59192.462873,,,19.67,atlasc,ATLAS,,49.20395356814496
219064625,59193.418448,,,19.61,atlaso,ATLAS,,51.99959965335157
219064626,59193.425131,,,19.67,atlaso,ATLAS,,49.20395356814496
219064627,59193.428357,,,19.69,atlaso,ATLAS,,48.30588020397716
219064628,59193.440917,,,19.69,atlaso,ATLAS,,48.30588020397716
618297993,59194.2165045999,,,20.121299743652344,ztfg,ZTF,,32.469836557756935
7707256,59194.2165045999,,,20.121299743652344,ztfg,ZTF,,32.469836557756935
13713909,59194.2165045999,,,20.121299743652344,ztfg,ZTF,,32.469836557756935
618297994,59194.26491900021,,,20.19540023803711,ztfr,ZTF,,30.327729983374816
7707257,59194.26491900021,,,20.19540023803711,ztfr,ZTF,,30.327729983374816
13713910,59194.26491900021,,,20.19540023803711,ztfr,ZTF,,30.327729983374816
219064629,59195.42645,,,19.57,atlasc,ATLAS,,53.951062251512674
219064630,59195.429687,,,19.51,atlasc,ATLAS,,57.016427228074605
219064631,59195.435862,,,19.58,atlasc,ATLAS,,53.456435939697194
