"id","mjd","mag","magerr","limiting_mag","filter","instrument_name","flux","fluxerr"
220578365,59100.228637,,,19.55,atlaso,ATLAS,,54.95408738576237
220578366,59100.231863,,,19.64,atlaso,ATLAS,,50.58246620031132
220578367,59100.237395,,,19.69,atlaso,ATLAS,,48.30588020397716
220578368,59100.249484,,,19.69,atlaso,ATLAS,,48.30588020397716
220578369,59102.236774,,,19.6,atlasc,ATLAS,,52.48074602497712
220578370,59102.239997,,,19.59,atlasc,ATLAS,,52.96634438916573
220578371,59102.245514,,,19.58,atlasc,ATLAS,,53.456435939697194
220578372,59102.256093,,,19.58,atlasc,ATLAS,,53.456435939697194
220578373,59104.249996,,,19.66,atlaso,ATLAS,,49.65923214503355
220578374,59104.253685,,,19.68,atlaso,ATLAS,,48.7528490103386
220578375,59104.261517,,,19.65,atlaso,ATLAS,,50.11872336272725
220578376,59104.272582,,,19.63,atlaso,ATLAS,,51.05049999754062
220578377,59106.245037,,,19.47,atlasc,ATLAS,,59.1561634175474
220578378,59106.248287,,,19.51,atlasc,ATLAS,,57.016427228074605
220578379,59106.256092,,,19.46,atlasc,ATLAS,,59.70352865838357
220578380,59106.267561,,,19.42,atlasc,ATLAS,,61.94410750767799
220578381,59108.219699,,,19.03,atlaso,ATLAS,,88.7156012037959
220578382,59108.222932,,,19.35,atlaso,ATLAS,,66.06934480075944
220578383,59108.230304,,,19.55,atlaso,ATLAS,,54.95408738576237
220578384,59108.242344,,,19.57,atlaso,ATLAS,,53.951062251512674
220578385,59110.218469,,,18.13,atlasc,ATLAS,,203.23570109362208
220578386,59110.221686,,,18.84,atlasc,ATLAS,,105.68175092136575
220578387,59110.227688,,,19.26,atlasc,ATLAS,,71.779429127136
220578388,59110.2378,,,19.21,atlasc,ATLAS,,75.16228940182042
220578389,59112.214405,,,17.86,atlaso,ATLAS,,260.6153549998895
220578390,59112.217629,,,18.49,atlaso,ATLAS,,145.8814260275349
220578391,59112.223155,,,19.1,atlaso,ATLAS,,83.17637711026691
220578392,59112.233758,,,19.13,atlaso,ATLAS,,80.90958991783822
220578393,59114.214771,,,18.04,atlaso,ATLAS,,220.80047330188992
220578394,59114.217976,,,18.61,atlaso,ATLAS,,130.61708881318404
220578395,59114.225769,,,18.95,atlaso,ATLAS,,95.49925860214354
220578396,59114.237715,,,18.11,atlaso,ATLAS,,207.01413487910415
220578397,59120.241647,,,18.93,atlaso,ATLAS,,97.2747223776964
220578398,59120.244873,,,18.93,atlaso,ATLAS,,97.2747223776964
220578399,59120.250863,,,18.89,atlaso,ATLAS,,100.92528860766824
220578400,59120.262385,,,18.35,atlaso,ATLAS,,165.95869074375562
220578401,59122.21735,,,18.72,atlaso,ATLAS,,118.03206356517298
220578402,59122.221472,,,18.72,atlaso,ATLAS,,118.03206356517298
220578403,59122.227899,,,18.63,atlaso,ATLAS,,128.23305826560218
220578404,59122.263315,,,18.34,atlaso,ATLAS,,167.49428760264365
220578405,59130.206568,,,17.98,atlasc,ATLAS,,233.34580622809997
220578406,59130.209789,,,18.61,atlasc,ATLAS,,130.61708881318404
220578407,59130.217638,,,19.26,atlasc,ATLAS,,71.779429127136
220578408,59130.227758,,,19.29,atlasc,ATLAS,,69.82324040771711
220578409,59138.201783,,,18,atlasc,ATLAS,,229.08676527677702
220578410,59138.205004,,,18.56,atlasc,ATLAS,,136.77288255958496
220578411,59138.212331,,,19.14,atlasc,ATLAS,,80.16780633876778
220578412,59138.222449,,,19.21,atlasc,ATLAS,,75.16228940182042
220578413,59146.199896,,,17.55,atlaso,ATLAS,,346.736850452531
220578414,59146.205386,,,18.42,atlaso,ATLAS,,155.59656316050703
220578415,59146.215939,,,18.78,atlaso,ATLAS,,111.68632477805589
618075391,59218.55942129996,,,19.26729965209961,ztfr,ZTF,,71.29845830626913
15735029,59218.55942129996,,,19.26729965209961,ztfr,ZTF,,71.29845830626913
618075392,59218.56186340004,,,19.373899459838867,ztfr,ZTF,,64.63090185280316
15735030,59218.56186340004,,,19.373899459838867,ztfr,ZTF,,64.63090185280316
618075393,59218.564317100216,,,19.28730010986328,ztfr,ZTF,,69.99708527078394
15735031,59218.564317100216,,,19.28730010986328,ztfr,ZTF,,69.99708527078394
618075394,59218.56678240001,,,19.471599578857422,ztfr,ZTF,,59.06907478754118
15735032,59218.56678240001,,,19.471599578857422,ztfr,ZTF,,59.06907478754118
618075395,59218.569236100186,,,19.281600952148438,ztfr,ZTF,,70.36547426056036
15735033,59218.569236100186,,,19.281600952148438,ztfr,ZTF,,70.36547426056036
618075396,59219.55914349994,,,19.183799743652344,ztfr,ZTF,,76.99811664019634
634287461,59219.55914349994,,,19.1838,ztfr,ZTF,,76.99809846056445
15735034,59219.55914349994,,,19.183799743652344,ztfr,ZTF,,76.99811664019634
618075397,59219.55961810006,,,19.37190055847168,ztfr,ZTF,,64.75000057520413
15735035,59219.55961810006,,,19.37190055847168,ztfr,ZTF,,64.75000057520413
618075398,59219.561550899874,,,19.175100326538086,ztfr,ZTF,,77.6175391482614
15735036,59219.561550899874,,,19.175100326538086,ztfr,ZTF,,77.6175391482614
634287462,59219.561550899874,,,19.1751,ztfr,ZTF,,77.61756249194869
618075399,59219.562025499996,,,19.30699920654297,ztfr,ZTF,,68.73854219320462
15735037,59219.562025499996,,,19.30699920654297,ztfr,ZTF,,68.73854219320462
618075400,59219.5639698999,,,19.19339942932129,ztfr,ZTF,,76.32032802015694
634287463,59219.5639698999,,,19.1934,ztfr,ZTF,,76.32028790509511
15735038,59219.5639698999,,,19.19339942932129,ztfr,ZTF,,76.32032802015694
618075401,59219.566388899926,,,19.15369987487793,ztfr,ZTF,,79.16260007335279
634287464,59219.566388899926,,,19.1537,ztfr,ZTF,,79.1625909505218
15735039,59219.566388899926,,,19.15369987487793,ztfr,ZTF,,79.16260007335279
618075402,59219.56880789995,,,19.076499938964844,ztfr,ZTF,,84.99630072306759
634287465,59219.56880789995,,,19.0765,ztfr,ZTF,,84.99629594496193
15735040,59219.56880789995,,,19.076499938964844,ztfr,ZTF,,84.99630072306759
618075403,59221.570995400194,,,17.063100814819336,ztfr,ZTF,,542.9497957298382
15735041,59221.570995400194,,,17.063100814819336,ztfr,ZTF,,542.9497957298382
618075404,59221.57145830011,,,16.78689956665039,ztfr,ZTF,,700.2291293457016
634287466,59221.57145830011,,,16.7869,ztfr,ZTF,,700.2288498634875
15735042,59221.57145830011,,,16.78689956665039,ztfr,ZTF,,700.2291293457016
618075405,59221.57341440022,,,17.319400787353516,ztfr,ZTF,,428.78509956466513
15735043,59221.57341440022,,,17.319400787353516,ztfr,ZTF,,428.78509956466513
618075406,59221.573877300136,,,16.7947998046875,ztfr,ZTF,,695.1524826425837
634287467,59221.573877300136,,,16.7948,ztfr,ZTF,,695.152357591991
15735044,59221.573877300136,,,16.7947998046875,ztfr,ZTF,,695.1524826425837
618075407,59221.57582180016,,,17.813400268554688,ztfr,ZTF,,272.0444639822198
15735045,59221.57582180016,,,17.813400268554688,ztfr,ZTF,,272.0444639822198
618075408,59221.57629630016,,,17.829500198364258,ztfr,ZTF,,268.04019218553634
15735046,59221.57629630016,,,17.829500198364258,ztfr,ZTF,,268.04019218553634
634287468,59221.57629630016,,,17.8295,ztfr,ZTF,,268.0402411565466
618075409,59221.578240700066,,,19.025800704956055,ztfr,ZTF,,89.0593903798452
15735047,59221.578240700066,,,19.025800704956055,ztfr,ZTF,,89.0593903798452
618075410,59221.57871530019,,,18.62980079650879,ztfr,ZTF,,128.25658775304979
15735048,59221.57871530019,,,18.62980079650879,ztfr,ZTF,,128.25658775304979
634287469,59221.57871530019,,,18.6298,ztfr,ZTF,,128.25668184361854
618075411,59222.56240739999,,,16.11240005493164,ztfr,ZTF,,1303.2867441374092
15735049,59222.56240739999,,,16.11240005493164,ztfr,ZTF,,1303.2867441374092
634287470,59222.56240739999,,,16.1124,ztfr,ZTF,,1303.2868100757826
618075412,59222.56484950008,,,17.990800857543945,ztfr,ZTF,,231.03600005678948
15735050,59222.56484950008,,,17.990800857543945,ztfr,ZTF,,231.03600005678948
634287471,59222.56484950008,,,17.9908,ztfr,ZTF,,231.0361825353699
618075413,59222.567291699816,,,18.637399673461914,ztfr,ZTF,,127.36207634316375
634287472,59222.567291699816,,,18.6374,ztfr,ZTF,,127.3620380386823
15735051,59222.567291699816,,,18.637399673461914,ztfr,ZTF,,127.36207634316375
618075414,59222.56974539999,,,17.114200592041016,ztfr,ZTF,,517.9880768475088
15735052,59222.56974539999,,,17.114200592041016,ztfr,ZTF,,517.9880768475088
634287473,59222.56974539999,,,17.1142,ztfr,ZTF,,517.988359301266
618075415,59222.572187500075,,,16.311500549316406,ztfr,ZTF,,1084.9251585874306
15735053,59222.572187500075,,,16.311500549316406,ztfr,ZTF,,1084.9251585874306
634287474,59222.572187500075,,,16.3115,ztfr,ZTF,,1084.9257074936372
618075416,59223.57187499991,,,19.21190071105957,ztfr,ZTF,,75.03082393284714
15735054,59223.57187499991,,,19.21190071105957,ztfr,ZTF,,75.03082393284714
634287475,59223.57187499991,,,19.2119,ztfr,ZTF,,75.03087307130517
618075417,59223.574259299785,,,19.073999404907227,ztfr,ZTF,,85.19227933678972
634287476,59223.574259299785,,,19.074,ztfr,ZTF,,85.19223264285448
15735055,59223.574259299785,,,19.073999404907227,ztfr,ZTF,,85.19227933678972
618075418,59223.57664350001,,,18.826099395751953,ztfr,ZTF,,107.04348543864494
634287477,59223.57664350001,,,18.8261,ztfr,ZTF,,107.04342586542747
15735056,59223.57664350001,,,18.826099395751953,ztfr,ZTF,,107.04348543864494
618075419,59223.57902779989,,,18.503400802612305,ztfr,ZTF,,144.09193680776772
15735057,59223.57902779989,,,18.503400802612305,ztfr,ZTF,,144.09193680776772
634287478,59223.57902779989,,,18.5034,ztfr,ZTF,,144.09204332535813
618075420,59224.55886569992,,,18.968799591064453,ztfr,ZTF,,93.8599165121472
634287479,59224.55886569992,,,18.9688,ztfr,ZTF,,93.85988116042085
15735058,59224.55886569992,,,18.968799591064453,ztfr,ZTF,,93.8599165121472
618075421,59224.56130790012,,,19.27519989013672,ztfr,ZTF,,70.78154595839793
634287480,59224.56130790012,,,19.2752,ztfr,ZTF,,70.78153879616775
15735059,59224.56130790012,,,19.27519989013672,ztfr,ZTF,,70.78154595839793
618075422,59224.56376159983,,,19.32360076904297,ztfr,ZTF,,67.69548317948183
15735060,59224.56376159983,,,19.32360076904297,ztfr,ZTF,,67.69548317948183
634287481,59224.56376159983,,,19.3236,ztfr,ZTF,,67.69553112920813
618075423,59224.5662153,,,19.1643009185791,ztfr,ZTF,,78.39342381395029
15735061,59224.5662153,,,19.1643009185791,ztfr,ZTF,,78.39342381395029
634287482,59224.5662153,,,19.1643,ztfr,ZTF,,78.39349013815587
618075424,59224.56865740009,,,18.97100067138672,ztfr,ZTF,,93.66982987257902
15735062,59224.56865740009,,,18.97100067138672,ztfr,ZTF,,93.66982987257902
634287483,59224.56865740009,,,18.971,ztfr,ZTF,,93.66988779521152
618075425,59226.55908560008,,,19.59510040283203,ztfr,ZTF,,52.71811083983972
15735063,59226.55908560008,,,19.59510040283203,ztfr,ZTF,,52.71811083983972
634287484,59226.55908560008,,,19.5951,ztfr,ZTF,,52.718130399422975
618075426,59226.56149310013,,,19.5487003326416,ztfr,ZTF,,55.01990889726229
15735064,59226.56149310013,,,19.5487003326416,ztfr,ZTF,,55.01990889726229
634287485,59226.56149310013,,,19.5487,ztfr,ZTF,,55.01992575394748
618075427,59226.56390050007,,,19.615999221801758,ztfr,ZTF,,51.71306885687347
634287486,59226.56390050007,,,19.616,ztfr,ZTF,,51.713031791696245
15735065,59226.56390050007,,,19.615999221801758,ztfr,ZTF,,51.71306885687347
618075428,59226.56629629992,,,19.572799682617188,ztfr,ZTF,,53.81212309286346
634287487,59226.56629629992,,,19.5728,ztfr,ZTF,,53.81210736248582
15735066,59226.56629629992,,,19.572799682617188,ztfr,ZTF,,53.81212309286346
618075429,59226.56870369986,,,19.47480010986328,ztfr,ZTF,,58.895207476162035
15735067,59226.56870369986,,,19.47480010986328,ztfr,ZTF,,58.895207476162035
634287488,59226.56870369986,,,19.4748,ztfr,ZTF,,58.895213435640166
618075430,59227.5708912001,,,19.347400665283203,ztfr,ZTF,,66.22770930952387
15735068,59227.5708912001,,,19.347400665283203,ztfr,ZTF,,66.22770930952387
634287489,59227.5708912001,,,19.3474,ztfr,ZTF,,66.2277498904641
618075431,59227.57334489981,,,19.214799880981445,ztfr,ZTF,,74.83074131501036
634287490,59227.57334489981,,,19.2148,ztfr,ZTF,,74.83073311205445
15735069,59227.57334489981,,,19.214799880981445,ztfr,ZTF,,74.83074131501036
618075432,59227.57579859998,,,19.176799774169922,ztfr,ZTF,,77.49614339601052
634287491,59227.57579859998,,,19.1768,ztfr,ZTF,,77.49612727703222
15735070,59227.57579859998,,,19.176799774169922,ztfr,ZTF,,77.49614339601052
618075433,59227.578240700066,,,18.790700912475586,ztfr,ZTF,,110.5909617772613
15735071,59227.578240700066,,,18.790700912475586,ztfr,ZTF,,110.5909617772613
634287492,59227.578240700066,,,18.7907,ztfr,ZTF,,110.591054720275
618075434,59228.55807870021,,,19.717100143432617,ztfr,ZTF,,47.11508105807613
15735072,59228.55807870021,,,19.717100143432617,ztfr,ZTF,,47.11508105807613
618075435,59228.560555600096,,,19.813600540161133,ztfr,ZTF,,43.10818956193978
15735073,59228.560555600096,,,19.813600540161133,ztfr,ZTF,,43.10818956193978
618075436,59228.56303239986,,,19.84670066833496,ztfr,ZTF,,41.813809150025556
15735074,59228.56303239986,,,19.84670066833496,ztfr,ZTF,,41.813809150025556
618075437,59228.565520800184,,,19.91950035095215,ztfr,ZTF,,39.102079973366976
15735075,59228.565520800184,,,19.91950035095215,ztfr,ZTF,,39.102079973366976
618075438,59228.56799770007,,,19.944900512695312,ztfr,ZTF,,38.19792704530849
15735076,59228.56799770007,,,19.944900512695312,ztfr,ZTF,,38.19792704530849
618075439,59228.57228010008,,,19.502199172973633,ztfr,ZTF,,57.4275555803063
634287493,59228.57228010008,,,19.5022,ztfr,ZTF,,57.42751183663794
15735077,59228.57228010008,,,19.502199172973633,ztfr,ZTF,,57.4275555803063
618075440,59228.57468750002,,,19.364900588989258,ztfr,ZTF,,65.16880604905907
15735078,59228.57468750002,,,19.364900588989258,ztfr,ZTF,,65.16880604905907
634287494,59228.57468750002,,,19.3649,ztfr,ZTF,,65.1688414017875
618075441,59228.577106500044,,,19.09939956665039,ztfr,ZTF,,83.22238799436504
634287495,59228.577106500044,,,19.0994,ztfr,ZTF,,83.2223547778416
15735079,59228.577106500044,,,19.09939956665039,ztfr,ZTF,,83.22238799436504
220578416,59228.646317,,,19.15,atlasc,ATLAS,,79.43282347242817
220578417,59228.650468,,,19.19,atlasc,ATLAS,,76.55966069112546
220578418,59228.657917,,,19.21,atlasc,ATLAS,,75.16228940182042
220578419,59228.667683,,,18.65,atlasc,ATLAS,,125.89254117941675
618075442,59229.572511599865,,,19.269399642944336,ztfr,ZTF,,71.16068874034204
15735080,59229.572511599865,,,19.269399642944336,ztfr,ZTF,,71.16068874034204
618075443,59229.57495369995,,,18.911399841308594,ztfr,ZTF,,98.95552869633394
15735081,59229.57495369995,,,18.911399841308594,ztfr,ZTF,,98.95552869633394
618075444,59229.577384300064,,,18.643400192260742,ztfr,ZTF,,126.66012815034979
15735082,59229.577384300064,,,18.643400192260742,ztfr,ZTF,,126.66012815034979
220578420,59230.637529,,,19.15,atlasc,ATLAS,,79.43282347242817
220578421,59230.641644,,,19.22,atlasc,ATLAS,,74.47319739059888
220578422,59230.659065,,,19.18,atlasc,ATLAS,,77.26805850957018
220578423,59230.670045,,,18.4,atlasc,ATLAS,,158.48931924611142
220578424,59244.613147,18.166,0.113,18.74,atlaso,ATLAS,196.60746338790966,20.46228472945048
220578425,59244.616368,18.14,0.10499999999999998,18.74,atlaso,ATLAS,201.37242498623854,19.47444004436173
220578426,59244.623275,18.677,0.173,18.75,atlaso,ATLAS,122.80046179887869,19.566889082361094
