Name,Band,Freq_GHz,PeakFlux_mJy,RMS_mJy,MJD,OpticalExpDate,TimeSinceDays,luminosity
SN2018hon,S,3.259839184,0.532,0.043,60826.70367,58416.26899,2410.43468,9.22E+28
SN2019aur,S,3.237414104,0.365,0.041,60840.76803,58526.26199,2314.50604,1.34E+27
SN2019njv,S,3.268627396,5.902,0.819,60823.48927,58707.29899,2116.19028,3.01E+28
SN2019pqo,S,3.229787995,2.045,0.106,60827.12607,58733.21242,2093.91365,9.80E+27
SN2019yvs,S,3.262017736,0.713,0.088,60828.05281,58845.55899,1982.49382,1.13E+28
SN2020adhh,S,3.261569668,1.6,0.279,60852.602,58871.575,1981.027,9.39E+27
SN2020aqe,S,3.226546815,2.069,0.064,60827.03267,59200.3116,1626.72107,1.92E+28
SN2020nec,S,3.239417256,0.048,0.016,60853.5226,59021.587,1831.9356,4.36E+27
SN2020ywx,S,3.202812379,1.521,0.188,60839.16554,59157.62,1681.54554,1.74E+28
SN2021aefs,S,3.257692298,2.579,0.564,60828.01716,59527.272,1300.74516,1.36E+28
SN2021bmf,S,3.08966485,7.343,0.254,60825.39025,59244.613,1580.77725,2.93E+29
SN2021tcv,S,3.254468316,1.59,0.249,60831.59135,59406.596,1424.99535,1.11E+28
SN2022cb,S,3.29093232,0.888,0.129,60847.77266,59584.822,1262.95066,2.69E+28
SN2023rky,S,3.222429781,0.333,0.038,60848.41068,60193.336,655.07468,1.85E+27
SN2024ehs,S,3.231096891,0.102,0.007,60840.17381,60384.47002,455.70379,3.43E+25
