Name,MJD_1,MJD_2,Time_1,Time_2,Flux_1,Flux_2,RMS_1,RMS_2,Alpha
SN2018hon,58585.0,59549.0,0.3793452055,3.020441096,0.52,1.803,0.137,0.198,0.5993018261340801
SN2018hon,59549.0,60480.0,3.020441096,5.654057534,1.803,0.372,0.198,0.137,-2.517364418094707
SN2018hon,60480.0,60826.70367,5.654057534,6.603931507,0.372,0.532,0.137,0.089,2.303726406870891
SN2019aur,58652.0,59499.0,0.3383561644,2.65890411,0.977,0.414,0.146,0.154,-0.41648868362062896
SN2019aur,59499.0,60470.0,2.65890411,5.325309589,0.414,0.359,0.154,0.114,-0.2052295585312676
SN2019aur,60470.0,60840.76803,5.325309589,6.341112427,0.359,0.365,0.114,0.075,0.096
SN2019njv,59070.0,59978.0,0.9952082192,3.482879452,0.697,8.017,0.194,0.698,1.9498738144337173
SN2019njv,59978.0,60823.48927,3.482879452,5.797780822,8.017,5.902,0.698,0.48,-0.6009880036391063
SN2019pqo,59533.0,60481.0,2.17400274,4.788460274,0.359,0.938,0.128,0.158,1.2162870944761033
SN2019pqo,60481.0,60827.12607,4.788460274,5.736750685,0.938,2.045,0.158,0.299,4.313624276646559
SN2019wqq,59545.0,60461.0,1.96482465753,4.47279726027,0.45,3.15,0.152,0.212,2.3655289966890964
SN2019wqq,60461.0,60881.82798,4.47279726027,5.62575068493,3.15,5.705,0.212,0.569,2.589777207212005
SN2019yvs,59488.0,60471.0,1.748331507,4.453263014,0.389,0.894,0.126,0.148,0.8899984180621325
SN2019yvs,60471.0,60828.05281,4.453263014,5.431490411,0.894,0.713,0.148,0.076,-1.1392303345535746
SN2020adhh,59506.0,60435.0,0.8119479452,3.38270684932,1.479,0.697,0.148,0.123,-0.5272169169881394
SN2020adhh,60435.0,60852.602,3.38270684932,4.52682191781,0.697,1.6,0.123,0.571,2.8522083470867403
SN2020aqe,59154.0,60098.0,0.762030137,3.348331507,1.946,0.648,0.199,0.209,-0.7428842626792119
SN2020aqe,60098.0,60827.03267,3.348331507,5.357419178,0.648,2.614,0.209,0.313,2.9674175764879505
SN2020nec,59530.0,60486.0,1.36775616438,4.01209041096,0.507,0.289,0.109,0.112,-0.5223148239110043
SN2020nec,60486.0,60853.5226,4.01209041096,5.01900273973,0.289,0.082,0.112,0.021,-5.62573196517286
SN2020ywx,59969.0,60839.16554,2.213865753,4.606958904,2.923,1.521,0.253,0.16,-0.8913997269431184
SN2021aefs,60098.0,60828.01716,1.575591781,3.563684932,0.648,3.78,0.228,0.564,2.1608258036029486
SN2021bmf,59483.0,60479.0,0.6086054795,3.381882192,5.57,9.036,0.526,0.935,0.2821088167324621
SN2021bmf,60479.0,60825.39025,3.381882192,4.33089589,9.036,7.343,0.935,1.068,-0.838794518461025
SN2021tcv,59511.0,60455.0,0.2964410959,2.872339726,0.498,1.213,0.152,0.206,0.39200291939996057
SN2021tcv,60455.0,60831.59135,2.872339726,3.90409589,1.213,1.59,0.206,0.14,0.8818442690233456
SN2022cb,59975.0,60847.77258,1.068980822,3.460138567,0.954,0.888,0.164,0.114,-0.06103503211409493
SN2023axu,60104.0,60881.8024,0.36366301369,2.49229041096,0.686,0.333,0.157,0.047,-0.3754995394461142
SN2023rky,60489.0,60848.41062,0.8100383562,1.79472499,0.667,0.333,0.133,0.042,-0.8731933458530736
SN2024ehs,60431.0,60840.17381,0.1274794521,1.24850411,0.997,0.102,0.154,0.025,-0.9991373916311562
