Name,ZTF Name,Epoch,Type,Redshift,Right Ascension,Declination,MJD,Flux Density (mJy)
SN2018hon,ZTF18acbwopo,VLASS Epoch 1,II,0.081,19:41:16,+63:11:53.5,58585,0.52
SN2018hon,ZTF18acbwopo,VLASS Epoch 2,II,0.081,19:41:16,+63:11:53.6,59549,1.803
SN2018hon,ZTF18acbwopo,VLASS Epoch 3,II,0.081,19:41:16,+63:11:53.7,60480,0.372
SN2018hon,ZTF18acbwopo,25A-386 S Band,II,0.081,19:41:16,+63:11:53.8,60826.70367,0.532
SN2018hon,ZTF18acbwopo,25A-386 C Band,II,0.081,19:41:16,+63:11:53.9,60826.69123,0.281
SN2018hon,ZTF18acbwopo,25A-386 X Band,II,0.081,19:41:16,+63:11:53.10,60826.69748,0.164
SN2019aur,ZTF19aakkths,VLASS Epoch 1,IIb,0.0124,3:01:10,+41:23:45.7,58652,0.977
SN2019aur,ZTF19aakkths,VLASS Epoch 2,IIb,0.0124,3:01:10,+41:23:45.8,59499,0.414
SN2019aur,ZTF19aakkths,VLASS Epoch 3,IIb,0.0124,3:01:10,+41:23:45.9,60470,0.359
SN2019aur,ZTF19aakkths,25A-386 S Band,IIb,0.0124,3:01:10,+41:23:45.10,60840.76803,0.365
SN2019aur,ZTF19aakkths,25A-386 C Band,IIb,0.0124,3:01:10,+41:23:45.11,60867.52214,0.119
SN2019aur,ZTF19aakkths,25A-386 X Band,IIb,0.0124,3:01:10,+41:23:45.12,60840.79967,0.054
SN2019njv,ZTF19abpidqn,VLASS Epoch 1,IIn,0.01458,20:19:57,+15:22:38.7,58031,0.289
SN2019njv,ZTF19abpidqn,VLASS Epoch 2,IIn,0.01458,20:19:57,+15:22:38.8,59070,0.697
SN2019njv,ZTF19abpidqn,VLASS Epoch 3,IIn,0.01458,20:19:57,+15:22:38.9,59978,8.017
SN2019njv,ZTF19abpidqn,25A-386 S Band,IIn,0.01458,20:19:57,+15:22:38.10,60823.48927,5.902
SN2019njv,ZTF19abpidqn,25A-386 C Band,IIn,0.01458,20:19:57,+15:22:38.11,60823.48383,4.263
SN2019njv,ZTF19abpidqn,25A-386 X Band,IIn,0.01458,20:19:57,+15:22:38.12,60823.47776,2.779
SN2019pqo,ZTF19abxqppy,VLASS Epoch 1,IIb,0.01413,15:41:30,+15:47:03.2,58584,0.367
SN2019pqo,ZTF19abxqppy,VLASS Epoch 2,IIb,0.01413,15:41:30,+15:47:03.3,59533,0.359
SN2019pqo,ZTF19abxqppy,VLASS Epoch 3,IIb,0.01413,15:41:30,+15:47:03.4,60481,0.938
SN2019pqo,ZTF19abxqppy,25A-386 S Band,IIb,0.01413,15:41:30,+15:47:03.5,60827.12607,2.045
SN2019pqo,ZTF19abxqppy,25A-386 C Band,IIb,0.01413,15:41:30,+15:47:03.6,60827.13799,1.168
SN2019pqo,ZTF19abxqppy,25A-386 X Band,IIb,0.01413,15:41:30,+15:47:03.7,60827.13151,0.72
SN2019wqq,ZTF19acxxwvi,VLASS Epoch 1,IIb,0.01123,10:35:05,+46:33:38.2,58628,0.436
SN2019wqq,ZTF19acxxwvi,VLASS Epoch 2,IIb,0.01123,10:35:05,+46:33:38.3,59545,0.45
SN2019wqq,ZTF19acxxwvi,VLASS Epoch 3,IIb,0.01123,10:35:05,+46:33:38.4,60461,3.15
SN2019wqq,ZTF19acxxwvi,25A-386 S Band,IIb,0.01123,10:35:05,+46:33:38.5,60881.82798,3.53
SN2019wqq,ZTF19acxxwvi,25A-386 C Band,IIb,0.01123,10:35:05,+46:33:38.6,60881.82133,2.726
SN2019wqq,ZTF19acxxwvi,25A-386 X Band,IIb,0.01123,10:35:05,+46:33:38.7,60881.81484,0.713
SN2019yvs,ZTF19adcfsad,VLASS Epoch 1,Ib,0.0255,12:24:27,+13:13:57.8,58590,0.364
SN2019yvs,ZTF19adcfsad,VLASS Epoch 2,Ib,0.0255,12:24:27,+13:13:57.9,59488,0.389
SN2019yvs,ZTF19adcfsad,VLASS Epoch 3,Ib,0.0255,12:24:27,+13:13:57.10,60471,0.894
SN2019yvs,ZTF19adcfsad,25A-386 S Band,Ib,0.0255,12:24:27,+13:13:57.11,60828.05281,0.713
SN2019yvs,ZTF19adcfsad,25A-386 C Band,Ib,0.0255,12:24:27,+13:13:57.12,60828.0465,0.593
SN2019yvs,ZTF19adcfsad,25A-386 X Band,Ib,0.0255,12:24:27,+13:13:57.13,60828.04005,0.403
SN2020aqe,ZTF20aaieyup,VLASS Epoch 1,II,0.01225,4:43:46,+28:58:10.5,58157,0.411
SN2020aqe,ZTF20aaieyup,VLASS Epoch 2,II,0.01225,4:43:46,+28:58:10.6,59154,1.946
SN2020aqe,ZTF20aaieyup,VLASS Epoch 3,II,0.01225,4:43:46,+28:58:10.7,60098,0.648
SN2020aqe,ZTF20aaieyup,25A-386 S Band,II,0.01225,4:43:46,+28:58:10.8,60827.03267,2.069
SN2020aqe,ZTF20aaieyup,25A-386 C Band,II,0.01225,4:43:46,+28:58:10.9,60827.01837,0.55
SN2020aqe,ZTF20aaieyup,25A-386 X Band,II,0.01225,4:43:46,+28:58:10.10,60826.97592,0.233
SN2020adhh,ZTF20acytgxf,VLASS Epoch 1,II,0.022,11:43:30,-16:47:53,58580,0.413
SN2020adhh,ZTF20acytgxf,VLASS Epoch 2,II,0.022,11:43:30,-16:47:53,59506,1.479
SN2020adhh,ZTF20acytgxf,VLASS Epoch 3,II,0.022,11:43:30,-16:47:53,60435,0.697
SN2020adhh,ZTF20acytgxf,25A-386 S Band,II,0.022,11:43:30,-16:47:53,60852.602,1.6
SN2020adhh,ZTF20acytgxf,25A-386 C Band,II,0.022,11:43:30,-16:47:54,60852.58782,1.212
SN2020adhh,ZTF20acytgxf,25A-386 X Band,II,0.022,11:43:30,-16:47:54,60852.54231,0.858
SN2020nec,ZTF20abegirf,VLASS Epoch 1,II,0.045,1:41:57,+18:23:23.1,58551,0.347
SN2020nec,ZTF20abegirf,VLASS Epoch 2,II,0.045,1:41:57,+18:23:23.2,59530,0.507
SN2020nec,ZTF20abegirf,VLASS Epoch 3,II,0.045,1:41:57,+18:23:23.3,60486,0.289
SN2020nec,ZTF20abegirf,25A-386 S Band,II,0.045,1:41:57,+18:23:23.4,60853.5226,0.048
SN2020nec,ZTF20abegirf,25A-386 C Band,II,0.045,1:41:58,+18:23:23.5,60853.51461,0.014
SN2020nec,ZTF20abegirf,25A-386 X Band,II,0.045,1:41:58,+18:23:23.6,60853.4862,0.01
SN2020ywx,ZTF20acnvniw,VLASS Epoch 1,IIn,0.0217,11:53:26,+10:53:47.3,58121,0.314
SN2020ywx,ZTF20acnvniw,VLASS Epoch 2,IIn,0.0217,11:53:26,+10:53:47.4,59051,0.359
SN2020ywx,ZTF20acnvniw,VLASS Epoch 3,IIn,0.0217,11:53:26,+10:53:47.5,59969,2.923
SN2020ywx,ZTF20acnvniw,25A-386 S Band,IIn,0.0217,11:53:26,+10:53:47.6,60839.16554,1.521
SN2020ywx,ZTF20acnvniw,25A-386 C Band,IIn,0.0217,11:53:26,+10:53:47.7,60839.15935,0.894
SN2020ywx,ZTF20acnvniw,25A-386 X Band,IIn,0.0217,11:53:26,+10:53:47.8,60839.15283,0.609
SN2021aefs,ZTF21acpoujw,VLASS Epoch 1,IIn,0.01225,11:43:30,-16:47:50,58157,0.511
SN2021aefs,ZTF21acpoujw,VLASS Epoch 2,IIn,0.01225,11:43:30,-16:47:50,59154,1.946
SN2021aefs,ZTF21acpoujw,VLASS Epoch 3,IIn,0.01225,11:43:30,-16:47:50,60098,0.648
SN2021aefs,ZTF21acpoujw,25A-386 S Band,IIn,0.01225,11:43:30,-16:47:50,60828.01716,3.78
SN2021aefs,ZTF21acpoujw,25A-386 C Band,IIn,0.01225,11:43:30,-16:47:50,60828.0042,0.674
SN2021aefs,ZTF21acpoujw,25A-386 X Band,IIn,0.01225,11:43:30,-16:47:51,60827.97547,0.226
SN2021bmf,ZTF21aagtpro,VLASS Epoch 1,Ic-BL,0.04,16:33:29,-6:22:49,58651,0.284
SN2021bmf,ZTF21aagtpro,VLASS Epoch 2,Ic-BL,0.04,16:33:29,-6:22:50,59483,5.57
SN2021bmf,ZTF21aagtpro,VLASS Epoch 3,Ic-BL,0.04,16:33:29,-6:22:50,60479,9.036
SN2021bmf,ZTF21aagtpro,25A-386 S Band,Ic-BL,0.04,16:33:29,-6:22:50,60825.39025,7.343
SN2021bmf,ZTF21aagtpro,25A-386 C Band,Ic-BL,0.04,16:33:29,-6:22:50,60825.38417,4.199
SN2021bmf,ZTF21aagtpro,25A-386 X Band,Ic-BL,0.04,16:33:29,-6:22:50,60825.37793,2.831
SN2021tcv,ZTF21ablwehd,VLASS Epoch 1,II,0.017,2:11:34,+43:58:47.1,58587,0.343
SN2021tcv,ZTF21ablwehd,VLASS Epoch 2,II,0.017,2:11:34,+43:58:47.2,59511,0.498
SN2021tcv,ZTF21ablwehd,VLASS Epoch 3,II,0.017,2:11:34,+43:58:47.3,60455,1.213
SN2021tcv,ZTF21ablwehd,25A-386 S Band,II,0.017,2:11:34,+43:58:47.4,60831.59135,1.59
SN2021tcv,ZTF21ablwehd,25A-386 C Band,II,0.017,2:11:34,+43:58:47.5,60831.60443,1.27
SN2021tcv,ZTF21ablwehd,25A-386 X Band,II,0.017,2:11:34,+43:58:47.6,60831.5979,0.85
SN2022cb,ZTF22aaagrce,VLASS Epoch 1,Ib,0.035,2:45:09,+13:14:19.1,58122,0.268
SN2022cb,ZTF22aaagrce,VLASS Epoch 2,Ib,0.035,2:45:09,+13:14:19.2,59063,0.568
SN2022cb,ZTF22aaagrce,VLASS Epoch 3,Ib,0.035,2:45:09,+13:14:19.3,59975,0.954
SN2022cb,ZTF22aaagrce,25A-386 S Band,Ib,0.035,2:45:09,+13:14:19.4,60847.77266,0.888
SN2022cb,ZTF22aaagrce,25A-386 C Band,Ib,0.035,2:45:09,+13:14:19.5,60847.76016,0.667
SN2022cb,ZTF22aaagrce,25A-386 X Band,Ib,0.035,2:45:09,+13:14:19.6,60847.78106,0.368
SN2023axu,ZTF23aabngtm,VLASS Epoch 1,II,0.0028,6:45:55,-18:13:54,58167,0.315
SN2023axu,ZTF23aabngtm,VLASS Epoch 2,II,0.0028,6:45:55,-18:13:54,59154,0.436
SN2023axu,ZTF23aabngtm,VLASS Epoch 3,II,0.0028,6:45:55,-18:13:54,60104,0.686
SN2023axu,ZTF23aabngtm,25A-386 S Band,II,0.0028,6:45:55,-18:13:54,60881.8024,0.333
SN2023axu,ZTF23aabngtm,25A-386 C Band,II,0.0028,6:45:55,-18:13:54,60881.79673,0.13
SN2023axu,ZTF23aabngtm,25A-386 X Band,II,0.0028,6:45:55,-18:13:53,60881.78991,0.071
SN2023rky,ZTF23abbccir,VLASS Epoch 1,II,0.01519,0:47:53,+19:35:37.0,58608,0.391
SN2023rky,ZTF23abbccir,VLASS Epoch 2,II,0.01519,0:47:53,+19:35:37.1,59525,0.286
SN2023rky,ZTF23abbccir,VLASS Epoch 3,II,0.01519,0:47:53,+19:35:37.2,60489,0.667
SN2023rky,ZTF23abbccir,25A-386 S Band,II,0.01519,0:47:53,+19:35:37.3,60848.41062,0.333
SN2023rky,ZTF23abbccir,25A-386 C Band,II,0.01519,0:47:53,+19:35:37.4,60848.3976,0.17
SN2023rky,ZTF23abbccir,25A-386 X Band,II,0.01519,0:47:53,+19:35:37.5,60848.36748,0.096
SN2024ehs,ZTF24aahgqwk,VLASS Epoch 1,II,0.00377,10:53:01,+17:34:21.3,58157,0.309
SN2024ehs,ZTF24aahgqwk,VLASS Epoch 2,II,0.00377,10:53:01,+17:34:21.4,59535,0.333
SN2024ehs,ZTF24aahgqwk,VLASS Epoch 3,II,0.00377,10:53:01,+17:34:21.5,60431,0.997
SN2024ehs,ZTF24aahgqwk,25A-386 S Band,II,0.00377,10:53:01,+17:34:21.6,60840.17381,0.102
SN2024ehs,ZTF24aahgqwk,25A-386 C Band,II,0.00377,10:53:01,+17:34:21.7,60840.16768,0.029
SN2024ehs,ZTF24aahgqwk,25A-386 X Band,II,0.00377,10:53:01,+17:34:21.8,60840.16137,0.028
