Name,MJD,Flux,RMS,ExplosionDate,TimeSinceExplosion,Status,Redshift,luminosity (erg/s/Hz),PredictedFlux,TimeSinceYears,CalculatedFlux
SN2018hon,58585,0.52,0.137,58416.26899,168.73101,real,0.081,9.74E+28,,0.3793452055,
SN2018hon,59549,1.803,0.198,,1102.461,real,0.081,3.38E+29,,3.020441096,
SN2018hon,60480,0.372,0.137,,2063.731,real,0.081,6.97E+28,,5.654057534,
SN2018hon,60826.70367,0.532,0.089,,2410.435,upper,0.081,9.96E+28,0.8,6.603931507,
SN2019aur,58652,0.977,0.146,58526.26199,123.5,real,0.0124,3.64E+27,,0.3383561644,
SN2019aur,59499,0.414,0.154,,970.5,real,0.0124,1.54E+27,,2.65890411,
SN2019aur,60470,0.359,0.114,,1943.738,real,0.0124,1.34E+27,,5.325309589,
SN2019aur,60840.76803,0.365,0.075,,2314.506036,real,0.0124,1.36E+27,0.05,6.341112427,
SN2019njv,58031,0.289,0.111,58707.29899,-675.749,real,0.01458,1.50E+27,,-1.851367123,
SN2019njv,59070,0.697,0.194,,363.251,real,0.01458,3.61E+27,,0.9952082192,
SN2019njv,59978,8.017,0.698,,1271.251,real,0.01458,4.15E+28,,3.482879452,
SN2019njv,60823.48927,5.902,0.48,,2116.19,real,0.01458,3.06E+28,4.7,5.797780822,
SN2019pqo,58584,0.367,0.125,58733.21242,-155.489,real,0.01413,1.78E+27,,-0.4259972603,
SN2019pqo,59533,0.359,0.128,,793.511,real,0.01413,1.74E+27,,2.17400274,
SN2019pqo,60481,0.938,0.158,,1747.788,real,0.01413,4.56E+27,,4.788460274,
SN2019pqo,60827.12607,2.045,0.299,,2093.914,real,0.01413,9.94E+27,0.8,5.736750685,
SN2019yvs,58590,0.364,0.157,58845.55899,-259.859,real,0.0255,5.92E+27,,-0.7119424658,
SN2019yvs,59488,0.389,0.126,,638.141,real,0.0255,6.33E+27,,1.748331507,
SN2019yvs,60471,0.894,0.148,,1625.441,real,0.0255,1.46E+28,,4.453263014,
SN2019yvs,60828.05281,0.713,0.076,,1982.494,real,0.0255,1.16E+28,0.8,5.431490411,
SN2020adhh,58580.0,0.413,0.153,59200.31159722222,-629.639,upper,0.022,4.960735608031485e+27,,-1.72503835616,
SN2020adhh,59506.0,1.479,0.148,,296.361,real,0.022,1.7764958751279825e+28,,0.8119479452,
SN2020adhh,60435.0,0.697,0.123,,1234.688,real,0.022,8.371992055200835e+27,,3.38270684932,
SN2020adhh,60852.602,1.6,0.571,,1652.29,real,0.022,1.9218346181235778e+28,,4.52682191781,
SN2020aqe,58157,0.411,0.122,58871.575,-718.859,real,0.01225,1.49E+27,,-1.969476712,
SN2020aqe,59154,1.946,0.199,,278.141,real,0.01225,7.07E+27,,0.762030137,
SN2020aqe,60098,0.648,0.209,,1222.141,real,0.01225,2.36E+27,,3.348331507,
SN2020aqe,60827.03267,2.614,0.313,,1955.458,upper,0.01225,9.50E+27,0.3,5.357419178,1.5161
SN2020nec,58551.0,0.347,0.144,59021.587,-479.769,real,0.045,1.8439247177111156e+28,,-1.31443561644,
SN2020nec,59530.0,0.507,0.109,,499.231,real,0.045,2.6941493714107652e+28,,1.36775616438,
SN2020nec,60486.0,0.289,0.112,,1464.413,real,0.045,1.5357182807449922e+28,,4.01209041096,
SN2020nec,60853.5226,0.082,0.021,,1831.936,real,0.045,4.3574013502107056e+27,0.4,5.01900273973,
SN2020ywx,58121,0.314,0.161,59157.62,-1039.939,real,0.0217,3.67E+27,,-2.849147945,
SN2020ywx,59051,0.359,0.12,,-109.939,real,0.0217,4.19E+27,,-0.3012027397,
SN2020ywx,59969,2.923,0.253,,808.061,real,0.0217,3.41E+28,,2.213865753,
SN2020ywx,60839.16554,1.521,0.16,,1681.54,real,0.0217,1.78E+28,1.3,4.606958904,
SN2021aefs,58157,0.511,0.13,59527.272,-1365.909,real,0.01225,1.86E+27,,-3.742216438,
SN2021aefs,59154,1.946,0.216,,-368.909,real,0.01225,7.07E+27,,-1.010709589,
SN2021aefs,60098,0.648,0.228,,575.091,real,0.01225,2.36E+27,,1.575591781,
SN2021aefs,60828.01716,3.78,0.564,,1300.745,upper,0.01225,1.37E+28,0.3,3.563684932,
SN2021bmf,58651,0.284,0.139,59244.613,-609.859,real,0.04,1.18E+28,,-1.670846575,
SN2021bmf,59483,5.57,0.526,,222.141,real,0.04,2.31E+29,,0.6086054795,
SN2021bmf,60479,9.036,0.935,,1234.387,real,0.04,3.75E+29,,3.381882192,
SN2021bmf,60825.39025,7.343,1.068,,1580.777,real,0.04,3.05E+29,0.8,4.33089589,
SN2021tcv,58587,0.343,0.11,59406.596,-815.799,real,0.017,2.43E+27,,-2.235065753,
SN2021tcv,59511,0.498,0.152,,108.201,real,0.017,3.53E+27,,0.2964410959,
SN2021tcv,60455,1.213,0.206,,1048.404,real,0.017,8.59E+27,,2.872339726,
SN2021tcv,60831.59135,1.59,0.14,,1424.995,real,0.017,1.13E+28,1,3.90409589,
SN2022cb,58122,0.268,0.117,59584.822,-1462.822,real,0.035,8.41E+27,,-3.90409589,
SN2022cb,59063,0.568,0.204,,-521.822,real,0.035,1.78E+28,,-1.429649315,
SN2022cb,59975,0.954,0.164,,390.178,real,0.035,2.99E+28,,1.068980822,
SN2022cb,60847.77258,0.888,0.114,,1262.950577,real,0.035,2.79E+28,0.5,3.460138567,
SN2023rky,58608,0.391,0.164,60193.336,-1584.686,real,0.01519,2.20E+27,,-4.341605479,
SN2023rky,59525,0.286,0.153,,-667.98,real,0.01519,1.61E+27,,-1.830082192,
SN2023rky,60489,0.667,0.133,,295.664,real,0.01519,3.76E+27,,0.8100383562,
SN2023rky,60848.41062,0.333,0.042,,655.0746215,real,0.01519,1.87E+27,0.4,1.79472499,
SN2024ehs,58157,0.309,0.135,60384.47002,-1801.659,real,0.00377,1.04E+26,,-4.936052055,
SN2024ehs,59535,0.333,0.127,,-859.659,real,0.00377,1.12E+26,,-2.355230137,
SN2024ehs,60431,0.997,0.154,,46.53,real,0.00377,3.36E+26,,0.1274794521,
SN2024ehs,60840.17381,0.102,0.025,,455.704,real,0.00377,3.44E+25,1,1.24850411,
