SN,mjd obs,flux (mJy),mjd exp date,dt (days),dt (years),redshift,Luminosity,classification,status,type
SN1982F,45943,1.16,45024,919,2.517808219,,5.34E+25,II,real,IIP
SN1982F,46057,0.18,45024,1033,2.830136986,,8.28E+24,II,real,IIP
SN1985G,46192,0.212,46141,51,0.1397260274,,1.11E+26,II,real,IIP
SN1985G,46309,0.675,46141,168,0.4602739726,,3.53E+26,II,real,IIP
SN1985G,46779,0.623,46141,638,1.747945205,,3.26E+26,II,real,IIP
SN1985H,46192,0.155,46167,25,0.06849315068,,4.75E+25,II,real,II
SN1985H,47192,0.3,46167,1025,2.808219178,,9.19E+25,II,real,II
SN1987K,47052,2.6,47007,45,0.1232876712,,8.47E+26,II,real,IIb
SN1987K,47882,0.634,47007,875,2.397260274,,2.07E+26,II,real,IIb
SN1987K,49401,0.225,47007,2394,6.55890411,,7.33E+25,II,real,IIb
SN1989L,47884,0.254,47650,234,0.6410958904,,1.47E+26,II,real,II
SN1989L,47938,0.162,47650,288,0.7890410959,,9.38E+25,II,real,II
SN1989L,48016,0.204,47650,366,1.002739726,,1.18E+26,II,real,II
SN1990K,48041,0.149,48025,16,0.04383561644,,9.76E+25,II,real,II
SN1990K,49023,0.114,48025,998,2.734246575,,7.47E+25,II,real,II
SN1991G,48912,0.487,48279,633,1.734246575,,1.13E+26,II,real,IIP
SN1991G,50705,0.069,48279,2426,6.646575342,,1.60E+25,II,real,IIP
SN1992H,49059,0.084,48663,396,1.084931507,,1.24E+26,II,real,II
SN1992H,49975,0.269,48663,1312,3.594520548,,3.97E+26,II,real,II
SN1992ad,49286,0.4,48803,483,1.323287671,,2.40E+26,II,real,II
SN1992ad,50223,0.15,48803,1420,3.890410959,,9.01E+25,II,real,II
SN1992bd,48926,0.081,48907,19,0.05205479452,,2.77E+25,II,real,II
SN1992bd,49011,0.132,48907,104,0.2849315068,,4.51E+25,II,real,II
SN1992bd,49023,0.141,48907,116,0.3178082192,,4.82E+25,II,real,II
SN1992bd,49477,0.249,48907,570,1.561643836,,8.51E+25,II,real,II
SN1992bd,49726,0.3,48907,819,2.243835616,,1.03E+26,II,real,II
SN1994P,49495,0.108,49372,123,0.3369863014,,4.96E+25,II,real,II
SN1994P,49562,0.061,49372,190,0.5205479452,,2.80E+25,II,real,II
SN1994P,49975,0.235,49372,603,1.652054795,,1.08E+26,II,real,II
SN1995X,49975,0.336,49932,43,0.1178082192,,2.61E+26,II,real,II
SN1995X,50973,0.143,49932,1041,2.852054795,,1.11E+26,II,real,II
SN1995X,50981,0.102,49932,1049,2.873972603,,7.94E+25,II,real,II
SN1995X,51834,0.177,49932,1902,5.210958904,,1.38E+26,II,real,II
SN1996W,50379,0.19,50183,196,0.5369863014,,3.38E+25,II,real,II
SN1996W,50471,0.264,50183,288,0.7890410959,,4.70E+25,II,real,II
SN1996W,50822,0.208,50183,639,1.750684932,,3.70E+25,II,real,II
SN1996an,50312,0.279,50233,79,0.2164383562,,1.22E+26,II,real,II
SN1996an,50361,1.029,50233,128,0.3506849315,,4.49E+26,II,real,II
SN1996an,50361,0.45,50233,128,0.3506849315,,1.96E+26,II,real,II
SN1996cb,50450,0.99,50429,21,0.05753424658,,2.29E+26,II,real,IIb
SN1996cb,50465,0.26,50429,36,0.09863013699,,6.01E+25,II,real,IIb
SN1997W,51479,0.106,50480,999,2.736986301,,7.92E+26,II,real,II
SN1997W,51834,0.206,50480,1354,3.709589041,,1.54E+27,II,real,II
SN1997db,50854,0.06,50662,192,0.5260273973,,2.56E+25,II,real,II
SN1997db,51346,0.111,50662,684,1.873972603,,4.74E+25,II,real,II
SN1997db,51834,0.145,50662,1172,3.210958904,,6.20E+25,II,real,II
SN1998bm,50929,0.18,50924,5,0.01369863014,,1.31E+26,II,real,II
SN1998bm,51480,0.139,50924,556,1.523287671,,1.01E+26,II,real,II
SN1998dl,51062,0.112,51027,35,0.09589041096,,4.89E+25,II,real,IIP
SN1998dl,51346,0.141,51027,319,0.8739726027,,6.15E+25,II,real,IIP
SN1998dn,51346,0.117,51044,302,0.8273972603,,2.63E+25,II,real,II
SN1998dn,51834,0.188,51044,790,2.164383562,,4.22E+25,II,real,II
SN1999D,51236,0.3,51194,42,0.1150684932,,9.93E+26,II,real,II
SN1999D,51480,0.213,51194,286,0.7835616438,,7.05E+26,II,real,II
SN1999em,51487,0.264,51475,12,0.03287671233,,4.18E+25,II,real,IIP
SN1999em,51513,0.162,51475,38,0.104109589,,2.56E+25,II,real,IIP
SN1999em,51525,0.194,51475,50,0.1369863014,,3.07E+25,II,real,IIP
SN1999em,51539,0.128,51475,64,0.1753424658,,2.03E+25,II,real,IIP
SN1999em,51588,0.105,51475,113,0.3095890411,,1.66E+25,II,real,IIP
SN1999gi,51525,0.087,51518,7,0.01917808219,,1.60E+25,II,real,IIP
SN1999gi,51731,0.2,51518,213,0.5835616438,,3.68E+25,II,real,IIP
SN1999gi,53020,0.096,51518,1502,4.115068493,,1.77E+25,II,real,IIP
SN1999gq,51555,0.147,51535,20,0.05479452055,,4.91E+25,II,real,IIP
SN1999gq,51555,0.154,51535,20,0.05479452055,,5.14E+25,II,real,IIP
SN2002hh,52583,0.483,52578,5,0.01369863014,,1.81E+25,II,real,II
SN2002hh,52585,0.522,52578,7,0.01917808219,,1.96E+25,II,real,II
SN2002hh,52585,0.192,52578,7,0.01917808219,,7.20E+24,II,real,II
SN2002hh,52593,0.81,52578,15,0.04109589041,,3.04E+25,II,real,II
SN2002hh,52605,1.333,52578,27,0.07397260274,,5.00E+25,II,real,II
SN2002hh,52613,1.3,52578,35,0.09589041096,,4.88E+25,II,real,II
SN2003ed,52863,3.697,52759,104,0.2849315068,,2.81E+27,II,real,II
SN2003ed,52997,2.423,52759,238,0.6520547945,,1.84E+27,II,real,II
SN2003ed,53030,2.321,52759,271,0.7424657534,,1.76E+27,II,real,II
SN2003gd,52807,0.24,52715,92,0.2520547945,,2.12E+25,II,real,IIP
SN2003gd,52824,0.2,52715,109,0.298630137,,1.77E+25,II,real,IIP
SN2003gd,52872,0.123,52715,157,0.4301369863,,1.09E+25,II,real,IIP
SN2003gd,52917,0.222,52715,202,0.5534246575,,1.96E+25,II,real,IIP
SN2003gd,53057,0.2,52715,342,0.9369863014,,1.77E+25,II,real,IIP
SN2003ie,53030,0.181,52901,129,0.3534246575,,4.06E+25,II,real,IIP
SN2003ie,53039,0.178,52901,138,0.3780821918,,4.00E+25,II,real,IIP
SN2003ie,53258,0.166,52901,357,0.9780821918,,3.73E+25,II,real,IIP
SN2003ie,54873,0.171,52901,1972,5.402739726,,3.84E+25,II,real,IIP
SN2004A,53025,0.163,53010,15,0.04109589041,,5.64E+25,II,real,IIP
SN2004A,53033,0.442,53010,23,0.06301369863,,1.53E+26,II,real,IIP
SN2004A,53039,0.188,53010,29,0.07945205479,,6.50E+25,II,real,IIP
SN2004A,53085,0.152,53010,75,0.2054794521,,5.26E+25,II,real,IIP
SN2004A,53117,0.211,53010,107,0.2931506849,,7.30E+25,II,real,IIP
SN2004A,53138,0.194,53010,128,0.3506849315,,6.71E+25,II,real,IIP
SN2004am,52957,0.34,52950,7,0.01917808219,,5.87E+24,II,real,IIP
SN2004am,52957,1,52950,7,0.01917808219,,1.73E+25,II,real,IIP
SN2004am,53258,2.529,52950,308,0.8438356164,,4.37E+25,II,real,IIP
SN2004am,53258,3.039,52950,308,0.8438356164,,5.25E+25,II,real,IIP
SN2004am,53283,0.996,52950,333,0.9123287671,,1.72E+25,II,real,IIP
SN2004et,53278,0.291,53270,8,0.02191780822,,1.09E+25,II,real,IIP
SN2004et,53283,0.341,53270,13,0.03561643836,,1.28E+25,II,real,IIP
SN2004et,53283,0.33,53270,13,0.03561643836,,1.24E+25,II,real,IIP
SN2004et,53285,0.641,53270,15,0.04109589041,,2.41E+25,II,real,IIP
SN2004et,53290,1.091,53270,20,0.05479452055,,4.09E+25,II,real,IIP
SN2004et,53301,1.316,53270,31,0.08493150685,,4.94E+25,II,real,IIP
SN2004et,53308,1.866,53270,38,0.104109589,,7.00E+25,II,real,IIP
SN2004et,53315,1.993,53270,45,0.1232876712,,7.48E+25,II,real,IIP
SN2004et,53330,1.798,53270,60,0.1643835616,,6.75E+25,II,real,IIP
SN2004et,53339,1.919,53270,69,0.1890410959,,7.20E+25,II,real,IIP
SN2004et,53349,1.771,53270,79,0.2164383562,,6.65E+25,II,real,IIP
SN2004et,53408,1.081,53270,138,0.3780821918,,4.06E+25,II,real,IIP
SN2004et,53421,1.23,53270,151,0.4136986301,,4.62E+25,II,real,IIP
SN2005U,53409,0.3,53398,11,0.0301369863,,1.01E+27,II,real,IIb
SN2005U,53534,1,53398,136,0.3726027397,,3.37E+27,II,real,IIb
SN2005ay,53475,0.082,53450,25,0.06849315068,,1.58E+25,II,real,IIP
SN2005ay,53534,0.188,53450,84,0.2301369863,,3.63E+25,II,real,IIP
SN2005ay,53556,0.12,53450,106,0.2904109589,,2.32E+25,II,real,IIP
SN2005ay,53800,0.12,53450,350,0.9589041096,,2.32E+25,II,real,IIP
SN2005dl,53828,0.521,53607,221,0.6054794521,,2.59E+26,II,real,II
SN2005dl,57648,0.033,53607,4041,11.07123288,,1.64E+25,II,real,II
SN2006bp,53843,0.11,53834,9,0.02465753425,,3.63E+25,II,real,IIP
SN2006bp,53843,0.217,53834,9,0.02465753425,,7.15E+25,II,real,IIP
SN2006bp,53843,0.498,53834,9,0.02465753425,,1.64E+26,II,real,IIP
SN2006bp,54003,0.12,53834,169,0.4630136986,,3.96E+25,II,real,IIP
SN2006my,54051,0.441,53948,103,0.2821917808,,1.44E+26,II,real,IIP
SN2006my,54052,1.5,53948,104,0.2849315068,,4.89E+26,II,real,IIP
SN2006my,54052,2.1,53948,104,0.2849315068,,6.84E+26,II,real,IIP
SN2006my,54874,0.423,53948,926,2.536986301,,1.38E+26,II,real,IIP
SN2006ov,54068,0.396,54034,34,0.09315068493,,1.01E+26,II,real,IIP
SN2006ov,54068,0.138,54034,34,0.09315068493,,3.52E+25,II,real,IIP
SN2006ov,54074,0.287,54034,40,0.1095890411,,7.32E+25,II,real,IIP
SN2006ov,54831,0.32,54034,797,2.183561644,,8.16E+25,II,real,IIP
SN2008ax,54532,1.19,54528,4,0.01095890411,,5.47E+25,II,real,IIb
SN2008ax,54532,5.802,54528,4,0.01095890411,,2.67E+26,II,real,IIb
SN2008ax,54535,3.94,54528,7,0.01917808219,,1.81E+26,II,real,IIb
SN2008ax,54535,6.742,54528,7,0.01917808219,,3.10E+26,II,real,IIb
SN2008ax,54536,4.278,54528,8,0.02191780822,,1.97E+26,II,real,IIb
SN2008ax,54536,2.082,54528,8,0.02191780822,,9.58E+25,II,real,IIb
SN2008ax,54537,4.63,54528,9,0.02465753425,,2.13E+26,II,real,IIb
SN2008ax,54537,3.016,54528,9,0.02465753425,,1.39E+26,II,real,IIb
SN2008ax,54538,4.934,54528,10,0.02739726027,,2.27E+26,II,real,IIb
SN2008ax,54538,2.934,54528,10,0.02739726027,,1.35E+26,II,real,IIb
SN2008ax,54542,4.807,54528,14,0.03835616438,,2.21E+26,II,real,IIb
SN2008ax,54542,2.37,54528,14,0.03835616438,,1.09E+26,II,real,IIb
