SN,mjd obs,flux (mJy),mjd exp date,dt (days),dt (years),redshift,Luminosity,classification,status,type
SN1987F,47882,0.43,46876,1006,2.756164384,,3.26E+27,IIn,real,IIn
SN1987F,47935,0.18,46876,1059,2.901369863,,1.36E+27,IIn,real,IIn
SN1987F,48239,0.18,46876,1363,3.734246575,,1.36E+27,IIn,real,IIn
SN1987F,49008,0.09,46876,2132,5.84109589,,6.82E+26,IIn,real,IIn
SN1993N,49401,0.11,49092,309,0.8465753425,,3.32E+26,IIn,real,IIn
SN1993N,50471,0.186,49092,1379,3.778082192,,5.61E+26,IIn,real,IIn
SN1994W,49586,0.146,49563,23,0.06301369863,,1.13E+26,IIn,real,IIn-P
SN1994W,49975,0.167,49563,412,1.128767123,,1.29E+26,IIn,real,IIn-P
SN1994W,51479,0.171,49563,1916,5.249315068,,1.32E+26,IIn,real,IIn-P
SN1994W,51479,0.171,49563,1916,5.249315068,,1.32E+26,IIn,real,IIn-P
SN1996ae,50245,0.292,50109,136,0.3726027397,,1.38E+26,IIn,real,IIn
SN1996ae,50312,0.279,50109,203,0.5561643836,,1.32E+26,IIn,real,IIn
SN1996ae,50379,0.165,50109,270,0.7397260274,,7.82E+25,IIn,real,IIn
SN1996ae,51346,0.193,50109,1237,3.389041096,,9.14E+25,IIn,real,IIn
SN1996bu,50421,0.162,50401,20,0.05479452055,,2.06E+25,IIn,real,IIn
SN1996bu,51480,0.129,50401,1079,2.956164384,,1.64E+25,IIn,real,IIn
SN1997ab,50714,0.125,50184,530,1.452054795,,4.35E+26,IIn,real,IIn
SN1997ab,50854,0.251,50184,670,1.835616438,,8.72E+26,IIn,real,IIn
SN1997ab,50973,0.193,50184,789,2.161643836,,6.71E+26,IIn,real,IIn
SN1998S,50964,0.097,50872,92,0.2520547945,,2.58E+25,IIn,real,IIn
SN1998S,50973,0.129,50872,101,0.2767123288,,3.43E+25,IIn,real,IIn
SN1998S,51105,0.175,50872,233,0.6383561644,,4.65E+25,IIn,real,IIn
SN1998S,51479,1.08,50872,607,1.663013699,,2.87E+26,IIn,real,IIn
SN1998S,51934,0.775,50872,1062,2.909589041,,2.06E+26,IIn,real,IIn
SN1998S,53033,0.679,50872,2161,5.920547945,,1.80E+26,IIn,real,IIn
SN1998S,54248,0.19,50872,3376,9.249315068,,5.05E+25,IIn,real,IIn
SN1999el,51479,0.101,51471,8,0.02191780822,,6.45E+25,IIn,real,IIn
SN1999el,51834,0.145,51471,363,0.9945205479,,9.26E+25,IIn,real,IIn
SN2000P,51689,0.378,51611,78,0.2136986301,,4.12E+26,IIn,real,IIn
SN2000P,51834,0.09,51611,223,0.6109589041,,9.82E+25,IIn,real,IIn
SN2005kd,53695,0.454,53684,11,0.0301369863,,2.62E+27,IIn,real,IIn
SN2005kd,53695,1.011,53684,11,0.0301369863,,5.83E+27,IIn,real,IIn
SN2005kd,53725,0.362,53684,41,0.1123287671,,2.09E+27,IIn,real,IIn
SN2005kd,53725,0.99,53684,41,0.1123287671,,5.71E+27,IIn,real,IIn
SN2005kd,54371,0.16,53684,687,1.882191781,,9.22E+26,IIn,real,IIn
