SN,mjd obs,flux (mJy),mjd exp date,dt (days),dt (years),redshift,Luminosity,classification,status,type
SN1985F,46142,0.189,45789,353,0.9671232877,,1.17E+25,Ib/c,real,Ib/c
SN1985F,46277,0.33,45789,488,1.336986301,,2.05E+25,Ib/c,real,Ib/c
SN1994I,49495,9.81,49442,53,0.1452054795,,7.33E+26,Ib/c,real,Ic
SN1994I,49504,7.15,49442,62,0.1698630137,,5.34E+26,Ib/c,real,Ic
SN1997X,50485,1.256,50473,12,0.03287671233,,6.82E+26,Ib/c,real,Ib/c
SN1997X,52929,0.123,50473,2456,6.728767123,,6.68E+25,Ib/c,real,Ib/c
SN2001ci,52066,1.166,52020,46,0.1260273973,,3.75E+26,Ib/c,real,Ic
SN2001ci,52435,0.133,52020,415,1.136986301,,4.28E+25,Ib/c,real,Ic
SN2004C,53043,2.154,52996,47,0.1287671233,,2.74E+27,Ib/c,real,Ic
SN2004C,54919,0.71,52996,1923,5.268493151,,9.03E+26,Ib/c,real,Ic
SN2007C,54111,0.825,54097,14,0.03835616438,,5.09E+26,Ib/c,real,Ib
SN2007C,54139,0.25,54097,42,0.1150684932,,1.54E+26,Ib/c,real,Ib
