SN,mjd obs,flux (mJy),mjd exp date,dt (days),dt (years),redshift,Luminosity,classification,status
SN1986J,55813,1.76,46663,9150,25.06849315,0.001763,1.28848110086407000E+26,archival_none,real
SN1986J,55822,1.79,46663,9159,25.09315068,0.001763,1.31044384690152000E+26,archival_none,real
SN1986J,56027,1.82,46663,9364,25.65479452,0.001763,1.33240659293898000E+26,archival_none,real
SN1986J,56952,1.62,46663,10289,28.1890411,0.001763,1.18598828602261000E+26,VLASS_none,real
SN2003bg,52715,2.75,52695,20,0.05479452055,0.004403,1.26078386479751000E+27,archival_poor,real
SN2003bg,52727,8.87,52695,32,0.08767123288,0.004403,4.06660104754688000E+27,archival_poor,real
SN2003bg,52740,14.88,52695,45,0.1232876712,0.004403,6.82198687570436000E+27,archival_poor,real
SN2003bg,52750,22.37,52695,55,0.1506849315,0.004403,1.02559036565528000E+28,archival_poor,real
SN2003bg,52755,24.62,52695,60,0.1643835616,0.004403,1.12874540913871000E+28,archival_poor,real
SN2003bg,52765,28.85,52695,70,0.1917808219,0.004403,1.32267689088757000E+28,archival_poor,real
SN2003bg,52777,31.14,52695,82,0.2246575342,0.004403,1.42766580181071000E+28,archival_poor,real
SN2003bg,52783,32.42,52695,88,0.2410958904,0.004403,1.48634955988128000E+28,archival_poor,real
SN2003bg,52807,39.07,52695,112,0.3068493151,0.004403,1.79123002173232000E+28,archival_poor,real
SN2003bg,52820,47.37,52695,125,0.3424657534,0.004403,2.17175751547120000E+28,archival_poor,real
SN2003bg,52824,48.81,52695,129,0.3534246575,0.004403,2.23777674330060000E+28,archival_poor,real
SN2003bg,52834,52.69,52695,139,0.3808219178,0.004403,2.41566188495203000E+28,archival_poor,real
SN2003bg,52849,52.81,52695,154,0.4219178082,0.004403,2.42116348727115000E+28,archival_poor,real
SN2003bg,52853,50.84,52695,158,0.4328767123,0.004403,2.33084551586565000E+28,archival_poor,real
SN2003bg,52873,45.19,52695,178,0.4876712329,0.004403,2.07181174000725000E+28,archival_poor,real
SN2003bg,52893,40.1,52695,198,0.5424657534,0.004403,1.83845210830473000E+28,archival_poor,real
SN2003bg,52906,39.65,52695,211,0.5780821918,0.004403,1.81782109960805000E+28,archival_poor,real
SN2003bg,52919,36.45,52695,224,0.6136986301,0.004403,1.67111170443161000E+28,archival_poor,real
SN2003bg,52934,36.53,52695,239,0.6547945205,0.004403,1.67477943931102000E+28,archival_poor,real
SN2003bg,52947,34.56,52695,252,0.6904109589,0.004403,1.58446146790552000E+28,archival_poor,real
SN2003bg,52958,33.87,52695,263,0.7205479452,0.004403,1.55282725457061000E+28,archival_poor,real
SN2003bg,52977,33.12,52695,282,0.7726027397,0.004403,1.51844224007613000E+28,archival_poor,real
SN2003bg,52992,33.19,52695,297,0.8136986301,0.004403,1.52165150809561000E+28,archival_poor,real
SN2003bg,53018,32.9,52695,323,0.8849315068,0.004403,1.50835596915775000E+28,archival_poor,real
SN2003bg,53029,31.66,52695,334,0.9150684932,0.004403,1.45150607852688000E+28,archival_poor,real
SN2003bg,53043,30.9,52695,348,0.9534246575,0.004403,1.41666259717247000E+28,archival_poor,real
SN2003bg,53060,28.73,52695,365,1,0.004403,1.31717528856845000E+28,archival_poor,real
SN2003bg,53102,23.88,52695,407,1.115068493,0.004403,1.09481886150416000E+28,archival_poor,real
SN2003bg,53116,22.96,52695,421,1.153424658,0.004403,1.05263991039094000E+28,archival_poor,real
SN2003bg,53125,20.98,52695,430,1.178082192,0.004403,9.61863472125521000E+27,archival_poor,real
SN2003bg,53185,16.2,52695,490,1.342465753,0.004403,7.42716313080717000E+27,archival_poor,real
SN2003bg,53225,14.6,52695,530,1.452054795,0.004403,6.69361615492498000E+27,archival_poor,real
SN2003bg,53338,10.82,52695,643,1.761643836,0.004403,4.96061142440330000E+27,archival_poor,real
SN2003bg,53394,10.21,52695,699,1.915068493,0.004403,4.68094663984822000E+27,archival_poor,real
SN2003bg,53471,8.49,52695,776,2.126027397,0.004403,3.89238364077486000E+27,archival_poor,real
SN2003bg,53512,7.56,52695,817,2.238356164,0.004403,3.46600946104334000E+27,archival_poor,real
SN2003bg,53594,8.23,52695,899,2.463013699,0.004403,3.77318225719401000E+27,archival_poor,real
SN2003bg,53670,7.83,52695,975,2.671232877,0.004403,3.58979551322346000E+27,archival_poor,real
SN2004c,53029.41,0.556,53016,13.41,0.03673972603,0.0057,4.28047750100660000E+26,archival_poor,real
SN2004c,53041.36,0.938,53016,25.36,0.06947945205,0.0057,7.22138110781330000E+26,archival_poor,real
SN2004c,53081.15,2.326,53016,65.15,0.1784931507,0.0057,1.79071774592470000E+27,archival_poor,real
SN2004c,53088.21,3.101,53016,72.21,0.1978356164,0.0057,2.38736703788156000E+27,archival_poor,real
SN2004c,53101.07,3.952,53016,85.07,0.2330684932,0.0057,3.04252645395289000E+27,archival_poor,real
SN2004c,53107.14,3.678,53016,91.14,0.2496986301,0.0057,2.83158205911911000E+27,archival_poor,real
SN2004c,53113.08,3.387,53016,97.08,0.2659726027,0.0057,2.60754987336499000E+27,archival_poor,real
SN2004c,53127.14,4.473,53016,111.14,0.3044931507,0.0057,3.44362875215873000E+27,archival_poor,real
SN2004c,53137.18,4.927,53016,121.18,0.332,0.0057,3.79314975673732000E+27,archival_poor,real
SN2004c,53165.98,5.574,53016,149.98,0.4109041096,0.0057,4.29125568176453000E+27,archival_poor,real
SN2004c,53183.08,8.097,53016,167.08,0.4577534247,0.0057,6.23363782835440000E+27,archival_poor,real
SN2004c,53211.98,7.808,53016,195.98,0.5369315068,0.0057,6.01114538270855000E+27,archival_poor,real
SN2004c,53228.97,6.505,53016,212.97,0.5834794521,0.0057,5.00800470216690000E+27,archival_poor,real
SN2004c,53271.84,8.873,53016,255.84,0.7009315068,0.0057,6.83105699036539000E+27,archival_poor,real
SN2004c,53291.59,9.423,53016,275.59,0.7550410959,0.0057,7.25448552014123000E+27,archival_poor,real
SN2004c,53330.67,7.796,53016,314.67,0.862109589,0.0057,6.00190694205890000E+27,archival_poor,real
SN2004c,53402.27,8.267,53016,386.27,1.058273973,0.0057,6.36451573755784000E+27,archival_poor,real
SN2004c,53511.47,8.62,53016,495.47,1.357452055,0.0057,6.63627986666851000E+27,archival_poor,real
SN2004c,53603.94,7.271,53016,587.94,1.610794521,0.0057,5.59772516363651000E+27,archival_poor,real
SN2004c,53689.6,5.355,53016,673.6,1.845479452,0.0057,4.12265413990834000E+27,archival_poor,real
SN2004c,53801.41,5.437,53016,785.41,2.151808219,0.0057,4.18578348434764000E+27,archival_poor,real
SN2004c,54248.1,1.586,53016,1232.1,3.375616438,0.0057,1.22101390586267000E+27,archival_poor,real
SN2004c,54366.74,1.751,53016,1350.74,3.700657534,0.0057,1.34804246479542000E+27,archival_poor,real
SN2004c,54926.22,1.424,53016,1910.22,5.233479452,0.0057,1.09629495709233000E+27,archival_poor,real
SN2004c,55781.65,0.546,53016,2765.65,7.577123288,0.0057,4.20349049559281000E+26,archival_poor,real
SN2004dk,53228,0.87,53218,10,0.02739726027,0.0052,5.57010550264727000E+26,archival_poor,real
SN2004dk,53230,1.09,53218,12,0.03287671233,0.0052,6.97863792860406000E+26,archival_poor,real
SN2004dk,53235,0.95,53218,17,0.04657534247,0.0052,6.08229911208610000E+26,archival_poor,real
SN2004dk,53250,1.8,53218,32,0.08767123288,0.0052,1.15243562123736000E+27,archival_poor,real
SN2004dk,53258,1.06,53218,40,0.1095890411,0.0052,6.78656532506449000E+26,archival_poor,real
SN2004dk,53266,0.86,53218,48,0.1315068493,0.0052,5.50608130146742000E+26,archival_poor,real
SN2004dk,53282,0.46,53218,64,0.1753424658,0.0052,2.94511325427327000E+26,archival_poor,real
SN2004dk,53295,0.56,53218,77,0.2109589041,0.0052,3.58535526607181000E+26,archival_poor,real
SN2004dk,53413,0.26,53218,195,0.5342465753,0.0052,1.66462923067619000E+26,archival_poor,real
SN2004dk,54874,0.22,53218,1656,4.536986301,0.0052,1.40853242595678000E+26,archival_poor,real
SN2004dk,54886,0.21,53218,1668,4.569863014,0.0052,1.34450822477692000E+26,archival_poor,real
SN2004dk,54923,0.34,53218,1705,4.671232877,0.0052,2.17682284011502000E+26,archival_poor,real
SN2004dk,54940,0.21,53218,1722,4.717808219,0.0052,1.34450822477692000E+26,archival_poor,real
SN2004dk,55093,0.28,53218,1875,5.136986301,0.0052,1.79267763303590000E+26,archival_poor,real
PTF11qcj,55880.538,0.421,55866,14.538,0.03983013699,0.028,8.08625189934646000E+27,archival_poor,real
PTF11qcj,55887.508,0.619,55866,21.508,0.0589260274,0.028,1.18892872344310000E+28,archival_poor,real
PTF11qcj,55892.67,0.936,55866,26.67,0.07306849315,0.028,1.79779852203997000E+28,archival_poor,real
PTF11qcj,55894.635,1.46,55866,28.635,0.07845205479,0.028,2.80425837839568000E+28,archival_poor,real
PTF11qcj,55897.511,1.566,55866,31.511,0.08633150685,0.028,3.00785521956688000E+28,archival_poor,real
PTF11qcj,55902.518,2.6,55866,36.518,0.1000493151,0.028,4.99388478344437000E+28,archival_poor,real
PTF11qcj,55910.476,2.24,55866,44.476,0.1218520548,0.028,4.30242381342900000E+28,archival_poor,real
PTF11qcj,55916.558,2.31,55866,50.558,0.1385150685,0.028,4.43687455759865000E+28,archival_poor,real
PTF11qcj,55926.572,2.09,55866,60.572,0.1659506849,0.028,4.01431507592259000E+28,archival_poor,real
PTF11qcj,55927.555,2.51,55866,61.555,0.1686438356,0.028,4.82101954094053000E+28,archival_poor,real
PTF11qcj,55949.598,3.86,55866,83.598,0.2290356164,0.028,7.41399817849818000E+28,archival_poor,real
PTF11qcj,55950.363,2.03,55866,84.363,0.2311315068,0.028,3.89907158092003000E+28,archival_poor,real
PTF11qcj,55967.439,3.04,55866,101.439,0.2779150685,0.028,5.83900374679649000E+28,archival_poor,real
PTF11qcj,55987.428,2.51,55866,121.428,0.3326794521,0.028,4.82101954094053000E+28,archival_poor,real
PTF11qcj,55988.283,3.47,55866,122.283,0.3350219178,0.028,6.66491546098153000E+28,archival_poor,real
PTF11qcj,55997.46,2.47,55866,131.46,0.3601643836,0.028,4.74419054427215000E+28,archival_poor,real
PTF11qcj,56011.553,3.03,55866,145.553,0.3987753425,0.028,5.81979649762940000E+28,archival_poor,real
PTF11qcj,56027.091,2.34,55866,161.091,0.4413452055,0.028,4.49449630509993000E+28,archival_poor,real
PTF11qcj,56035.092,2.67,55866,169.092,0.4632657534,0.028,5.12833552761403000E+28,archival_poor,real
PTF11qcj,56044.421,3.05,55866,178.421,0.4888246575,0.028,5.85821099596359000E+28,archival_poor,real
PTF11qcj,56057.428,2.73,55866,191.428,0.524460274,0.028,5.24357902261659000E+28,archival_poor,real
PTF11qcj,56101.224,3.2,55866,235.224,0.6444493151,0.028,6.14631973347000000E+28,archival_poor,real
PTF11qcj,56155.076,1.697,55866,289.076,0.7919890411,0.028,3.25947018365580000E+28,archival_poor,real
PTF11qcj,56223.561,2.23,55866,357.561,0.9796191781,0.028,4.28321656426190000E+28,archival_poor,real
PTF11qcj,56429.038,5.77,55866,563.038,1.542569863,0.028,1.10825827694130000E+29,archival_poor,real
PTF11qcj,56809.993,7.55,55866,943.993,2.586282192,0.028,1.45014731211557000E+29,archival_poor,real
PTF11qcj,56948.91,9,55866,1082.91,2.966876712,0.028,1.72865242503843000E+29,archival_poor,real
PTF11qcj,57006.658,8.71,55866,1140.658,3.125090411,0.028,1.67295140245386000E+29,archival_poor,real
PTF11qcj,57046.262,9.25,55866,1180.262,3.233594521,0.028,1.77667054795617000E+29,archival_poor,real
PTF11qcj,57354.492,9.54,55866,1488.492,4.078060274,0.028,1.83237157054074000E+29,archival_poor,real
PTF11qcj,57729.458,9.46,55866,1863.458,5.105364384,0.028,1.81700577120706000E+29,archival_poor,real
SN2012au,56006.2,4.596,56000,6.2,0.01698630137,0.0045,2.20130280055163000E+27,archival_poor,real
SN2012au,56010.3,5.658,56000,10.3,0.02821917808,0.0045,2.70995893070520000E+27,archival_poor,real
SN2012au,56040.1,9.569,56000,40.1,0.1098630137,0.0045,4.58317373770204000E+27,archival_poor,real
SN2016coi,57542,1.15,57535.54,6.46,0.01769863014,0.0036,3.52031814310730000E+26,archival_poor,real
