SN,Obsmjd,Flux,Type,Distance (Mpc),ExpMJD,dt,dt (years),Luminosity,classification,status
SN1985F,46142,0.189,Ib/c,7.2,45789,353,0.97,1.17e+25,old_poor,real
SN1985F,46277,0.33,Ib/c,7.2,45789,488,1.34,2.05e+25,old_poor,real
SN1994I,49495,9.81,Ic,7.9,49442,53,0.15,7.33e+26,old_poor,real
SN1994I,49504,7.15,Ic,7.9,49442,62,0.17,5.34e+26,old_poor,real
SN1997X,50485,1.256,Ib/c,21.3,50473,12,0.03,6.82e+26,old_poor,real
SN1997X,52929,0.123,Ib/c,21.3,50473,2456,6.73,6.6799999999999995e+25,old_poor,real
SN2001ci,52066,1.166,Ic,16.4,52020,46,0.13,3.75e+26,old_poor,real
SN2001ci,52435,0.133,Ic,16.4,52020,415,1.14,4.28e+25,old_poor,real
SN2004C,53043,2.154,Ic,32.6,52996,47,0.13,2.74e+27,old_poor,real
SN2004C,54919,0.71,Ic,32.6,52996,1923,5.27,9.029999999999999e+26,old_poor,real
SN2007C,54111,0.825,Ib,22.7,54097,14,0.04,5.0899999999999996e+26,old_poor,real
SN2007C,54139,0.25,Ib,22.7,54097,42,0.12,1.54e+26,old_poor,real
SN1987F,47882,0.43,IIn,79.6,46876,1006,2.76,3.2600000000000005e+27,old_rich,real
SN1987F,47935,0.18,IIn,79.6,46876,1059,2.9,1.36e+27,old_rich,real
SN1987F,48239,0.18,IIn,79.6,46876,1363,3.73,1.36e+27,old_rich,real
SN1987F,49008,0.09,IIn,79.6,46876,2132,5.84,6.82e+26,old_rich,real
SN1993N,49401,0.11,IIn,50.2,49092,309,0.85,3.32e+26,old_rich,real
SN1993N,50471,0.186,IIn,50.2,49092,1379,3.78,5.61e+26,old_rich,real
SN1994W,49586,0.146,IIn-P,25.4,49563,23,0.06,1.13e+26,old_rich,real
SN1994W,49975,0.167,IIn-P,25.4,49563,412,1.13,1.2899999999999999e+26,old_rich,real
SN1994W,51479,0.171,IIn-P,25.4,49563,1916,5.25,1.32e+26,old_rich,real
SN1994W,51479,0.171,IIn-P,25.4,49563,1916,5.25,1.32e+26,old_rich,real
SN1996ae,50245,0.292,IIn,19.9,50109,136,0.37,1.38e+26,old_rich,real
SN1996ae,50312,0.279,IIn,19.9,50109,203,0.56,1.32e+26,old_rich,real
SN1996ae,50379,0.165,IIn,19.9,50109,270,0.74,7.82e+25,old_rich,real
SN1996ae,51346,0.193,IIn,19.9,50109,1237,3.39,9.14e+25,old_rich,real
SN1996bu,50421,0.162,IIn,10.3,50401,20,0.05,2.06e+25,old_rich,real
SN1996bu,51480,0.129,IIn,10.3,50401,1079,2.96,1.6399999999999998e+25,old_rich,real
SN1997ab,50714,0.125,IIn,53.9,50184,530,1.45,4.3499999999999996e+26,old_rich,real
SN1997ab,50854,0.251,IIn,53.9,50184,670,1.84,8.72e+26,old_rich,real
SN1997ab,50973,0.193,IIn,53.9,50184,789,2.16,6.71e+26,old_rich,real
SN1998S,50964,0.097,IIn,14.9,50872,92,0.25,2.58e+25,old_rich,real
SN1998S,50973,0.129,IIn,14.9,50872,101,0.28,3.43e+25,old_rich,real
SN1998S,51105,0.175,IIn,14.9,50872,233,0.64,4.649999999999999e+25,old_rich,real
SN1998S,51479,1.08,IIn,14.9,50872,607,1.66,2.87e+26,old_rich,real
SN1998S,51934,0.775,IIn,14.9,50872,1062,2.91,2.06e+26,old_rich,real
SN1998S,53033,0.679,IIn,14.9,50872,2161,5.92,1.8e+26,old_rich,real
SN1998S,54248,0.19,IIn,14.9,50872,3376,9.25,5.05e+25,old_rich,real
SN1999el,51479,0.101,IIn,23.1,51471,8,0.02,6.4499999999999995e+25,old_rich,real
SN1999el,51834,0.145,IIn,23.1,51471,363,0.99,9.259999999999998e+25,old_rich,real
SN2000P,51689,0.378,IIn,30.2,51611,78,0.21,4.12e+26,old_rich,real
SN2000P,51834,0.09,IIn,30.2,51611,223,0.61,9.82e+25,old_rich,real
SN2005kd,53695,0.454,IIn,69.4,53684,11,0.03,2.62e+27,old_rich,real
SN2005kd,53695,1.011,IIn,69.4,53684,11,0.03,5.83e+27,old_rich,real
SN2005kd,53725,0.362,IIn,69.4,53684,41,0.11,2.0900000000000003e+27,old_rich,real
SN2005kd,53725,0.99,IIn,69.4,53684,41,0.11,5.710000000000001e+27,old_rich,real
SN2005kd,54371,0.16,IIn,69.4,53684,687,1.88,9.22e+26,old_rich,real
SN1982F,45943,1.16,IIP,6.2,45024,919,2.52,5.34e+25,old_rich,real
SN1982F,46057,0.18,IIP,6.2,45024,1033,2.83,8.28e+24,old_rich,real
SN1985G,46192,0.212,IIP,20.9,46141,51,0.14,1.11e+26,old_rich,real
SN1985G,46309,0.675,IIP,20.9,46141,168,0.46,3.53e+26,old_rich,real
SN1985G,46779,0.623,IIP,20.9,46141,638,1.75,3.26e+26,old_rich,real
SN1985H,46192,0.155,II,16.0,46167,25,0.07,4.749999999999999e+25,old_rich,real
SN1985H,47192,0.3,II,16.0,46167,1025,2.81,9.189999999999999e+25,old_rich,real
SN1987K,47052,2.6,IIb,16.5,47007,45,0.12,8.47e+26,old_rich,real
SN1987K,47882,0.634,IIb,16.5,47007,875,2.4,2.07e+26,old_rich,real
SN1987K,49401,0.225,IIb,16.5,47007,2394,6.56,7.329999999999999e+25,old_rich,real
SN1989L,47884,0.254,II,22.0,47650,234,0.64,1.47e+26,old_rich,real
SN1989L,47938,0.162,II,22.0,47650,288,0.79,9.379999999999999e+25,old_rich,real
SN1989L,48016,0.204,II,22.0,47650,366,1.0,1.18e+26,old_rich,real
SN1990K,48041,0.149,II,23.4,48025,16,0.04,9.759999999999998e+25,old_rich,real
SN1990K,49023,0.114,II,23.4,48025,998,2.73,7.4699999999999995e+25,old_rich,real
SN1991G,48912,0.487,IIP,13.9,48279,633,1.73,1.13e+26,old_rich,real
SN1991G,50705,0.069,IIP,13.9,48279,2426,6.65,1.6e+25,old_rich,real
SN1992H,49059,0.084,II,35.1,48663,396,1.08,1.24e+26,old_rich,real
SN1992H,49975,0.269,II,35.1,48663,1312,3.59,3.97e+26,old_rich,real
SN1992ad,49286,0.4,II,22.4,48803,483,1.32,2.4e+26,old_rich,real
SN1992ad,50223,0.15,II,22.4,48803,1420,3.89,9.01e+25,old_rich,real
SN1992bd,48926,0.081,II,16.9,48907,19,0.05,2.7699999999999997e+25,old_rich,real
SN1992bd,49011,0.132,II,16.9,48907,104,0.28,4.51e+25,old_rich,real
SN1992bd,49023,0.141,II,16.9,48907,116,0.32,4.82e+25,old_rich,real
SN1992bd,49477,0.249,II,16.9,48907,570,1.56,8.51e+25,old_rich,real
SN1992bd,49726,0.3,II,16.9,48907,819,2.24,1.03e+26,old_rich,real
SN1994P,49495,0.108,II,19.6,49372,123,0.34,4.959999999999999e+25,old_rich,real
SN1994P,49562,0.061,II,19.6,49372,190,0.52,2.7999999999999997e+25,old_rich,real
SN1994P,49975,0.235,II,19.6,49372,603,1.65,1.08e+26,old_rich,real
SN1995X,49975,0.336,II,25.5,49932,43,0.12,2.61e+26,old_rich,real
SN1995X,50973,0.143,II,25.5,49932,1041,2.85,1.11e+26,old_rich,real
SN1995X,50981,0.102,II,25.5,49932,1049,2.87,7.94e+25,old_rich,real
SN1995X,51834,0.177,II,25.5,49932,1902,5.21,1.38e+26,old_rich,real
SN1996W,50379,0.19,II,12.2,50183,196,0.54,3.38e+25,old_rich,real
SN1996W,50471,0.264,II,12.2,50183,288,0.79,4.7e+25,old_rich,real
SN1996W,50822,0.208,II,12.2,50183,639,1.75,3.7e+25,old_rich,real
