SN,Obsmjd,Flux,Type,Distance (Mpc),ExpMJD,dt,dt (years),Luminosity,classification,status
SN1996N,50196,0.197,Ib,19.8,50151,9.24e+28,45,9.24e+25,old_poor,real
SN1999dn,51509,0.12,Ib,29.1,51405,1.22e+29,104,1.22e+26,old_poor,real
SN2005V,53476,0.23,Ib/c,19.6,53371,1.06e+29,105,1.06e+26,old_poor,real
SN1997ef,51881,-0.092,IbBL,55.9,50772,3.44e+29,1109,3.44e+26,old_poor,real
SN1994ai,49726,-0.0934,Ic,15.6,49706,2.72e+28,20,2.7199999999999996e+25,old_poor,real
SN1996aq,50361,-0.205,Ic,21.8,50312,1.17e+29,49,1.17e+26,old_poor,real
SN1997ei,50973,-0.173,Ic,48.8,50772,4.93e+29,201,4.93e+26,old_poor,real
SN1999cn,51346,-0.324,Ic,111.0,51343,4.78e+30,3,4.7800000000000006e+27,old_poor,real
SN2000ew,52929,-0.107,Ic,15.7,51869,3.16e+28,1060,3.16e+25,old_poor,real
SN2004bm,53146,-0.456,Ic,24.4,53112,3.25e+29,34,3.25e+26,old_poor,real
SN2005kl,54873,-0.129,Ic,29.7,53675,1.36e+29,1198,1.36e+26,old_poor,real
SN1980O,47192,-0.36,II,17.9,44603,1.38e+29,2589,1.38e+26,old_rich,real
SN1993X,49975,-0.135,II,40.5,49221,2.65e+29,754,2.65e+26,old_rich,real
SN1995ad,49996,-0.603,II,27.0,49982,5.26e+29,14,5.26e+26,old_rich,real
SN1996bw,51834,-0.206,II,79.0,50417,1.54e+30,1417,1.54e+27,old_rich,real
SN1997dn,51479,-0.129,II,27.1,50750,1.13e+29,729,1.13e+26,old_rich,real
SN1999B,51480,-0.162,II,31.2,51192,1.89e+29,288,1.89e+26,old_rich,real
SN1999go,54873,-0.148,II,60.4,51530,6.46e+29,3343,6.46e+26,old_rich,real
SN2008jb,56061,0.089,II,9.3,54781,9.210000000000001e+27,1280,9.21e+24,old_rich,real
SN2009hd,55023,-0.18,II,9.6,55001,1.99e+28,22,1.9799999999999997e+25,old_rich,real
SN1993G,49401,-0.112,IIL,53.1,49042,3.78e+29,359,3.78e+26,old_rich,real
SN2007ak,54189,-0.402,IIn,69.6,54169,2.33e+30,20,2.3300000000000002e+27,old_rich,real
SN2008X,55101,0.089,IIP,35.4,54479,1.33e+29,622,1.33e+26,old_rich,real
SN2009E,55101,-0.147,IIP,35.4,54466,2.2e+29,635,2.2e+26,old_rich,real
SN1988Z,51934,-0.21,IIn,111.0,47496,3.1e+30,4438,3.1000000000000005e+27,old_rich,real
SN1991ae,49401,-0.117,IIn,138.0,48391,2.67e+30,1010,2.67e+27,old_rich,real
SN1994Y,49975,-0.267,IIn,46.4,49542,6.88e+29,433,6.88e+26,old_rich,real
SN1994ak,49975,-0.217,IIn,43.1,49710,4.82e+29,265,4.8199999999999996e+26,old_rich,real
SN1996L,50854,-0.176,IIn,157.0,50154,5.19e+30,700,5.19e+27,old_rich,real
SN1999E,51236,-0.071,IIn,119.0,51066,1.2e+30,170,1.2000000000000001e+27,old_rich,real
SN1999eb,51479,-0.085,IIn,79.0,51453,6.35e+29,26,6.35e+26,old_rich,real
SN2003dv,54873,-0.1,IIn,33.9,53111,1.38e+29,1762,1.38e+26,old_rich,real
SN2003lo,54873,-0.183,IIn,60.4,53004,7.990000000000001e+29,1869,7.99e+26,old_rich,real
SN2005gl,53819,-0.09,IIn,68.8,53669,5.1e+29,150,5.1e+26,old_rich,real
SN2006gy,58287,-0.04,IIn,85.0,53602,3.46e+29,4685,3.46e+26,old_rich,real
