SN,status,obs,mjy,exp,dt
SN1980O,L,47192,0.36,44603.0,2589.0
SN1982F,L,45943,1.16,45024.0,919.0
SN1982F,L,46057,0.18,45024.0,1033.0
SN1985F,L,46142,0.189,45789.0,353.0
SN1985F,L,46277,0.33,45789.0,488.0
SN1985G,L,46192,0.212,46141.0,51.0
SN1985G,L,46309,0.675,46141.0,168.0
SN1985G,L,46779,0.623,46141.0,638.0
SN1985H,L,46192,0.155,46167.0,25.0
SN1985H,L,47192,0.3,46167.0,1025.0
SN1987F,L,47882,0.43,46876.0,1006.0
SN1987F,L,47935,0.18,46876.0,1059.0
SN1987F,L,48239,0.18,46876.0,1363.0
SN1987F,L,49008,0.09,46876.0,2132.0
SN1987K,L,47052,2.6,47007.0,45.0
SN1987K,L,47882,0.634,47007.0,875.0
SN1987K,L,49401,0.225,47007.0,2394.0
SN1988Z,L,51935,0.21,47496.0,4439.0
SN1989L,L,47884,0.254,47650.0,234.0
SN1989L,L,47938,0.162,47650.0,288.0
SN1989L,L,48016,0.204,47650.0,366.0
SN1990K,L,48041,0.149,48025.0,16.0
SN1990K,L,49024,0.114,48025.0,999.0
SN1991G,L,48912,0.487,48279.0,633.0
SN1991G,L,50706,0.069,48279.0,2427.0
SN1991AE,L,49401,0.117,48391.0,1010.0
SN1992H,L,49059,0.084,48663.0,396.0
SN1992H,L,49976,0.269,48663.0,1313.0
SN1992AD,L,49286,0.4,48803.0,483.0
SN1992AD,L,50223,0.15,48803.0,1420.0
SN1992BD,L,48926,0.081,48907.0,19.0
SN1992BD,L,49011,0.132,48907.0,104.0
SN1992BD,L,49024,0.141,48907.0,117.0
SN1992BD,L,49478,0.249,48907.0,571.0
SN1992BD,L,49726,0.3,48907.0,819.0
SN1993G,L,49401,0.112,49042.0,359.0
SN1993N,L,49401,0.11,49092.0,309.0
SN1993N,L,50471,0.186,49092.0,1379.0
SN1993X,L,49976,0.135,49221.0,755.0
SN1994I,R,49495,9.81,49442.0,53.0
SN1994I,R,49504,7.15,49442.0,62.0
SN1994P,L,49495,0.108,49372.0,123.0
SN1994P,L,49562,0.061,49372.0,190.0
SN1994P,L,49976,0.235,49372.0,604.0
SN1994W,L,49587,0.146,49563.0,24.0
SN1994W,L,49976,0.167,49563.0,413.0
SN1994W,L,51479,0.171,49563.0,1916.0
SN1994W,L,51479,0.171,49563.0,1916.0
SN1994Y,L,49976,0.267,49542.0,434.0
SN1994AI,L,49726,0.0934,49706.0,20.0
SN1994AK,L,49976,0.217,49710.0,266.0
SN1995X,L,49975,0.336,49932.0,43.0
SN1995X,L,50973,0.143,49932.0,1041.0
SN1995X,L,50981,0.102,49932.0,1049.0
SN1995X,L,51834,0.177,49932.0,1902.0
SN1995AD,L,49996,0.603,49982.0,14.0
SN1996L,L,50854,0.176,50154.0,700.0
SN1996N,R,50197,0.197,50151.0,46.0
SN1996W,L,50380,0.19,50183.0,197.0
SN1996W,L,50471,0.264,50183.0,288.0
SN1996W,L,50822,0.208,50183.0,639.0
SN1996AE,L,50245,0.292,50109.0,136.0
SN1996AE,L,50312,0.279,50109.0,203.0
SN1996AE,L,50380,0.165,50109.0,271.0
SN1996AE,L,51346,0.193,50109.0,1237.0
SN1996AN,L,50312,0.279,50233.0,79.0
SN1996AN,L,50361,1.029,50233.0,128.0
SN1996AN,L,50361,0.45,50233.0,128.0
SN1996AQ,L,50362,0.205,50312.0,50.0
SN1996BU,L,50421,0.162,50401.0,20.0
SN1996BU,L,51480,0.129,50401.0,1079.0
SN1996BW,L,51834,0.206,50417.0,1417.0
SN1996CB,R,50450,0.99,50429.0,21.0
SN1996CB,R,50465,0.26,50429.0,36.0
SN1997W,L,51479,0.106,50480.0,999.0
