Name,Obsmjd,Flux,Type,Distance (Mpc),ExpMJD,dt,L_nu,status,classification
SN1982F,45943,1.16,IIP,6.2,45024,919,5.34E+25,real,
SN1982F,46057,0.18,IIP,6.2,45024,1033,8.28E+24,real,
SN1985F,46142,0.189,Ib/c,7.2,45789,353,1.17E+25,real,
SN1985F,46277,0.33,Ib/c,7.2,45789,488,2.05E+25,real,
SN1985G,46192,0.212,IIP,20.9,46141,51,1.11E+26,real,
SN1985G,46309,0.675,IIP,20.9,46141,168,3.53E+26,real,
SN1985G,46779,0.623,IIP,20.9,46141,638,3.26E+26,real,
SN1985H,46192,0.155,II,16,46167,25,4.75E+25,real,
SN1985H,47192,0.3,II,16,46167,1025,9.19E+25,real,
SN1987F,47882,0.43,IIn:,79.6,46876,1006,3.26E+27,real,
SN1987F,47935,0.18,IIn:,79.6,46876,1059,1.36E+27,real,
SN1987F,48239,0.18,IIn:,79.6,46876,1363,1.36E+27,real,
SN1987F,49008,0.09,IIn:,79.6,46876,2132,6.82E+26,real,
SN1987K,47052,2.6,IIb,16.5,47007,45,8.47E+26,real,
SN1987K,47882,0.634,IIb,16.5,47007,875,2.07E+26,real,
SN1987K,49401,0.225,IIb,16.5,47007,2394,7.33E+25,real,
SN1989L,47884,0.254,II,22,47650,234,1.47E+26,real,
SN1989L,47938,0.162,II,22,47650,288,9.38E+25,real,
SN1989L,48016,0.204,II,22,47650,366,1.18E+26,real,
SN1990K,48041,0.149,II,23.4,48025,16,9.76E+25,real,
SN1990K,49023,0.114,II,23.4,48025,998,7.47E+25,real,
SN1991G,48912,0.487,IIP,13.9,48279,633,1.13E+26,real,
SN1991G,50705,0.069,IIP,13.9,48279,2426,1.60E+25,real,
SN1992H,49059,0.084,II,35.1,48663,396,1.24E+26,real,
SN1992H,49975,0.269,II,35.1,48663,1312,3.97E+26,real,
SN1992ad,49286,0.4,II,22.4,48803,483,2.40E+26,real,
SN1992ad,50223,0.15,II,22.4,48803,1420,9.01E+25,real,
SN1992bd,48926,0.081,II,16.9,48907,19,2.77E+25,real,
SN1992bd,49011,0.132,II,16.9,48907,104,4.51E+25,real,
SN1992bd,49023,0.141,II,16.9,48907,116,4.82E+25,real,
SN1992bd,49477,0.249,II,16.9,48907,570,8.51E+25,real,
SN1992bd,49726,0.3,II,16.9,48907,819,1.03E+26,real,
SN1993N,49401,0.11,IIn,50.2,49092,309,3.32E+26,real,
SN1993N,50471,0.186,IIn,50.2,49092,1379,5.61E+26,real,
SN1994I,49495,9.81,Ic,7.9,49442,53,7.33E+26,real,
SN1994I,49504,7.15,Ic,7.9,49442,62,5.34E+26,real,
SN1994P,49495,0.108,II,19.6,49372,123,4.96E+25,real,
SN1994P,49562,0.061,II,19.6,49372,190,2.80E+25,real,
SN1994P,49975,0.235,II,19.6,49372,603,1.08E+26,real,
SN1994W,49586,0.146,IIn-P,25.4,49563,23,1.13E+26,real,
SN1994W,49975,0.167,IIn-P,25.4,49563,412,1.29E+26,real,
SN1994W,51479,0.171,IIn-P,25.4,49563,1916,1.32E+26,real,
SN1994W,51479,0.171,IIn-P,25.4,49563,1916,1.32E+26,real,
SN1995X,49975,0.336,II,25.5,49932,43,2.61E+26,real,
SN1995X,50973,0.143,II,25.5,49932,1041,1.11E+26,real,
SN1995X,50981,0.102,II,25.5,49932,1049,7.94E+25,real,
SN1995X,51834,0.177,II,25.5,49932,1902,1.38E+26,real,
SN1996W,50379,0.19,II,12.2,50183,196,3.38E+25,real,
SN1996W,50471,0.264,II,12.2,50183,288,4.70E+25,real,
SN1996W,50822,0.208,II,12.2,50183,639,3.70E+25,real,
SN1996ae,50245,0.292,IIn,19.9,50109,136,1.38E+26,real,
SN1996ae,50312,0.279,IIn,19.9,50109,203,1.32E+26,real,
SN1996ae,50379,0.165,IIn,19.9,50109,270,7.82E+25,real,
