Name,Obsmjd,Flux,Type,Distance (Mpc),ExpMJD,dt,Luminosity
SN1980O,47192,0.36,II,17.9,44603.0,2589.0,1.3801284775486654e+26
SN1988Z,51934,0.21,IIn,111.0,47496.0,4438.0,3.095823601092865e+27
SN1991ae,49401,0.117,IIn,138.0,48391.0,1010.0,2.665968348706956e+27
SN1993G,49401,0.112,IIL,53.1,49042.0,359.0,3.7784877564602244e+26
SN1993X,49975,0.135,II,40.5,49221.0,754.0,2.6494441519840193e+26
SN1994Y,49975,0.267,IIn,46.4,49542.0,433.0,6.877936737957164e+26
SN1994ai,49726,0.0934,Ic,15.6,49706.0,20.0,2.719612492333532e+25
SN1994ak,49975,0.217,IIn,43.1,49710.0,265.0,4.8230884741068e+26
SN1995ad,49996,0.603,II,27.0,49982.0,14.0,5.259637279494202e+26
SN1996L,50854,0.176,IIn,157.0,50154.0,700.0,5.190664118182851e+27
SN1996N,50196,0.197,Ib,19.8,50151.0,45.0,9.240757238349239e+25
SN1996aq,50361,0.205,Ic,21.8,50312.0,49.0,1.1656758599433079e+26
SN1996bw,51834,0.206,II,79.0,50417.0,1417.0,1.5382692458677354e+27
SN1997dn,51479,0.129,II,27.1,50750.0,729.0,1.1335462551483563e+26
SN1997ef,51881,0.092,IbBL,55.9,50772.0,1109.0,3.4397145033746155e+26
SN1997ei,50973,0.173,Ic,48.8,50772.0,201.0,4.9294299747217494e+26
SN1999B,51480,0.162,II,31.2,51192.0,288.0,1.886840358706776e+26
SN1999E,51236,0.071,IIn,119.0,51066.0,170.0,1.2029933482016377e+27
SN1999cn,51346,0.324,Ic,111.0,51343.0,3.0,4.7764135559718496e+27
SN1999dn,51509,0.12,Ib,29.1,51405.0,104.0,1.215844902960775e+26
SN1999eb,51479,0.085,IIn,79.0,51453.0,26.0,6.347227470813472e+26
SN1999go,54873,0.148,II,60.4,51530.0,3343.0,6.460208682146687e+26
SN2000ew,52929,0.107,Ic,15.7,51869.0,1060.0,3.1556878445770742e+25
SN2003dv,54873,0.1,IIn,33.9,53111.0,1762.0,1.3750242290985697e+26
SN2003lo,54873,0.183,IIn,60.4,53004.0,1869.0,7.987960735357052e+26
SN2004bm,53146,0.456,Ic,24.4,53112.0,34.0,3.2482948966374536e+26
SN2004gt,53081,0.2,Ib/c,21.1,53336.0,-255.0,1.0653832407253233e+26
SN2005V,53476,0.23,Ib/c,19.6,53371.0,105.0,1.057184855732343e+26
SN2005gl,53819,0.09,IIn,68.8,53669.0,150.0,5.097184342536091e+26
SN2005kl,54873,0.129,Ic,29.7,53675.0,1198.0,1.3614872022491706e+26
SN2006gy,58287,0.04,IIn,85.0,53602.0,4685.0,3.457871078475533e+26
SN2007ak,54189,0.402,IIn,69.6,54169.0,20.0,2.3299976702180734e+27
SN2008X,55101,0.089,IIP,35.4,54479.0,622.0,1.334465913987936e+26
SN2008jb,56061,0.089,II,9.3,54781.0,1280.0,9.210153284561955e+24
SN2009E,55101,0.147,IIP,35.4,54466.0,635.0,2.20411785793513e+26
SN2009hd,55023,0.18,II,9.6,55001.0,22.0,1.984841928948613e+25
