SN,Type,Distance (Mpc),ExpMJD
SN1979C,IIL,16.2,43969.0
SN1980K,IIb-L,5.5,44537.0
SN1981A,II,17.9,44663.0
SN1981K,II,7.3,44816.0
SN1983I,Ic,13.7,45449.0
SN1983K,II,19.7,45507.0
SN1983N,Ib,4.9,45514.0
SN1984E,IIL,22.4,45788.0
SN1984L,Ib,8.8,45922.0
SN1985L,IIL,16.5,46229.0
SN1986E,IIL,16.8,46517.0
SN1986J,IIn,10.0,45407.0
SN1987A,IIf,0.051,50502.0
SN1988I,IIn,178.0,47227.0
SN1989C,IIP,32.1,47558.0
SN1989R,IIn,80.1,47784.0
SN1990B,Ic,17.4,47909.0
SN1991N,Ic,18.1,48348.0
SN1991av,IIn,288.0,48514.0
SN1993J,IIb,3.7,49074.0
SN1995N,IIn,31.4,49537.0
SN1996cr,IIn:,3.8,49777.0
SN1997eg,IIn,47.6,50786.0
SN1998bw,IcBL,41.4,50928.0
SN1999eh,Ib,28.6,51385.0
SN1999ev,IIP,13.9,51489.0
SN1999ex,Ic,53.3,51483.0
SN2000C,Ic,59.4,51544.0
SN2000F,Ic,86.1,51572.0
SN2000S,Ic,138.0,51460.0
SN2000cr,Ic,61.3,51716.0
SN2000ds,Ib/c,20.5,51692.0
SN2000fn,Ib,72.3,51857.0
SN2001B,Ib,27.4,51909.0
SN2001M,Ic,57.3,51926.0
SN2001ai,Ic,121.0,51992.0
SN2001bb,Ic,82.0,52021.0
SN2001ch,Ic,46.8,51992.0
SN2001ef,Ic,40.2,52156.0
SN2001ej,Ib,62.8,52161.0
SN2001em,IIn ^f,89.7,52164.0
SN2001gd,IIb,17.5,52155.0
SN2001ig,IIb,9.3,52246.0
SN2001is,Ib,61.2,52262.0
SN2002ap,IcBL,8.9,51968.0
SN2002bl,IcPecBL,77.5,52328.0
SN2002cj,Ic,113.0,52380.0
SN2002cp,Ib/c,82.9,52384.0
SN2002dg,Ib,225.0,52423.0
SN2002dn,Ic,112.0,52433.0
SN2002gy,Ib/c:,107.0,52560.0
SN2002hf,Ic,82.9,52573.0
SN2002hn,Ic,82.1,52573.0
SN2002ho,Ic,47.2,52579.0
SN2002hy,IbPec,60.7,52575.0
SN2002hz,Ib,82.9,52585.0
SN2002ji,Ic,30.3,52566.0
SN2002jj,Ic,60.6,52560.0
SN2002jp,Ic,59.6,52228.0
SN2002jz,Ic,22.9,52257.0
SN2003L,Ic,104.0,51910.0
SN2003bg,IcPecBL,19.3,52692.0
SN2003bu,Ic,105.0,52701.0
SN2003dr,Ib/c,41.7,53105.0
SN2003el,Ic,93.4,52770.0
SN2003gk,Ib,48.5,52805.0
SN2003jd,IcPecBL,84.6,52922.0
SN2003jg,Ib/c,9.0,52913.0
SN2004ao,Ib,26.8,53056.0
SN2004bu,IcBL,92.1,53139.0
SN2004cc,Ic,17.4,53148.0
SN2004dj,IIP,3.4,53199.0
SN2004dk,Ib,20.8,53216.0
SN2004gq,Ib,24.3,53347.0
SN2005E,Ib/c,38.8,53374.0
SN2005aj,Ic,41.1,53410.0
SN2005at,Ic,7.2,53434.0
SN2005cs,IIP,7.9,53548.0
SN2005ct,Ic,58.6,53519.0
SN2005cz,Ib,35.7,53538.0
SN2005da,IcBL,74.4,53546.0
SN2005ek,Ic,73.0,53635.0
SN2005ip,IIn,36.5,53670.0
SN2006aj,IcBL,153.0,53784.0
SN2006be,II,40.6,53807.0
SN2006jd,IIn,83.7,54015.0
SN2007Y,IbPec,16.8,54145.0
SN2007bg,IcBL,155.0,54206.0
SN2007gr,Ib/c,5.2,54325.0
SN2007iq,IcBL,62.5,54313.0
SN2007ke,Ib,76.7,54345.0
SN2007kj,Ib/c,79.3,54357.0
SN2007pk,IInPec,73.4,54412.0
SN2007rt,IIn,107.0,54348.0
SN2007ru,IcBL,70.3,54429.0
SN2007rz,Ic,57.1,54423.0
SN2007uy,Ib,28.6,54461.0
SN2008B,IIn,94.5,54467.0
SN2008D,Ib,28.6,54474.0
SN2008aj,IIn,122.0,54508.0
SN2008be,IIn,142.0,54537.0
SN2008bk,IIP,3.9,54532.0
SN2008bm,IIn,155.0,54554.0
SN2008du,Ic,72.4,54647.0
SN2008dv,Ic,10.5,54612.0
SN2008ew,Ic,99.5,54684.0
SN2008gm,IIn,53.0,54741.0
SN2008hh,Ic,85.0,54774.0
SN2008hn,Ic,54.2,54782.0
SN2008ij,II,19.1,54819.0
SN2008im,Ib,40.2,54815.0
SN2008in,IIP,14.6,54822.0
SN2008ip,IIn,90.2,54831.0
SN2009H,II,19.1,54833.0
