Name,Obsmjd,Flux
SN1982F,45943,-1.16
SN1982F,46057,-0.18
SN1985F,46142,-0.189
SN1985F,46277,-0.33
SN1985G,46192,-0.212
SN1985G,46309,-0.675
SN1985G,46779,-0.623
SN1985H,46192,-0.155
SN1985H,47192,-0.3
SN1987F,47882,-0.43
SN1987F,47935,-0.18
SN1987F,48239,-0.18
SN1987F,49008,-0.09
SN1987K,47052,-2.6
SN1987K,47882,-0.634
SN1987K,49401,-0.225
SN1989L,47884,-0.254
SN1989L,47938,-0.162
SN1989L,48016,-0.204
SN1990K,48041,-0.149
SN1990K,49023,-0.114
SN1991G,48912,-0.487
SN1991G,50705,-0.069
SN1992H,49059,-0.084
SN1992H,49975,-0.269
SN1992ad,49286,-0.4
SN1992ad,50223,-0.15
SN1992bd,48926,-0.081
SN1992bd,49011,-0.132
SN1992bd,49023,-0.141
SN1992bd,49477,-0.249
SN1992bd,49726,-0.3
SN1993N,49401,-0.11
SN1993N,50471,-0.186
SN1994I,49495,9.81
SN1994I,49504,7.15
SN1994P,49495,-0.108
SN1994P,49562,-0.061
SN1994P,49975,-0.235
SN1994W,49586,-0.146
SN1994W,49975,-0.167
SN1994W,51479,-0.171
SN1994W,51479,-0.171
SN1995X,49975,-0.336
SN1995X,50973,-0.143
SN1995X,50981,-0.102
SN1995X,51834,-0.177
SN1996W,50379,-0.19
SN1996W,50471,-0.264
SN1996W,50822,-0.208
SN1996ae,50245,-0.292
SN1996ae,50312,-0.279
SN1996ae,50379,-0.165
SN1996ae,51346,-0.193
SN1996an,50312,-0.279
SN1996an,50361,-1.029
SN1996an,50361,-0.45
SN1996bu,50421,-0.162
SN1996bu,51480,-0.129
SN1996cb,50450,0.99
SN1996cb,50465,0.26
SN1997W,51479,-0.106
SN1997W,51834,-0.206
SN1997X,50485,1.256
SN1997X,52929,-0.123
SN1997ab,50714,-0.125
SN1997ab,50854,-0.251
SN1997ab,50973,-0.193
SN1997db,50854,-0.06
SN1997db,51346,-0.111
SN1997db,51834,-0.145
SN1997dq,50854,-0.096
SN1997dq,50973,-0.188
SN1998S,50964,-0.097
SN1998S,50973,-0.129
SN1998S,51105,-0.175
SN1998S,51479,1.08
SN1998S,51934,0.775
SN1998S,53033,0.679
SN1998S,54248,0.19
SN1998bm,50929,-0.18
SN1998bm,51480,-0.139
SN1998dl,51062,-0.112
SN1998dl,51346,-0.141
SN1998dn,51346,-0.117
SN1998dn,51834,-0.188
SN1999D,51236,-0.3
SN1999D,51480,-0.213
SN1999el,51479,-0.101
SN1999el,51834,-0.145
SN1999em,51487,-0.264
SN1999em,51513,0.162
SN1999em,51525,0.194
SN1999em,51539,0.128
SN1999em,51588,0.105
SN1999gi,51525,-0.087
SN1999gi,51731,-0.2
SN1999gi,53020,-0.096
SN1999gq,51555,0.147
