Name      , luminosity (erg/s/Hz) , x_axis_product
SN2018hon , 3.38e+29              ,  661.4766
SN2018hon , 6.970000000000001e+28 , 1238.2386000000001
SN2018hon , 9.960000000000001e+28 , 1446.261
SN2019aur , 3.64e+27              ,   74.1
SN2019aur , 1.54e+27              ,  582.3
SN2019aur , 1.3400000000000002e+27, 1166.2428
SN2019aur , 1.36e+27              , 1388.7036216000001
SN2019njv , 3.61e+27              ,  217.95059999999998
SN2019njv , 4.15e+28              ,  762.7506
SN2019njv , 3.06e+28              , 1269.714
SN2019pqo , 1.74e+27              ,  476.10659999999996
SN2019pqo , 4.56e+27              , 1048.6728
SN2019pqo , 9.940000000000001e+27 , 1256.3484
SN2019yvs , 6.33e+27              ,  382.8846
SN2019yvs , 1.46e+28              ,  975.2646
SN2019yvs , 1.16e+28              , 1189.4964
SN2020adhh, 1.7764958751279825e+28,  177.8166
SN2020adhh, 8.371992055200835e+27 ,  740.8128
SN2020adhh, 1.9218346181235776e+28,  991.3739999999999
SN2020aqe , 7.07e+27              ,  166.8846
SN2020aqe , 2.36e+27              ,  733.2846000000001
SN2020aqe , 9.500000000000001e+27 , 1173.2748
SN2020nec , 2.6941493714107652e+28,  299.5386
SN2020nec , 1.5357182807449922e+28,  878.6478
SN2020nec , 4.3574013502107056e+27, 1099.1616
SN2020ywx , 3.4100000000000003e+28,  484.8366
SN2020ywx , 1.7800000000000002e+28, 1008.924
SN2021aefs, 2.36e+27              ,  345.0546
SN2021aefs, 1.3700000000000001e+28,  780.4469999999999
SN2021bmf , 2.31e+29              ,  133.28459999999998
SN2021bmf , 3.75e+29              ,  740.6321999999999
SN2021bmf , 3.05e+29              ,  948.4662
SN2021tcv , 3.5300000000000004e+27,   64.9206
SN2021tcv , 8.59e+27              ,  629.0423999999999
SN2021tcv , 1.13e+28              ,  854.997
SN2022cb  , 2.99e+28              ,  234.1068
SN2022cb  , 2.7900000000000002e+28,  757.7703462000001
SN2023rky , 3.7600000000000004e+27,  177.39839999999998
SN2023rky , 1.8700000000000002e+27,  393.0447729
SN2024ehs , 3.36e+26              ,   27.918
SN2024ehs , 3.44e+25              ,  273.4224
