Name,type,beta_loglog,beta_nonlin,alpha01,alpha12,alpha23,A,A_loglog,beta_err,A_err,beta_offset
SN2018hon,II,-1.05679392,-1.048642193,0.599,-2.517,2.304,1.838857362,1.871026962,0.2073357527,0.528439919,0.008151726999999998
SN2019aur,IIb,-1.70895547,-1.70895547,-0.416,-0.205,0.095,2.717684029,2.717684029,0.1936995001,0.8194216653,0.0
SN2019njv,IIn,-0.6777553566,-0.6794912883,,1.95,-0.601,13.37308969,13.55401039,0.18211128,4.348656165,-0.0017359317000000818
SN2019pqo,IIb,-0.9297502687,-0.9215126038,,1.216,4.314,6.031299086,6.153246916,0.1353966427,1.115818607,0.008237664899999997
SN2019yvs,Ib,-0.514180526,-0.4947456453,,0.89,-1.139,1.295312488,1.36178732,0.2111271046,0.4334585159,0.01943488069999999
SN2020adhh,II,-0.5587097657,-0.559015149,,-0.527,2.852,3.126460648,3.159872369,0.2311379955,1.283167743,-0.00030538330000007274
SN2020aqe,II,-1.968884972,-2.043081113,,-0.743,2.967,22.62787476,20.36024002,0.1151976161,3.378206929,-0.07419614100000005
SN2020nec,II,-1.436804895,-1.479857904,,-0.522,-5.626,0.2546490566,0.2351134964,0.5132025259,0.2250263734,-0.043053008999999864
SN2020ywx,IIn,-0.8187494252,-0.8187349578,,,-0.891,3.942984761,3.940343538,0.1688603426,1.158552543,1.4467399999995578e-05
SN2021aefs,IIn,-2.253284693,-2.253284693,,,2.161,38.04230413,38.04230413,0.5588296556,38.88577837,0.0
SN2021bmf,Ic-BL,-0.8451921705,-0.8446458791,,0.282,-0.839,19.04081647,19.06816439,0.153193377,3.498605665,0.0005462913999999541
SN2021tcv,II,-0.5542516779,-0.5614854509,,0.392,0.882,3.147098864,3.17421871,0.1900875939,1.103603568,-0.007233773000000054
SN2022cb,Ib,-0.7799463931,-0.7737379698,,,-0.061,2.287811329,2.392164427,0.2041403016,0.8053487965,0.006208423300000043
SN2023rky,II,-1.105877965,-1.093326909,,,-0.873,1.202066785,1.230432358,0.2068227419,0.3847950031,0.01255105599999995
SN2024ehs,II,-1.201789354,-1.621065518,,,-0.999,0.6805016987,0.3616590657,0.4383939579,0.3626226752,-0.419276164

https://casda.csiro.au/casda_data_access/cutout/image/cube-453250?format=image/fits&pos=304.988296,15.377453&size=0.006700,0.006700
https://casda.csiro.au/casda_data_access/cutout/image/cube-222303?format=image/fits&pos=304.988296,15.377453&size=0.006700,0.006700
https://casda.csiro.au/casda_data_access/cutout/image/cube-70729?format=image/fits&pos=304.988296,15.377453&size=0.006700,0.006700

