name,IAUID,ra,dec,peakt,peakfilt,peakmag,peakabs,duration,rise,fade,type,redshift,b,A_V
ZTF18acbwopo,SN2018hon,19:41:15.66,+63:11:53.5,456.66,r,18.1131,-19.84,>48.99,>33.05,>15.94,SN II,0.081,18.68986952,0.245
ZTF19aakkths,SN2019aur,03:01:10.42,+41:23:45.7,538.62,r,17.4511,-16.46,28.385,6.365,22.02,SN IIb,0.0124,-15.18649926,0.334
ZTF19abpidqn,SN2019njv,20:19:57.19,+15:22:38.7,716.87,r,18.075,-16.29,14.527,7.459,7.068,SN IIn,0.01458,-11.67327217,0.451
ZTF19abxqppy,SN2019pqo,15:41:30.33,+15:47:03.2,749.61,r,17.4536,-16.55,>36.95,11.94,>25.01,SN IIb,0.01413,49.05069831,0.095
ZTF19acxxwvi,SN2019wqq,10:35:04.83,+46:33:38.2,837.96,r,16.921,-16.55,19.169,10.14,9.029,SN IIb,0.01123,56.91712767,0.061
ZTF19adcfsad,SN2019yvs,12:24:27.05,+13:13:57.8,859.98,r,18.1278,-17.19,31.748,19.303,12.445,SN Ib,0.0255,74.73870152,0.128
ZTF20acytgxf,SN2020adhh,04:43:46.17,+28:58:10.5,1219.76,r,18.1025,-18.48,28.543,16.552,11.991,SN II,0.022,-10.99944701,2.031
ZTF20aaieyup,SN2020aqe,11:43:29.76,-16:47:53.1,885.98,r,16.8487,-16.85,22.849,10.158,12.691,SN II,0.01225,43.08367586,0.111
ZTF20abegirf,SN2020nec,01:41:57.46,+18:23:23.1,1040.89,r,18.515,-18.09,>31.425,>0,>31.425,SN II,0.045,-42.86307633,0.186
ZTF20acnvniw,SN2020ywx,11:53:26.23,+10:53:47.3,1171.06,r,16.5056,-18.41,>158.104,>4.07,154.034,SN IIn,0.0217,68.79632195,0.076
ZTF21acpoujw,SN2021aefs,11:43:29.69,-16:47:50.0,1533.03,r,18.5556,-15.15,>17.99,>0,>17.99,SN IIn,0.01225,43.0843788,0.111
ZTF21aagtpro,SN2021bmf,16:33:29.41,-06:22:49.4,1270.98,r,16.5013,-20.40,35.362,26.548,8.814,SN Ic-BL,0.04,26.75228863,0.85
ZTF21ablwehd,SN2021tcv,02:11:34.00,+43:58:47.1,1412.92,r,18.2916,-16.25,19.978,14.964,5.014,SN II,0.017,-16.5611206,0.261
ZTF22aaagrce,SN2022cb,02:45:09.38,+13:14:19.1,1622.69,r,17.9467,-18.20,>18.02,>0.06,>17.96,SN Ib,0.035,-41.10445116,0.299
ZTF23aabngtm,SN2023axu,06:45:55.32,-18:13:53.5,1991.71,r,14.3131,-,>61.241,16.281,>44.96,SN II,,-9.38112949,1.056
ZTF23abbccir,SN2023rky,00:47:53.05,+19:35:37.0,2207.84,r,16.5208,-17.68,21.935,8.938,12.997,SN II,0.01519,-43.2700905,0.141
ZTF24aahgqwk,SN2024ehs,10:53:00.53,+17:34:21.3,2404.78,r,14.533,-16.60,21.059,9.098,11.961,SN II,0.00377,61.08571414,0.1
