Name,Band,Freq_GHz,PeakFlux_mJy,RMS_mJy,MJD,Redshift,Fluxluminosity (erg/s/Hz),RMSLuminosity (erg/s/Hz)
SN2018hon,S,3.259839184,0.532,0.043,60826.70367,0.081,9.963853149249808e+28,8.05349032740116e+27
SN2018hon,C,6.130782434,0.281,0.067,60826.69123,0.081,5.262862283720293e+28,1.2548461672927387e+28
SN2018hon,X,9.90026963,0.164,0.04,60826.69748,0.081,3.0715637527762564e+28,7.491618909210382e+27
SN2019aur,S,3.237414104,0.365,0.041,60840.76803,0.0124,1.360058370407805e+27,1.5277367996361648e+26
SN2019aur,C,6.078159736,0.114,0.026,60867.52214,0.0124,4.247853540451775e+26,9.688087022082997e+25
SN2019aur,X,9.904122452,0.054,0.01,60840.79967,0.0124,2.0121411507403142e+26,3.7261873161857676e+25
SN2019njv,S,3.268627396,5.902,0.819,60823.48927,0.01458,3.05697860251122e+28,4.242062818462706e+27
SN2019njv,C,6.07147108,4.263,0.909,60823.48383,0.01458,2.208048082430588e+28,4.708223567744323e+27
SN2019njv,X,9.809860122,2.779,0.416,60823.47776,0.01458,1.4394008025040125e+28,2.1546985744572476e+27
SN2019pqo,S,3.229787995,2.045,0.106,60827.12607,0.01413,9.93733250894775e+27,5.150891178232086e+26
SN2019pqo,C,6.150144717,1.168,0.202,60827.13799,0.01413,5.675698958655732e+27,9.815849226442279e+26
SN2019pqo,X,9.882393537,0.72,0.114,60827.13151,0.01413,3.498718536157643e+27,5.539637682249602e+26
SN2019wqq,S,3.223341438,5.705,0.765,60881.82798,0.01123,1.738476535240605e+28,2.331173618683721e+27
SN2019wqq,C,6.072884003,3.53,0.82,60881.82133,0.01123,1.0756918789481743e+28,2.4987743363668644e+27
SN2019wqq,X,9.898115993,2.276,0.343,60881.81484,0.01123,6.935622426306076e+27,1.0452190211876032e+27
SN2019yvs,S,3.262017736,0.713,0.088,60828.05281,0.0255,1.1605261325500237e+28,1.4323464188555693e+27
SN2019yvs,C,5.977494536,0.593,0.131,60828.0465,0.0255,9.652061663424461e+27,2.132242964432723e+27
SN2019yvs,X,9.708868468,0.403,0.086,60828.04005,0.0255,6.559495531804482e+27,1.3997930911543064e+27
SN2020adhh,S,3.261569668,1.6,0.279,60852.602,0.022,1.9218346181235778e+28,3.351199115352989e+27
SN2020adhh,C,6.022433558,1.212,0.335,60852.58782,0.022,1.4557897232286104e+28,4.0238412316962416e+27
SN2020adhh,X,9.863546718,0.858,0.165,60852.54231,0.022,1.0305838139687684e+28,1.9818919499399395e+27
SN2020aqe,S,3.226546815,2.069,0.064,60827.03267,0.01225,7.521276761919679e+27,2.3265428359732215e+26
SN2020aqe,C,6.113797654,0.55,0.044,60827.01837,0.01225,1.9993727496644874e+27,1.5994981997315897e+26
SN2020aqe,X,9.816711466,0.233,0.051,60826.97592,0.01225,8.470070012215009e+26,1.8539638224161606e+26
SN2020nec,S,3.239417256,0.048,0.016,60853.5226,0.045,2.55067396109895e+27,8.502246536996499e+26
SN2020nec,C,6.071407502,0.014,0.007,60853.51461,0.045,7.439465719871937e+26,3.7197328599359684e+26
SN2020nec,X,9.853378974,0.01,0.004,60853.4862,0.045,5.313904085622812e+26,2.1255616342491247e+26
SN2020ywx,S,3.202812379,1.521,0.188,60839.16554,0.0217,1.7761452612856822e+28,2.1953669238771092e+27
SN2020ywx,C,6.100542063,0.894,0.196,60839.15935,0.0217,1.0439670372053913e+28,2.2887867929782626e+27
SN2020ywx,X,9.800796145,0.609,0.088,60839.15283,0.0217,7.111587535325316e+27,1.0276185601126893e+27
SN2021aefs,S,3.257692298,2.579,0.54,60828.01716,0.01225,9.375240584335841e+27,1.9630205178524056e+27
SN2021aefs,C,5.989038811,0.674,0.049,60828.0042,0.01225,2.4501404241342988e+27,1.7812593587919973e+26
SN2021aefs,X,9.726608434,0.226,0.059,60827.97547,0.01225,8.215604389530438e+26,2.1447816769128132e+26
SN2021bmf,S,3.08966485,7.343,0.254,60825.39025,0.04,3.0463031268933105e+29,1.0537396081041821e+28
SN2021bmf,C,6.00601613,4.199,0.95,60825.38417,0.04,1.7419892182793153e+29,3.9411520775550114e+28
SN2021bmf,X,9.538344791,2.831,0.53,60825.37793,0.04,1.1744633191113934e+29,2.19874800116227e+28
SN2021tcv,S,3.254468316,1.59,0.249,60831.59135,0.017,1.1263715555114554e+28,1.7639403605179396e+27
SN2021tcv,C,6.096344256,1.27,0.275,60831.60443,0.017,8.996804248424834e+27,1.94812690418648e+27
SN2021tcv,X,9.870812557,0.85,0.126,60831.5979,0.017,6.021483158394573e+27,8.92596327009078e+26
SN2022cb,S,3.29093232,0.888,0.129,60847.77266,0.035,2.7866761327153313e+28,4.0482119495526777e+27
SN2022cb,C,6.197817761,0.667,0.146,60847.76016,0.035,2.0931452483346017e+28,4.581697245230162e+27
SN2022cb,X,9.901740339,0.368,0.069,60847.78106,0.035,1.154838757701849e+28,2.1653226706909672e+27
SN2023axu,S,3.127141253,0.333,0.047,60881.8024,0.0028,6.176231116564304e+25,8.717203077433103e+24
SN2023axu,C,6.143938992,0.13,0.026,60881.79673,0.0028,2.4111412767368157e+25,4.822282553473631e+24
SN2023axu,X,9.783347547,0.071,0.026,60881.78991,0.0028,1.316854081910107e+25,4.822282553473631e+24
SN2023rky,S,3.222429781,0.333,0.038,60848.41068,0.01519,1.874978202319924e+27,2.1396147654101235e+26
SN2023rky,C,6.156831194,0.17,0.033,60848.3976,0.01519,9.571960792624239e+26,1.8580865068035285e+26
SN2023rky,X,9.880151793,0.096,0.022,60848.36748,0.01519,5.405342565246628e+26,1.238724337869019e+26
SN2024ehs,S,3.231096891,0.102,0.007,60840.17381,0.00377,3.438022637957477e+25,2.359427300559053e+24
SN2024ehs,C,6.156125696,0.029,0.012,60840.16768,0.00377,9.774770245173218e+24,4.044732515244091e+24
SN2024ehs,X,9.890243479,0.028,0.014,60840.16137,0.00377,9.437709202236212e+24,4.718854601118106e+24
